Bb:maj6 [2, 5, 7, 10] 10 2
G:maj [2, 7, 11] 7 4
Eb:maj [3, 7, 10] 3 2
D:min [2, 5, 9] 2 1
G:min [2, 7, 10] 7 1
C:min [0, 3, 7] 0 2
F:maj [0, 5, 9] 5 4
Bb:maj [2, 5, 10] 10 4
G:min [2, 7, 10] 7 4
Eb:maj [3, 7, 10] 3 3
C:min [0, 3, 7] 0 3
F:maj [0, 5, 9] 5 2
Bb:maj [2, 5, 10] 10 2
G:min [2, 7, 10] 7 2
C:min [0, 3, 7] 0 2
G:min [2, 7, 10] 7 2
C:min [0, 3, 7] 0 2
Eb:maj7 [1, 3, 7, 10] 3 2
F:maj [0, 5, 9] 5 4
Bb:maj [2, 5, 10] 10 4
G:min [2, 7, 10] 7 4
Eb:maj [3, 7, 10] 3 2
D:min [2, 5, 9] 2 2
C:min [0, 3, 7] 0 2
F:maj [0, 5, 9] 5 2
Bb:maj [2, 5, 10] 10 2
G:min [2, 7, 10] 7 2
C:min [0, 3, 7] 0 2
G:min [2, 7, 10] 7 2
Bb:maj [2, 5, 10] 10 2
F:maj [0, 5, 9] 5 2
Bb:maj [2, 5, 10] 10 2
Eb:maj [3, 7, 10] 3 1
F:maj [0, 5, 9] 5 1
Bb:maj [2, 5, 10] 10 2
F:maj/3 [0, 5, 9] 9 2
G:min [2, 7, 10] 7 2
Bb:maj/5 [2, 5, 10] 5 2
Eb:maj [3, 7, 10] 3 2
D:min [2, 5, 9] 2 1
G:min/5 [2, 7, 10] 2 1
C:min [0, 3, 7] 0 2
F:maj [0, 5, 9] 5 2
Bb:maj [2, 5, 10] 10 2
F:maj/3 [0, 5, 9] 9 2
G:min [2, 7, 10] 7 2
F:maj [0, 5, 9] 5 2
Eb:maj [3, 7, 10] 3 2
D:min [2, 5, 9] 2 1
G:min [2, 7, 10] 7 1
C:min [0, 3, 7] 0 2
F:maj [0, 5, 9] 5 6
Bb:maj [2, 5, 10] 10 1
G:min [2, 7, 10] 7 3
Bb:maj [2, 5, 10] 10 1
G:min [2, 7, 10] 7 3
Eb:maj [3, 7, 10] 3 2
D:min [2, 5, 9] 2 1
G:min [2, 7, 10] 7 1
C:min [0, 3, 7] 0 2
F:maj [0, 5, 9] 5 2
Bb:maj [2, 5, 10] 10 4
G:min [2, 7, 10] 7 4
Eb:maj [3, 7, 10] 3 2
D:min [2, 5, 9] 2 2
C:min [0, 3, 7] 0 2
F:maj [0, 5, 9] 5 2
Bb:maj [2, 5, 10] 10 2
G:min [2, 7, 10] 7 2
C:min [0, 3, 7] 0 2
G:min [2, 7, 10] 7 2
Bb:maj [2, 5, 10] 10 2
F:maj [0, 5, 9] 5 2
Bb:maj [2, 5, 10] 10 2
Eb:maj [3, 7, 10] 3 1
F:maj [0, 5, 9] 5 1
Bb:maj [2, 5, 10] 10 2
F:maj/3 [0, 5, 9] 9 2
G:min [2, 7, 10] 7 2
Bb:maj/5 [2, 5, 10] 5 2
Eb:maj [3, 7, 10] 3 2
D:min [2, 5, 9] 2 1
G:min/5 [2, 7, 10] 2 1
C:min [0, 3, 7] 0 2
F:maj [0, 5, 9] 5 2
Bb:maj [2, 5, 10] 10 2
F:maj/3 [0, 5, 9] 9 2
G:min [2, 7, 10] 7 2
F:maj [0, 5, 9] 5 2
Eb:maj [3, 7, 10] 3 2
D:min [2, 5, 9] 2 1
G:min [2, 7, 10] 7 1
C:min [0, 3, 7] 0 2
F:maj [0, 5, 9] 5 2
Bb:maj [2, 5, 10] 10 2
Eb:maj [3, 7, 10] 3 1
F:maj [0, 5, 9] 5 1
Bb:maj [2, 5, 10] 10 2
F:maj/3 [0, 5, 9] 9 2
G:min [2, 7, 10] 7 2
Bb:maj/5 [2, 5, 10] 5 2
Eb:maj [3, 7, 10] 3 2
D:min [2, 5, 9] 2 1
G:min/5 [2, 7, 10] 2 1
C:min [0, 3, 7] 0 2
F:maj [0, 5, 9] 5 2
Bb:maj [2, 5, 10] 10 2
F:maj/3 [0, 5, 9] 9 2
G:min [2, 7, 10] 7 2
F:maj [0, 5, 9] 5 2
Eb:maj [3, 7, 10] 3 2
D:min [2, 5, 9] 2 1
G:min [2, 7, 10] 7 1
C:min [0, 3, 7] 0 1
F:maj [0, 5, 9] 5 9
Bb:maj [2, 5, 10] 10 4
G:min [2, 7, 10] 7 4
Eb:min [3, 6, 10] 3 3
Bb:maj [2, 5, 10] 10 5
