D:maj/3 [2, 6, 9] 6 2 
C:maj [0, 4, 7] 0 2 
D:maj [2, 6, 9] 2 2 
E:min [4, 7, 11] 4 2 
B:min [2, 6, 11] 11 2 
C:maj7 [0, 4, 7, 10] 0 2 
D:sus2 [2, 4, 9] 2 4 
G:maj [2, 7, 11] 7 2 
D:maj [2, 6, 9] 2 2 
E:min [4, 7, 11] 4 2 
B:min [2, 6, 11] 11 2 
G:maj [2, 7, 11] 7 1 
D:maj [2, 6, 9] 2 1 
G:maj [2, 7, 11] 7 2 
A:min [0, 4, 9] 9 2 
D:maj [2, 6, 9] 2 2 
G:maj [2, 7, 11] 7 5 
C:maj [0, 4, 7] 0 1 
D:maj [2, 6, 9] 2 2 
B:min [2, 6, 11] 11 2 
E:min [4, 7, 11] 4 2 
G:maj [2, 7, 11] 7 1 
C:maj [0, 4, 7] 0 1 
D:maj [2, 6, 9] 2 2 
G:maj [2, 7, 11] 7 2 
D:maj [2, 6, 9] 2 2 
G:maj [2, 7, 11] 7 2 
D:maj [2, 6, 9] 2 2 
E:min [4, 7, 11] 4 2 
B:min [2, 6, 11] 11 2 
C:maj [0, 4, 7] 0 2 
G:maj [2, 7, 11] 7 2 
A:min [0, 4, 9] 9 2 
D:maj [2, 6, 9] 2 2 
G:maj [2, 7, 11] 7 2 
D:maj [2, 6, 9] 2 2 
E:min [4, 7, 11] 4 2 
B:min [2, 6, 11] 11 2 
C:maj [0, 4, 7] 0 2 
G:maj [2, 7, 11] 7 2 
A:min [0, 4, 9] 9 2 
D:maj [2, 6, 9] 2 2 
G:maj [2, 7, 11] 7 2 
D:maj [2, 6, 9] 2 2 
E:min [4, 7, 11] 4 2 
G:maj/3 [2, 7, 11] 11 2 
C:maj [0, 4, 7] 0 2 
G:maj [2, 7, 11] 7 2 
A:min [0, 4, 9] 9 2 
D:maj [2, 6, 9] 2 2 
G:maj [2, 7, 11] 7 2 
D:maj [2, 6, 9] 2 2 
E:min [4, 7, 11] 4 2 
B:min [2, 6, 11] 11 2 
G:maj [2, 7, 11] 7 1 
C:maj [0, 4, 7] 0 1 
G:maj [2, 7, 11] 7 2 
A:min [0, 4, 9] 9 2 
D:maj [2, 6, 9] 2 2 
G:maj [2, 7, 11] 7 5 
C:maj [0, 4, 7] 0 1 
D:maj [2, 6, 9] 2 2 
B:min [2, 6, 11] 11 2 
E:min [4, 7, 11] 4 2 
G:maj [2, 7, 11] 7 1 
C:maj [0, 4, 7] 0 1 
D:maj [2, 6, 9] 2 2 
G:maj [2, 7, 11] 7 1 
C:maj [0, 4, 7] 0 1 
D:maj [2, 6, 9] 2 2 
G:maj [2, 7, 11] 7 2 
D:maj [2, 6, 9] 2 2 
E:min [4, 7, 11] 4 2 
B:min [2, 6, 11] 11 2 
C:maj [0, 4, 7] 0 2 
G:maj [2, 7, 11] 7 2 
A:min [0, 4, 9] 9 2 
D:maj [2, 6, 9] 2 2 
G:maj [2, 7, 11] 7 2 
D:maj [2, 6, 9] 2 2 
E:min [4, 7, 11] 4 2 
B:min [2, 6, 11] 11 2 
C:maj [0, 4, 7] 0 2 
G:maj [2, 7, 11] 7 2 
A:min [0, 4, 9] 9 2 
D:maj [2, 6, 9] 2 2 
G:maj [2, 7, 11] 7 2 
D:maj [2, 6, 9] 2 2 
E:min [4, 7, 11] 4 2 
B:min [2, 6, 11] 11 2 
C:maj [0, 4, 7] 0 2 
G:maj [2, 7, 11] 7 2 
A:min [0, 4, 9] 9 2 
D:maj [2, 6, 9] 2 2 
G:maj [2, 7, 11] 7 2 
D:maj [2, 6, 9] 2 2 
E:min [4, 7, 11] 4 2 
B:min [2, 6, 11] 11 2 
C:maj [0, 4, 7] 0 2 
G:maj [2, 7, 11] 7 2 
A:min [0, 4, 9] 9 2 
D:maj [2, 6, 9] 2 2 
C:maj [0, 4, 7] 0 8 
G:sus2 [2, 7, 9] 7 2 
