B:maj [3, 6, 11] 11 4
A:maj [1, 4, 9] 9 4
G:maj [2, 7, 11] 7 4
F#:maj [1, 6, 10] 6 4
B:min [2, 6, 11] 11 4
A:maj [1, 4, 9] 9 4
F#:min [1, 6, 9] 6 4
B:min [2, 6, 11] 11 8
A:maj [1, 4, 9] 9 2
B:min [2, 6, 11] 11 4
E:min [4, 7, 11] 4 2
G:maj [2, 7, 11] 7 2
F#:min [1, 6, 9] 6 2
B:min [2, 6, 11] 11 2
E:maj [4, 8, 11] 4 2
F#:min [1, 6, 9] 6 2
B:min [2, 6, 11] 11 4
A:maj [1, 4, 9] 9 2
F#:min [1, 6, 9] 6 2
B:min [2, 6, 11] 11 6
A:maj [1, 4, 9] 9 2
B:min [2, 6, 11] 11 2
F#:min [1, 6, 9] 6 4
A:maj [1, 4, 9] 9 2
F#:min [1, 6, 9] 6 2
B:min [2, 6, 11] 11 4
A:maj [1, 4, 9] 9 2
B:min [2, 6, 11] 11 2
F#:min [1, 6, 9] 6 4
A:maj [1, 4, 9] 9 2
F#:min [1, 6, 9] 6 2
B:min [2, 6, 11] 11 4
A:maj [1, 4, 9] 9 4
G:maj [2, 7, 11] 7 4
F#:maj [1, 6, 10] 6 4
B:min [2, 6, 11] 11 4
A:maj [1, 4, 9] 9 4
F#:min [1, 6, 9] 6 4
B:min [2, 6, 11] 11 8
A:maj [1, 4, 9] 9 2
B:min [2, 6, 11] 11 4
E:min [4, 7, 11] 4 2
G:maj [2, 7, 11] 7 2
F#:min [1, 6, 9] 6 2
B:min [2, 6, 11] 11 2
E:maj [4, 8, 11] 4 2
F#:min [1, 6, 9] 6 2
B:min [2, 6, 11] 11 4
A:maj [1, 4, 9] 9 2
F#:min [1, 6, 9] 6 2
B:min [2, 6, 11] 11 6
A:maj [1, 4, 9] 9 2
B:min [2, 6, 11] 11 2
F#:min [1, 6, 9] 6 4
A:maj [1, 4, 9] 9 2
F#:min [1, 6, 9] 6 2
B:min [2, 6, 11] 11 4
A:maj [1, 4, 9] 9 2
B:min [2, 6, 11] 11 2
F#:min [1, 6, 9] 6 4
A:maj [1, 4, 9] 9 2
F#:min [1, 6, 9] 6 2
B:min [2, 6, 11] 11 4
A:maj [1, 4, 9] 9 2
B:min [2, 6, 11] 11 2
F#:min [1, 6, 9] 6 4
A:maj [1, 4, 9] 9 2
F#:min [1, 6, 9] 6 2
B:min [2, 6, 11] 11 4
A:maj [1, 4, 9] 9 2
B:min [2, 6, 11] 11 2
F#:min [1, 6, 9] 6 4
A:maj [1, 4, 9] 9 2
F#:min [1, 6, 9] 6 2
B:min [2, 6, 11] 11 4
A:min [0, 4, 9] 9 11
B:sus2 [1, 6, 11] 11 4
A:maj [1, 4, 9] 9 4
G:maj [2, 7, 11] 7 4
F#:maj [1, 6, 10] 6 4
B:min [2, 6, 11] 11 11
