G:sus2 [2, 7, 9] 7 1 
G:maj [2, 7, 11] 7 1 
B:7 [3, 6, 9, 11] 11 1 
B:7/5 [3, 6, 9, 11] 6 1 
E:sus2 [4, 6, 11] 4 4 
E:sus4(b7) [4, 9, 11] 4 1 
A:min [0, 4, 9] 9 3 
D:sus4(b7) [2, 7, 9] 2 4 
G:maj [2, 7, 11] 7 2 
F#:dim [0, 6, 9] 6 1 
B:7 [3, 6, 9, 11] 11 1 
E:sus2 [4, 6, 11] 4 4 
C:min [0, 3, 7] 0 2 
D:sus4(b7) [2, 7, 9] 2 2 
D:maj [2, 6, 9] 2 4 
G:maj [2, 7, 11] 7 2 
G:maj7/7 [2, 5, 7, 11] 6 2 
E:min [4, 7, 11] 4 2 
D:maj [2, 6, 9] 2 2 
C:maj [0, 4, 7] 0 2 
G:maj [2, 7, 11] 7 2 
A:min [0, 4, 9] 9 2 
D:maj [2, 6, 9] 2 2 
G:maj [2, 7, 11] 7 2 
E:min [4, 7, 11] 4 2 
C:maj [0, 4, 7] 0 2 
D:maj [2, 6, 9] 2 2 
E:min [4, 7, 11] 4 2 
B:min [2, 6, 11] 11 2 
C:maj [0, 4, 7] 0 2 
D:maj [2, 6, 9] 2 2 
G:maj [2, 7, 11] 7 2 
B:min/5 [2, 6, 11] 6 2 
E:min [4, 7, 11] 4 2 
D:sus2 [2, 4, 9] 2 2 
C:maj/5 [0, 4, 7] 7 2 
G:maj [2, 7, 11] 7 2 
A:min [0, 4, 9] 9 2 
D:maj [2, 6, 9] 2 2 
G:maj [2, 7, 11] 7 2 
E:min [4, 7, 11] 4 2 
C:maj [0, 4, 7] 0 2 
D:maj [2, 6, 9] 2 2 
E:min [4, 7, 11] 4 2 
B:min [2, 6, 11] 11 2 
C:maj [0, 4, 7] 0 2 
D:maj [2, 6, 9] 2 2 
G:maj [2, 7, 11] 7 2 
D:maj [2, 6, 9] 2 2 
A:min [0, 4, 9] 9 2 
D:maj [2, 6, 9] 2 2 
C:maj [0, 4, 7] 0 2 
D:maj [2, 6, 9] 2 2 
G:maj [2, 7, 11] 7 4 
C:maj [0, 4, 7] 0 2 
D:maj [2, 6, 9] 2 2 
B:min [2, 6, 11] 11 2 
E:min [4, 7, 11] 4 2 
C:maj [0, 4, 7] 0 2 
A:minmaj7 [0, 4, 8, 9] 9 2  
D:maj [2, 6, 9] 2 2 
C:maj [0, 4, 7] 0 1 
D:maj [2, 6, 9] 2 1 
G:maj [2, 7, 11] 7 2 
D:maj [2, 6, 9] 2 2 
A:min [0, 4, 9] 9 1 
D:sus2 [2, 4, 9] 2 1 
D:maj [2, 6, 9] 2 2 
C:maj [0, 4, 7] 0 2 
D:maj [2, 6, 9] 2 2 
G:maj [2, 7, 11] 7 4 
C:maj [0, 4, 7] 0 2 
D:maj [2, 6, 9] 2 2 
B:min [2, 6, 11] 11 2 
E:min [4, 7, 11] 4 2 
C:maj [0, 4, 7] 0 2 
A:min [0, 4, 9] 9 2 
D:maj [2, 6, 9] 2 2 
G:maj [2, 7, 11] 7 4 
D:maj [2, 6, 9] 2 2 
A:min [0, 4, 9] 9 1 
B:min [2, 6, 11] 11 1 
E:min [4, 7, 11] 4 2 
C:maj [0, 4, 7] 0 2 
D:maj [2, 6, 9] 2 2 
G:maj [2, 7, 11] 7 6 
B:min/5 [2, 6, 11] 6 2 
E:min [4, 7, 11] 4 2 
D:sus2 [2, 4, 9] 2 2 
C:maj/5 [0, 4, 7] 7 2 
G:maj [2, 7, 11] 7 2 
A:minmaj7 [0, 4, 8, 9] 9 2 
D:maj [2, 6, 9] 2 2 
G:maj [2, 7, 11] 7 2 
E:min [4, 7, 11] 4 2 
C:maj [0, 4, 7] 0 2 
D:maj [2, 6, 9] 2 2 
E:min [4, 7, 11] 4 2 
B:min [2, 6, 11] 11 2 
C:maj [0, 4, 7] 0 2 
D:maj [2, 6, 9] 2 2 
G:maj [2, 7, 11] 7 2 
D:maj [2, 6, 9] 2 2 
A:min [0, 4, 9] 9 2 
D:maj [2, 6, 9] 2 2 
C:maj [0, 4, 7] 0 2 
D:maj [2, 6, 9] 2 2 
G:maj [2, 7, 11] 7 4 
C:maj [0, 4, 7] 0 2 
D:maj [2, 6, 9] 2 2 
B:min [2, 6, 11] 11 2 
E:min [4, 7, 11] 4 2 
C:maj [0, 4, 7] 0 2 
A:minmaj7 [0, 4, 8, 9] 9 2  
D:maj [2, 6, 9] 2 2 
C:maj [0, 4, 7] 0 1 
D:maj [2, 6, 9] 2 1 
G:maj [2, 7, 11] 7 2 
D:maj [2, 6, 9] 2 2 
A:min [0, 4, 9] 9 1 
D:sus2 [2, 4, 9] 2 1 
D:maj [2, 6, 9] 2 2 
C:maj [0, 4, 7] 0 2 
D:maj [2, 6, 9] 2 2 
G:maj [2, 7, 11] 7 4 
C:maj [0, 4, 7] 0 2 
D:maj [2, 6, 9] 2 2 
B:min [2, 6, 11] 11 2 
E:min [4, 7, 11] 4 2 
C:maj [0, 4, 7] 0 2 
A:min [0, 4, 9] 9 2  
D:maj [2, 6, 9] 2 2 
G:maj [2, 7, 11] 7 2 
C:maj7 [0, 4, 7, 10] 0 2 
A:min [0, 4, 9] 9 2 
D:maj [2, 6, 9] 2 4 
G:maj [2, 7, 11] 7 2 
D:maj/3 [2, 6, 9] 6 2 
E:min7 [2, 4, 7, 11] 4 4 
C:min [0, 3, 7] 0 2 
A:dim [0, 3, 9] 9 2 
D:maj [2, 6, 9] 2 4 
G:maj [2, 7, 11] 7 6 
