E:sus2 [4, 6, 11] 4 20
G:maj [2, 7, 11] 7 4
E:min [4, 7, 11] 4 4
G:maj [2, 7, 11] 7 4
A:min [0, 4, 9] 9 2
B:min [2, 6, 11] 11 2
E:min [4, 7, 11] 4 2
B:min [2, 6, 11] 11 2
A:min [0, 4, 9] 9 2
B:min [2, 6, 11] 11 2
E:min [4, 7, 11] 4 8
G:maj [2, 7, 11] 7 4
E:min [4, 7, 11] 4 4
G:maj [2, 7, 11] 7 4
A:min [0, 4, 9] 9 2
B:min [2, 6, 11] 11 2
E:min [4, 7, 11] 4 2
B:min [2, 6, 11] 11 2
A:min [0, 4, 9] 9 2
B:min [2, 6, 11] 11 2
E:min [4, 7, 11] 4 4
F:min [0, 5, 8] 5 4
Ab:maj [0, 3, 8] 8 4
F:min [0, 5, 8] 5 4
Ab:maj [0, 3, 8] 8 2
C:maj [0, 4, 7] 0 2
F:sus2 [0, 5, 7] 5 4
Ab:maj [0, 3, 8] 8 4
F:min [0, 5, 8] 5 2
Ab:maj [0, 3, 8] 8 4
C:maj [0, 4, 7] 0 8
F#:min [1, 6, 9] 6 8
Eb:min [3, 6, 10] 3 8
Bb:min [1, 5, 10] 10 8
B:min [2, 6, 11] 11 10
E:min [4, 7, 11] 4 4
G:maj [2, 7, 11] 7 4
E:min [4, 7, 11] 4 4
G:maj [2, 7, 11] 7 4
A:min [0, 4, 9] 9 2
B:min [2, 6, 11] 11 2
E:min [4, 7, 11] 4 2
B:min [2, 6, 11] 11 2
A:min [0, 4, 9] 9 2
B:min [2, 6, 11] 11 2
E:min [4, 7, 11] 4 8
G:maj [2, 7, 11] 7 4
E:min [4, 7, 11] 4 4
G:maj [2, 7, 11] 7 4
A:min [0, 4, 9] 9 2
B:min [2, 6, 11] 11 2
E:min [4, 7, 11] 4 2
B:min [2, 6, 11] 11 2
A:min [0, 4, 9] 9 2
B:min [2, 6, 11] 11 2
E:min [4, 7, 11] 4 4
F:min [0, 5, 8] 5 4
Ab:maj [0, 3, 8] 8 4
F:min [0, 5, 8] 5 4
Ab:maj [0, 3, 8] 8 2
C:maj [0, 4, 7] 0 2
F:sus2 [0, 5, 7] 5 4
Ab:maj [0, 3, 8] 8 4
F:min [0, 5, 8] 5 2
Ab:maj [0, 3, 8] 8 4
C:maj [0, 4, 7] 0 8
F:sus2 [0, 5, 7] 5 32
