C:min [0, 3, 7] 0 2 
C#:maj [1, 5, 8] 1 2 
Ab:maj [0, 3, 8] 8 2 
F:min [0, 5, 8] 5 2 
C#:maj [1, 5, 8] 1 2 
C:maj [0, 4, 7] 0 4 
F:maj [0, 5, 9] 5 2 
Ab:maj [0, 3, 8] 8 2 
Bb:min [1, 5, 10] 10 2 
F:min [0, 5, 8] 5 2 
C#:maj [1, 5, 8] 1 2 
Eb:maj [3, 7, 10] 3 2 
Ab:maj [0, 3, 8] 8 2 
C:7 [0, 4, 7, 10] 0 2 
F:maj [0, 5, 9] 5 2 
Ab:maj [0, 3, 8] 8 2 
Bb:min [1, 5, 10] 10 2 
F:min [0, 5, 8] 5 2 
C#:maj [1, 5, 8] 1 2 
Eb:maj [3, 7, 10] 3 2 
F:min [0, 5, 8] 5 4 
C#:maj [1, 5, 8] 1 2 
Eb:maj [3, 7, 10] 3 2 
F:min [0, 5, 8] 5 4 
C#:maj [1, 5, 8] 1 2 
Eb:maj [3, 7, 10] 3 2 
F:min [0, 5, 8] 5 4 
C#:maj [1, 5, 8] 1 2 
Eb:maj [3, 7, 10] 3 2 
Ab:maj [0, 3, 8] 8 1 
Eb:maj/3 [3, 7, 10] 7 1 
F:min [0, 5, 8] 5 2 
Bb:min/5 [1, 5, 10] 5 2 
Eb:maj [3, 7, 10] 3 2 
F:min [0, 5, 8] 5 6 
C#:maj [1, 5, 8] 1 2 
Ab:maj [0, 3, 8] 8 2 
C:maj [0, 4, 7] 0 2 
Bb:min [1, 5, 10] 10 2 
Eb:maj [3, 7, 10] 3 2 
Ab:maj/5 [0, 3, 8] 3 2 
C:maj [0, 4, 7] 0 2 
F:min [0, 5, 8] 5 2 
C#:maj [1, 5, 8] 1 2 
Ab:maj [0, 3, 8] 8 2 
C:maj [0, 4, 7] 0 2 
Bb:min [1, 5, 10] 10 2 
Eb:maj [3, 7, 10] 3 2 
F:min [0, 5, 8] 5 4 
C#:maj [1, 5, 8] 1 4 
Ab:maj/5 [0, 3, 8] 3 4 
Bb:min/5 [1, 5, 10] 5 4 
C:maj [0, 4, 7] 0 4 
F:maj [0, 5, 9] 5 2 
Ab:maj [0, 3, 8] 8 2 
Bb:min [1, 5, 10] 10 2 
F:min [0, 5, 8] 5 2 
C#:maj [1, 5, 8] 1 2 
Eb:maj [3, 7, 10] 3 2 
Ab:maj [0, 3, 8] 8 2 
C:7 [0, 4, 7, 10] 0 2 
F:maj [0, 5, 9] 5 2 
Ab:maj [0, 3, 8] 8 2 
Bb:min [1, 5, 10] 10 2 
F:min [0, 5, 8] 5 2 
C#:maj [1, 5, 8] 1 2 
Eb:maj [3, 7, 10] 3 2 
F:min [0, 5, 8] 5 4 
C#:maj [1, 5, 8] 1 2 
Eb:maj [3, 7, 10] 3 2 
F:min [0, 5, 8] 5 4 
C#:maj [1, 5, 8] 1 2 
Eb:maj [3, 7, 10] 3 2 
F:min [0, 5, 8] 5 4 
C#:maj [1, 5, 8] 1 2 
Eb:maj [3, 7, 10] 3 2 
Ab:maj [0, 3, 8] 8 1 
Eb:maj/3 [3, 7, 10] 7 1 
F:min [0, 5, 8] 5 2 
Bb:min/5 [1, 5, 10] 5 2 
Eb:maj [3, 7, 10] 3 2 
F:min [0, 5, 8] 5 6 
C#:maj [1, 5, 8] 1 2 
Ab:maj [0, 3, 8] 8 2 
C:maj [0, 4, 7] 0 2 
Bb:min [1, 5, 10] 10 2 
Eb:maj [3, 7, 10] 3 2 
Ab:maj/5 [0, 3, 8] 3 2 
C:maj [0, 4, 7] 0 2 
F:min [0, 5, 8] 5 2 
C#:maj [1, 5, 8] 1 2 
Ab:maj [0, 3, 8] 8 2 
C:maj [0, 4, 7] 0 2 
Bb:min [1, 5, 10] 10 2 
Eb:maj [3, 7, 10] 3 2 
F:min [0, 5, 8] 5 6 
C#:maj [1, 5, 8] 1 2 
Ab:maj [0, 3, 8] 8 2 
C:maj [0, 4, 7] 0 2 
Bb:min [1, 5, 10] 10 2 
Eb:maj [3, 7, 10] 3 2 
Ab:maj/5 [0, 3, 8] 3 2 
C:maj [0, 4, 7] 0 2 
F:min [0, 5, 8] 5 2 
C#:maj [1, 5, 8] 1 2 
Ab:maj [0, 3, 8] 8 2 
C:maj [0, 4, 7] 0 2 
Bb:min [1, 5, 10] 10 2 
Eb:maj [3, 7, 10] 3 2 
F:min [0, 5, 8] 5 4 
C#:maj [1, 5, 8] 1 4 
Ab:maj/5 [0, 3, 8] 3 4 
Bb:min/5 [1, 5, 10] 5 4 
C:maj [0, 4, 7] 0 4 
