D:maj [2, 6, 9] 2 10 
D:min [2, 5, 9] 2 30 
Bb:maj [2, 5, 10] 10 4 
F:maj [0, 5, 9] 5 4 
G:min [2, 7, 10] 7 4 
A:min [0, 4, 9] 9 4 
Bb:maj [2, 5, 10] 10 4 
D:min [2, 5, 9] 2 12 
Bb:maj [2, 5, 10] 10 2 
F:maj [0, 5, 9] 5 6 
G:min [2, 7, 10] 7 4 
A:min [0, 4, 9] 9 4 
Bb:maj [2, 5, 10] 10 4 
D:min [2, 5, 9] 2 4 
C:maj [0, 4, 7] 0 4 
Bb:maj [2, 5, 10] 10 4 
F:maj [0, 5, 9] 5 4 
G:min [2, 7, 10] 7 4 
C:maj [0, 4, 7] 0 4 
Bb:maj [2, 5, 10] 10 4 
F:maj [0, 5, 9] 5 4 
G:min [2, 7, 10] 7 4 
F:maj [0, 5, 9] 5 8 
G:min [2, 7, 10] 7 4 
C:maj [0, 4, 7] 0 4 
F:maj [0, 5, 9] 5 8 
G:min [2, 7, 10] 7 4 
C:maj [0, 4, 7] 0 4 
F:maj [0, 5, 9] 5 8 
D:min [2, 5, 9] 2 8 
Bb:maj [2, 5, 10] 10 4 
F:maj [0, 5, 9] 5 4 
G:min [2, 7, 10] 7 4 
A:min [0, 4, 9] 9 4 
Bb:maj [2, 5, 10] 10 4 
D:min [2, 5, 9] 2 12 
Bb:maj [2, 5, 10] 10 4 
F:maj [0, 5, 9] 5 4 
G:min [2, 7, 10] 7 4 
A:min [0, 4, 9] 9 4 
Bb:maj [2, 5, 10] 10 4 
D:min [2, 5, 9] 2 4 
C:maj [0, 4, 7] 0 4 
Bb:maj [2, 5, 10] 10 4 
F:maj [0, 5, 9] 5 4 
G:min [2, 7, 10] 7 4 
C:maj [0, 4, 7] 0 4 
Bb:maj [2, 5, 10] 10 4 
F:maj [0, 5, 9] 5 4 
G:min [2, 7, 10] 7 4 
F:maj [0, 5, 9] 5 8 
Eb:maj [3, 7, 10] 3 8 
F:maj [0, 5, 9] 5 4 
D:min [2, 5, 9] 2 4 
Eb:maj [3, 7, 10] 3 8 
F:maj [0, 5, 9] 5 4 
D:min [2, 5, 9] 2 4 
C:maj [0, 4, 7] 0 4 
Bb:maj [2, 5, 10] 10 4 
F:maj [0, 5, 9] 5 4 
G:min [2, 7, 10] 7 4 
C:maj [0, 4, 7] 0 4 
Bb:maj [2, 5, 10] 10 4 
F:maj [0, 5, 9] 5 4 
G:min [2, 7, 10] 7 4 
F:maj [0, 5, 9] 5 8 
G:min [2, 7, 10] 7 4 
C:maj [0, 4, 7] 0 4 
F:maj [0, 5, 9] 5 8 
G:min [2, 7, 10] 7 4 
C:maj [0, 4, 7] 0 4 
F:maj [0, 5, 9] 5 8 
G:min [2, 7, 10] 7 4 
C:maj [0, 4, 7] 0 4 
F:maj [0, 5, 9] 5 8 
G:min [2, 7, 10] 7 4 
C:maj [0, 4, 7] 0 4 
F:maj [0, 5, 9] 5 7 
