C#:maj/3 [1, 5, 8] 5 16  
Bb:min [1, 5, 10] 10 14 
Bb:min7 [1, 5, 8, 10] 10 2 
C#:maj [1, 5, 8] 1 2 
Eb:sus4 [3, 8, 10] 3 2 
C:min [0, 3, 7] 0 6 
F:maj [0, 5, 9] 5 6 
Bb:min [1, 5, 10] 10 6 
C:sus4 [0, 5, 7] 0 10 
F:sus2 [0, 5, 7] 5 4 
Eb:maj [3, 7, 10] 3 8 
Ab:sus2 [3, 8, 10] 8 4 
F:min [0, 5, 8] 5 4 
Eb:maj [3, 7, 10] 3 8 
C:maj [0, 4, 7] 0 4 
F:sus2 [0, 5, 7] 5 4  
Eb:maj6 [0, 3, 7, 10] 3 3 
Eb:maj [3, 7, 10] 3 1 
C#:maj [1, 5, 8] 1 4 
Eb:maj [3, 7, 10] 3 8 
F:maj [0, 5, 9] 5 4 
Eb:maj [3, 7, 10] 3 8 
Ab:sus2 [3, 8, 10] 8 4 
F:min [0, 5, 8] 5 4 
Eb:maj [3, 7, 10] 3 8 
C:maj [0, 4, 7] 0 4 
F:sus2 [0, 5, 7] 5 4  
Eb:maj6 [0, 3, 7, 10] 3 3 
Eb:maj [3, 7, 10] 3 1 
C#:maj [1, 5, 8] 1 4 
Eb:maj [3, 7, 10] 3 8 
F:maj [0, 5, 9] 5 4 
Bb:maj [2, 5, 10] 10 4 
C#:maj [1, 5, 8] 1 4 
Ab:maj [0, 3, 8] 8 4 
F:min7/b7 [0, 3, 5, 8] 3 4 
Eb:maj [3, 7, 10] 3 4 
C#:sus2 [1, 3, 8] 1 4 
C:maj [0, 4, 7] 0 4 
F:min [0, 5, 8] 5 4 
Bb:maj [2, 5, 10] 10 4 
C#:maj [1, 5, 8] 1 4 
Ab:maj [0, 3, 8] 8 4 
F:min/b3 [0, 5, 8] 8 3 
F:maj [0, 5, 9] 5 1 
Eb:maj [3, 7, 10] 3 4 
C#:sus2 [1, 3, 8] 1 2 
Eb:maj [3, 7, 10] 3 2 
F:min [0, 5, 8] 5 4 
C#:maj [1, 5, 8] 1 4 
Eb:maj [3, 7, 10] 3 4 
C:min7 [0, 3, 7, 10] 0 4 
F:min [0, 5, 8] 5 4 
Bb:min [1, 5, 10] 10 8 
C:sus4 [0, 5, 7] 0 8 
F:maj [0, 5, 9] 5 4 
Eb:maj [3, 7, 10] 3 8 
Ab:sus2 [3, 8, 10] 8 4 
F:min [0, 5, 8] 5 4 
Eb:maj [3, 7, 10] 3 8 
C:maj [0, 4, 7] 0 4 
F:sus2 [0, 5, 7] 5 4 
Eb:maj6 [0, 3, 7, 10] 3 3 
Eb:maj [3, 7, 10] 3 1 
C#:maj [1, 5, 8] 1 4 
Eb:maj [3, 7, 10] 3 8 
F:maj [0, 5, 9] 5 4 
Bb:maj [2, 5, 10] 10 4 
C#:maj [1, 5, 8] 1 4 
Ab:maj [0, 3, 8] 8 4 
F:min [0, 5, 8] 5 4 
Eb:maj [3, 7, 10] 3 4 
C#:maj [1, 5, 8] 1 4 
C:maj [0, 4, 7] 0 4 
F:min [0, 5, 8] 5 4 
Bb:maj [2, 5, 10] 10 4 
C#:maj [1, 5, 8] 1 4 
Ab:maj [0, 3, 8] 8 4 
F:min [0, 5, 8] 5 4 
Eb:maj [3, 7, 10] 3 4 
C#:maj [1, 5, 8] 1 2 
Eb:maj [3, 7, 10] 3 2 
F:min [0, 5, 8] 5 8 
Bb:maj [2, 5, 10] 10 4 
C#:maj [1, 5, 8] 1 4 
Ab:maj [0, 3, 8] 8 4 
F:min [0, 5, 8] 5 4 
Eb:maj [3, 7, 10] 3 4 
C#:maj [1, 5, 8] 1 4 
C:maj [0, 4, 7] 0 4 
F:min [0, 5, 8] 5 4 
Bb:maj [2, 5, 10] 10 4 
C#:maj [1, 5, 8] 1 4 
Ab:maj [0, 3, 8] 8 4 
F:min [0, 5, 8] 5 4 
Eb:maj [3, 7, 10] 3 4 
C#:maj [1, 5, 8] 1 2 
Eb:maj [3, 7, 10] 3 2 
F:min [0, 5, 8] 5 4 
F:min7 [0, 3, 5, 8] 5 4 
Eb:maj [3, 7, 10] 3 4 
C#:maj [1, 5, 8] 1 2 
Eb:maj [3, 7, 10] 3 4 
F:min [0, 5, 8] 5 8 
