F#:min/5 [1, 6, 9] 1 8 
B:sus2 [1, 6, 11] 11 4 
C#:sus4(b7) [1, 6, 8] 1 4 
F#:min [1, 6, 9] 6 4 
B:maj [3, 6, 11] 11 4 
C#:sus4 [1, 6, 8] 1 4 
F#:sus2 [1, 6, 8] 6 4 
D:maj [2, 6, 9] 2 4 
F#:sus2 [1, 6, 8] 6 4 
D:maj [2, 6, 9] 2 4 
C#:sus4 [1, 6, 8] 1 4 
B:maj [3, 6, 11] 11 4 
C#:min [1, 4, 8] 1 4 
B:maj [3, 6, 11] 11 4 
F#:min [1, 6, 9] 6 4 
B:min [2, 6, 11] 11 4 
F#:min [1, 6, 9] 6 2 
C#:min [1, 4, 8] 1 2 
F#:min [1, 6, 9] 6 2 
E:maj [4, 8, 11] 4 4 
F#:min [1, 6, 9] 6 4 
D:maj [2, 6, 9] 2 4 
B:min [2, 6, 11] 11 4 
E:maj [4, 8, 11] 4 2 
C#:min [1, 4, 8] 1 2 
E:maj [4, 8, 11] 4 2 
C#:min [1, 4, 8] 1 2 
F#:min [1, 6, 9] 6 4 
B:min [2, 6, 11] 11 4 
E:maj [4, 8, 11] 4 2 
C#:min [1, 4, 8] 1 2 
E:maj [4, 8, 11] 4 2 
F#:sus2 [1, 6, 8] 6 8 
F:aug [1, 5, 9] 5 4 
E:sus2 [4, 6, 11] 4 4 
B:7/3 [3, 6, 9, 11] 3 4 
C#:sus4 [1, 6, 8] 1 4 
D:maj [2, 6, 9] 2 4 
F#:sus2 [1, 6, 8] 6 4 
D:maj [2, 6, 9] 2 4 
C#:sus4 [1, 6, 8] 1 4 
B:maj [3, 6, 11] 11 4 
C#:min [1, 4, 8] 1 4 
B:maj [3, 6, 11] 11 4 
F#:min [1, 6, 9] 6 4 
B:min [2, 6, 11] 11 4 
F#:min [1, 6, 9] 6 2 
C#:min [1, 4, 8] 1 2 
F#:min [1, 6, 9] 6 2 
E:maj [4, 8, 11] 4 4 
F#:min [1, 6, 9] 6 4 
D:maj [2, 6, 9] 2 4 
B:min [2, 6, 11] 11 4 
E:maj [4, 8, 11] 4 2 
C#:min [1, 4, 8] 1 2 
E:maj [4, 8, 11] 4 2 
C#:min [1, 4, 8] 1 2 
F#:min [1, 6, 9] 6 4 
B:min [2, 6, 11] 11 4 
E:maj [4, 8, 11] 4 2 
C#:min [1, 4, 8] 1 2 
E:maj [4, 8, 11] 4 2 
F#:sus2 [1, 6, 8] 6 2 
D:maj [2, 6, 9] 2 4 
B:min [2, 6, 11] 11 4 
E:maj [4, 8, 11] 4 2 
C#:min [1, 4, 8] 1 2 
E:maj [4, 8, 11] 4 2 
C#:min [1, 4, 8] 1 2 
F#:min [1, 6, 9] 6 4 
B:min [2, 6, 11] 11 4 
E:maj [4, 8, 11] 4 2 
C#:min [1, 4, 8] 1 2 
E:maj [4, 8, 11] 4 2 
F#:sus2 [1, 6, 8] 6 6 
B:min [2, 6, 11] 11 4 
E:maj [4, 8, 11] 4 2 
C#:min [1, 4, 8] 1 2 
E:maj [4, 8, 11] 4 1 
F#:min [1, 6, 9] 6 9 
