Ab:sus2 [3, 8, 10] 8 4 
E:maj [4, 8, 11] 4 4 
C#:min [1, 4, 8] 1 4 
Eb:sus4 [3, 8, 10] 3 4 
Ab:min [3, 8, 11] 8 4 
E:maj [4, 8, 11] 4 4 
C#:min [1, 4, 8] 1 4 
C#:min9 [1, 3, 4, 8, 11] 1 1 
Eb:sus4 [3, 8, 10] 3 3 
Ab:min [3, 8, 11] 8 2 
Eb:min/b3 [3, 6, 10] 6 2 
E:maj [4, 8, 11] 4 1 
F#:maj [1, 6, 10] 6 1 
B:maj [3, 6, 11] 11 2 
C#:min [1, 4, 8] 1 2 
Eb:maj [3, 7, 10] 3 2 
E:maj [4, 8, 11] 4 1 
F#:maj [1, 6, 10] 6 1 
Ab:min [3, 8, 11] 8 4 
B:maj/5 [3, 6, 11] 6 2 
E:sus2 [4, 6, 11] 4 1 
F#:maj [1, 6, 10] 6 1 
B:maj [3, 6, 11] 11 2 
C#:maj [1, 5, 8] 1 2 
Eb:min [3, 6, 10] 3 2 
E:maj [4, 8, 11] 4 1 
F#:maj [1, 6, 10] 6 1 
Ab:min [3, 8, 11] 8 2 
E:maj [4, 8, 11] 4 1 
F#:maj [1, 6, 10] 6 1 
B:sus2 [1, 6, 11] 11 2 
E:maj [4, 8, 11] 4 1 
F#:maj [1, 6, 10] 6 1 
B:maj [3, 6, 11] 11 2 
C#:min [1, 4, 8] 1 4 
Eb:sus4 [3, 8, 10] 3 2 
Eb:maj [3, 7, 10] 3 2 
E:maj [4, 8, 11] 4 1 
F#:maj [1, 6, 10] 6 1 
B:maj [3, 6, 11] 11 2 
C#:min [1, 4, 8] 1 1 
F#:maj [1, 6, 10] 6 1 
B:maj [3, 6, 11] 11 2 
C#:min [1, 4, 8] 1 2 
Eb:maj [3, 7, 10] 3 2 
Ab:min [3, 8, 11] 8 4 
E:maj [4, 8, 11] 4 4 
B:maj/3 [3, 6, 11] 3 4 
C#:min [1, 4, 8] 1 4 
Eb:sus4 [3, 8, 10] 3 4 
E:maj [4, 8, 11] 4 5 
D:maj [2, 6, 9] 2 3 
C#:min [1, 4, 8] 1 4 
C#:min7 [1, 4, 8, 11] 1 1 
Eb:7 [1, 3, 7, 10] 3 3 
Ab:min [3, 8, 11] 8 2 
Eb:min/b3 [3, 6, 10] 6 2 
E:maj [4, 8, 11] 4 1 
F#:maj [1, 6, 10] 6 1 
B:maj [3, 6, 11] 11 2 
C#:min [1, 4, 8] 1 2 
Eb:maj [3, 7, 10] 3 2 
E:maj [4, 8, 11] 4 1 
F#:maj [1, 6, 10] 6 1 
Ab:min [3, 8, 11] 8 4 
B:maj/5 [3, 6, 11] 6 2 
E:sus2 [4, 6, 11] 4 1 
F#:maj [1, 6, 10] 6 1 
B:maj [3, 6, 11] 11 2 
C#:maj [1, 5, 8] 1 2 
Eb:min [3, 6, 10] 3 2 
E:maj [4, 8, 11] 4 1 
F#:maj [1, 6, 10] 6 1 
Ab:min [3, 8, 11] 8 2 
E:maj [4, 8, 11] 4 1 
F#:maj [1, 6, 10] 6 1 
B:sus2 [1, 6, 11] 11 2 
E:maj [4, 8, 11] 4 1 
F#:maj [1, 6, 10] 6 1 
B:maj [3, 6, 11] 11 2 
C#:min [1, 4, 8] 1 4 
Eb:sus4 [3, 8, 10] 3 2 
Eb:maj [3, 7, 10] 3 2 
E:maj [4, 8, 11] 4 1 
F#:maj [1, 6, 10] 6 1 
B:maj [3, 6, 11] 11 2 
C#:min [1, 4, 8] 1 1 
F#:maj [1, 6, 10] 6 1 
B:maj [3, 6, 11] 11 2 
C#:min [1, 4, 8] 1 2 
Eb:maj [3, 7, 10] 3 2 
Ab:min [3, 8, 11] 8 4 
E:maj7 [2, 4, 8, 11] 4 1 
F#:maj [1, 6, 10] 6 1 
B:maj [3, 6, 11] 11 2 
E:maj [4, 8, 11] 4 1 
F#:maj [1, 6, 10] 6 1 
B:maj [3, 6, 11] 11 2 
C#:min [1, 4, 8] 1 2 
B:maj [3, 6, 11] 11 2 
Eb:maj [3, 7, 10] 3 2 
Eb:sus4 [3, 8, 10] 3 2 
F#:7/b7 [1, 4, 6, 10] 4 1 
F#:maj [1, 6, 10] 6 1 
B:maj [3, 6, 11] 11 2 
E:maj6 [1, 4, 8, 11] 4 1 
F#:maj [1, 6, 10] 6 1 
B:maj [3, 6, 11] 11 2 
C#:min [1, 4, 8] 1 2 
Eb:maj [3, 7, 10] 3 2 
Ab:min [3, 8, 11] 8 4 
C#:maj [1, 5, 8] 1 2 
F#:maj6 [1, 3, 6, 10] 6 2 
Ab:maj7 [0, 3, 6, 8] 8 7 
