C:sus2 [0, 2, 7] 0 7 
C:min/5 [0, 3, 7] 7 1 
F:sus2 [0, 5, 7] 5 2 
F:min [0, 5, 8] 5 5 
C:maj/5 [0, 4, 7] 7 1 
G:maj [2, 7, 11] 7 8 
C:min [0, 3, 7] 0 4 
C:min7 [0, 3, 7, 10] 0 4 
Ab:maj [0, 3, 8] 8 4 
G:maj [2, 7, 11] 7 4 
F:min [0, 5, 8] 5 4 
Eb:maj [3, 7, 10] 3 4 
C#:maj [1, 5, 8] 1 4 
C:min [0, 3, 7] 0 8 
Bb:maj [2, 5, 10] 10 4 
Ab:maj [0, 3, 8] 8 2 
Bb:maj [2, 5, 10] 10 2 
Eb:maj [3, 7, 10] 3 2 
G:maj [2, 7, 11] 7 2 
C:min [0, 3, 7] 0 4 
F:min [0, 5, 8] 5 4 
G:min [2, 7, 10] 7 4 
C:maj [0, 4, 7] 0 8 
Bb:maj [2, 5, 10] 10 4 
F:min/b3 [0, 5, 8] 8 2 
Bb:maj [2, 5, 10] 10 2 
Eb:maj [3, 7, 10] 3 2 
G:maj [2, 7, 11] 7 2 
C:min [0, 3, 7] 0 4 
F:min [0, 5, 8] 5 4 
G:min [2, 7, 10] 7 4 
C:min [0, 3, 7] 0 4 
Eb:maj [3, 7, 10] 3 8 
Bb:maj [2, 5, 10] 10 4 
Eb:maj [3, 7, 10] 3 2 
C:maj [0, 4, 7] 0 2 
F:min [0, 5, 8] 5 8 
Bb:maj [2, 5, 10] 10 4 
C:min [0, 3, 7] 0 8 
Bb:maj [2, 5, 10] 10 4 
Ab:maj [0, 3, 8] 8 2 
Bb:maj [2, 5, 10] 10 2 
Eb:maj [3, 7, 10] 3 2 
G:maj [2, 7, 11] 7 2 
C:min [0, 3, 7] 0 4 
F:min [0, 5, 8] 5 4 
G:min [2, 7, 10] 7 4 
C:min [0, 3, 7] 0 4 
Ab:maj [0, 3, 8] 8 4 
A:dim [0, 3, 9] 9 4 
D:maj [2, 6, 9] 2 4 
G:min [2, 7, 10] 7 8 
Ab:maj [0, 3, 8] 8 2 
A:dim [0, 3, 9] 9 2 
Bb:maj [2, 5, 10] 10 2 
G:min [2, 7, 10] 7 2 
C:min [0, 3, 7] 0 8 
Bb:maj [2, 5, 10] 10 4 
Ab:maj [0, 3, 8] 8 2 
Bb:maj [2, 5, 10] 10 2 
Eb:maj [3, 7, 10] 3 2 
G:maj [2, 7, 11] 7 2 
C:min [0, 3, 7] 0 4 
F:min [0, 5, 8] 5 4 
G:min [2, 7, 10] 7 4 
C:maj [0, 4, 7] 0 8 
Bb:maj [2, 5, 10] 10 4 
F:min/b3 [0, 5, 8] 8 2 
Bb:maj [2, 5, 10] 10 2 
Eb:maj [3, 7, 10] 3 2 
G:maj [2, 7, 11] 7 2 
C:min [0, 3, 7] 0 4 
F:min [0, 5, 8] 5 4 
G:min [2, 7, 10] 7 4 
C:min [0, 3, 7] 0 4 
Eb:maj [3, 7, 10] 3 8 
Bb:maj [2, 5, 10] 10 4 
Eb:maj [3, 7, 10] 3 2 
C:maj [0, 4, 7] 0 2 
F:min [0, 5, 8] 5 8 
Bb:maj [2, 5, 10] 10 4 
C:min [0, 3, 7] 0 8 
Bb:maj [2, 5, 10] 10 4 
Ab:maj [0, 3, 8] 8 2 
Bb:maj [2, 5, 10] 10 2 
Eb:maj [3, 7, 10] 3 2 
G:maj [2, 7, 11] 7 2 
C:min [0, 3, 7] 0 4 
F:min [0, 5, 8] 5 4 
G:min [2, 7, 10] 7 4 
C:min [0, 3, 7] 0 8 
Bb:maj [2, 5, 10] 10 4 
G:min [2, 7, 10] 7 4 
C:min [0, 3, 7] 0 8 
Bb:maj [2, 5, 10] 10 4 
G:min [2, 7, 10] 7 4 
C:min [0, 3, 7] 0 8 
Bb:maj [2, 5, 10] 10 4 
G:min [2, 7, 10] 7 4 
C:min [0, 3, 7] 0 8 
Bb:maj [2, 5, 10] 10 4 
G:min [2, 7, 10] 7 4 
C:min [0, 3, 7] 0 3 
