Bb:sus2 [0, 5, 10] 10 20 
D:min/5 [2, 5, 9] 9 4 
Ab:dim [2, 8, 11] 8 4 
Eb:maj/3 [3, 7, 10] 7 4 
Eb:min [3, 6, 10] 3 3 
Bb:maj [2, 5, 10] 10 5 
Eb:maj [3, 7, 10] 3 3 
F:maj [0, 5, 9] 5 5 
Bb:maj [2, 5, 10] 10 4 
D:min/5 [2, 5, 9] 9 4 
Ab:dim [2, 8, 11] 8 4 
C:min/5 [0, 3, 7] 7 4 
Eb:min [3, 6, 10] 3 4 
Bb:maj [2, 5, 10] 10 2 
G:min [2, 7, 10] 7 2 
C:min/b3 [0, 3, 7] 3 2 
F:maj [0, 5, 9] 5 2 
Bb:maj [2, 5, 10] 10 8 
C:min [0, 3, 7] 0 2 
F:maj [0, 5, 9] 5 2 
Bb:maj [2, 5, 10] 10 2 
G:min [2, 7, 10] 7 2 
C:min [0, 3, 7] 0 2 
F:maj [0, 5, 9] 5 2 
Bb:maj [2, 5, 10] 10 2 
G:min [2, 7, 10] 7 2 
C:min [0, 3, 7] 0 2 
F:maj [0, 5, 9] 5 2 
Bb:maj [2, 5, 10] 10 2 
G:min [2, 7, 10] 7 2 
C:min [0, 3, 7] 0 4 
G:min7/b7 [2, 5, 7, 10] 5 4 
Eb:maj [3, 7, 10] 3 2 
F:maj [0, 5, 9] 5 2 
Bb:maj [2, 5, 10] 10 4 
D:min/5 [2, 5, 9] 9 4 
Ab:dim [2, 8, 11] 8 2 
Ab:dim7 [2, 5, 8, 11] 8 2 
Eb:maj/3 [3, 7, 10] 7 4 
Eb:min [3, 6, 10] 3 4 
Bb:maj [2, 5, 10] 10 2 
G:min [2, 7, 10] 7 2 
Eb:maj [3, 7, 10] 3 2 
F:maj [0, 5, 9] 5 2 
Bb:maj [2, 5, 10] 10 4 
Ab:dim7 [2, 5, 8, 11] 8 4 
G:min [2, 7, 10] 7 4 
F:maj [0, 5, 9] 5 4 
C:min [0, 3, 7] 0 2 
D:min [2, 5, 9] 2 2 
Eb:maj [3, 7, 10] 3 4 
C:min [0, 3, 7] 0 2 
D:maj [2, 6, 9] 2 2 
Eb:maj [3, 7, 10] 3 4 
Bb:maj [2, 5, 10] 10 4 
D:min/5 [2, 5, 9] 9 4 
Ab:dim [2, 8, 11] 8 2 
Ab:dim7 [2, 5, 8, 11] 8 2 
Eb:maj/3 [3, 7, 10] 7 4 
Eb:min [3, 6, 10] 3 3 
Bb:maj [2, 5, 10] 10 5 
Eb:maj [3, 7, 10] 3 4 
F:maj [0, 5, 9] 5 4 
Bb:maj [2, 5, 10] 10 4 
D:min/5 [2, 5, 9] 9 4 
Ab:dim [2, 8, 11] 8 4 
C:min/5 [0, 3, 7] 7 4 
Eb:min [3, 6, 10] 3 4 
Bb:maj [2, 5, 10] 10 2 
G:min [2, 7, 10] 7 2 
C:min/b3 [0, 3, 7] 3 2 
F:maj [0, 5, 9] 5 2 
Bb:maj [2, 5, 10] 10 8 
C:min [0, 3, 7] 0 2 
F:maj [0, 5, 9] 5 2 
Bb:maj [2, 5, 10] 10 2 
G:min [2, 7, 10] 7 2 
C:min [0, 3, 7] 0 2 
F:maj [0, 5, 9] 5 2 
Bb:maj [2, 5, 10] 10 2 
G:min [2, 7, 10] 7 2 
C:min [0, 3, 7] 0 2 
F:maj [0, 5, 9] 5 2 
Bb:maj [2, 5, 10] 10 2 
G:min [2, 7, 10] 7 2 
C:min [0, 3, 7] 0 4 
G:min7/b7 [2, 5, 7, 10] 5 4 
Eb:maj [3, 7, 10] 3 2 
F:maj [0, 5, 9] 5 2 
Bb:maj [2, 5, 10] 10 4 
D:min/5 [2, 5, 9] 9 4 
Ab:dim [2, 8, 11] 8 2 
Ab:dim7 [2, 5, 8, 11] 8 2 
Eb:maj/3 [3, 7, 10] 7 4 
Eb:min [3, 6, 10] 3 4 
Bb:maj [2, 5, 10] 10 2 
G:min [2, 7, 10] 7 2 
Eb:maj [3, 7, 10] 3 2 
F:maj [0, 5, 9] 5 2 
Bb:maj [2, 5, 10] 10 6 
D:7/3 [0, 2, 6, 9] 6 2 
Bb:maj [2, 5, 10] 10 2 
G:min [2, 7, 10] 7 1 
C:min7 [0, 3, 7, 10] 0 3 
F:7/5 [0, 3, 5, 9] 0 2 
F:maj [0, 5, 9] 5 2 
