F#:sus2 [1, 6, 8] 6 7
B:maj [3, 6, 11] 11 3
B:sus2 [1, 6, 11] 11 3
F#:min [1, 6, 9] 6 9
C#:7/5 [1, 5, 8, 11] 8 6
F#:min [1, 6, 9] 6 8
B:min [2, 6, 11] 11 2
E:maj [4, 8, 11] 4 2
C#:min [1, 4, 8] 1 2
F#:min [1, 6, 9] 6 2
B:min [2, 6, 11] 11 2
E:maj [4, 8, 11] 4 2
A:maj [1, 4, 9] 9 2
C#:maj [1, 5, 8] 1 2
D:maj [2, 6, 9] 2 2
E:maj [4, 8, 11] 4 2
A:maj7 [1, 4, 7, 9] 9 2
F#:min [1, 6, 9] 6 2
B:min [2, 6, 11] 11 2
E:maj [4, 8, 11] 4 2
F#:min [1, 6, 9] 6 2
C#:maj [1, 5, 8] 1 4
F#:min [1, 6, 9] 6 2
C#:min [1, 4, 8] 1 2
D:maj [2, 6, 9] 2 2
A:maj [1, 4, 9] 9 2
B:min [2, 6, 11] 11 4
D:maj [2, 6, 9] 2 2
E:maj [4, 8, 11] 4 2
F#:min [1, 6, 9] 6 2
C#:min [1, 4, 8] 1 2
D:maj [2, 6, 9] 2 2
A:maj [1, 4, 9] 9 2
B:min [2, 6, 11] 11 4
C#:maj [1, 5, 8] 1 4
F#:min [1, 6, 9] 6 6
E:maj [4, 8, 11] 4 2
C#:min [1, 4, 8] 1 2
F#:min [1, 6, 9] 6 2
B:min [2, 6, 11] 11 2
E:maj [4, 8, 11] 4 2
D:maj [2, 6, 9] 2 2
C#:maj [1, 5, 8] 1 2
F#:min [1, 6, 9] 6 2
A:maj [1, 4, 9] 9 2
B:maj [3, 6, 11] 11 2
D:maj [2, 6, 9] 2 2
F#:min [1, 6, 9] 6 2
A:maj [1, 4, 9] 9 2
B:maj [3, 6, 11] 11 2
B:min [2, 6, 11] 11 2
E:maj [4, 8, 11] 4 2
C#:min [1, 4, 8] 1 2
F#:min [1, 6, 9] 6 2
B:min [2, 6, 11] 11 2
E:maj [4, 8, 11] 4 2
A:maj [1, 4, 9] 9 2
C#:maj [1, 5, 8] 1 2
D:maj [2, 6, 9] 2 2
E:maj [4, 8, 11] 4 2
A:maj7 [1, 4, 7, 9] 9 2
F#:min [1, 6, 9] 6 2
B:min [2, 6, 11] 11 2
E:maj [4, 8, 11] 4 2
D:maj [2, 6, 9] 2 2
C#:maj [1, 5, 8] 1 4
F#:min [1, 6, 9] 6 2
C#:min [1, 4, 8] 1 2
D:maj [2, 6, 9] 2 2
A:maj [1, 4, 9] 9 2
B:min [2, 6, 11] 11 4
D:maj [2, 6, 9] 2 2
E:maj [4, 8, 11] 4 2
F#:min [1, 6, 9] 6 2
C#:min [1, 4, 8] 1 2
D:maj [2, 6, 9] 2 1
E:maj [4, 8, 11] 4 1
A:maj [1, 4, 9] 9 2
B:min [2, 6, 11] 11 4
C#:maj [1, 5, 8] 1 4
F#:min [1, 6, 9] 6 2
F#:min/b7 [1, 6, 9] 4 2
F#:min [1, 6, 9] 6 2
C#:min [1, 4, 8] 1 2
D:maj [2, 6, 9] 2 1
E:maj [4, 8, 11] 4 1
A:maj [1, 4, 9] 9 2
B:min [2, 6, 11] 11 4
D:maj [2, 6, 9] 2 2
E:maj [4, 8, 11] 4 2
F#:min [1, 6, 9] 6 2
C#:min [1, 4, 8] 1 2
D:maj [2, 6, 9] 2 2
A:maj [1, 4, 9] 9 2
B:min [2, 6, 11] 11 4
C#:maj [1, 5, 8] 1 4
F#:min [1, 6, 9] 6 2
A:maj [1, 4, 9] 9 2
B:maj [3, 6, 11] 11 2
D:maj [2, 6, 9] 2 2
F#:min [1, 6, 9] 6 2
A:maj [1, 4, 9] 9 2
B:maj [3, 6, 11] 11 2
C#:maj [1, 5, 8] 1 2
