Eb:min/b3 [3, 6, 10] 6 4
F#:maj/5 [1, 6, 10] 1 4 
Eb:min [3, 6, 10] 3 4 
B:maj [3, 6, 11] 11 4 
C#:maj [1, 5, 8] 1 4 
B:maj [3, 6, 11] 11 4 
Bb:min7 [1, 5, 8, 10] 10 2 
Eb:min [3, 6, 10] 3 2 
Ab:min [3, 8, 11] 8 4 
C#:maj [1, 5, 8] 1 4 
F#:maj [1, 6, 10] 6 4 
Eb:min [3, 6, 10] 3 4 
B:maj [3, 6, 11] 11 4 
C#:sus2 [1, 3, 8] 1 4 
B:maj [3, 6, 11] 11 4 
Bb:min [1, 5, 10] 10 2 
Eb:min [3, 6, 10] 3 2 
Ab:min [3, 8, 11] 8 4 
C#:maj [1, 5, 8] 1 4 
F#:maj [1, 6, 10] 6 4 
Eb:min [3, 6, 10] 3 4 
B:maj [3, 6, 11] 11 4 
C#:maj [1, 5, 8] 1 4 
B:maj [3, 6, 11] 11 4 
Bb:min [1, 5, 10] 10 2 
Eb:min [3, 6, 10] 3 2 
Ab:min [3, 8, 11] 8 4 
C#:sus2 [1, 3, 8] 1 4 
Eb:min [3, 6, 10] 3 4 
Bb:min [1, 5, 10] 10 4 
B:maj [3, 6, 11] 11 4 
C#:maj [1, 5, 8] 1 4 
Ab:min [3, 8, 11] 8 4 
Bb:min [1, 5, 10] 10 4 
B:maj [3, 6, 11] 11 4 
C#:sus2 [1, 3, 8] 1 4 
Eb:min [3, 6, 10] 3 4 
Bb:min [1, 5, 10] 10 4 
B:maj [3, 6, 11] 11 4 
C#:maj [1, 5, 8] 1 4 
Ab:min [3, 8, 11] 8 4 
Bb:min [1, 5, 10] 10 4 
B:maj [3, 6, 11] 11 4 
C#:sus2 [1, 3, 8] 1 4 
Bb:maj [2, 5, 10] 10 2 
Ab:min [3, 8, 11] 8 2 
F#:maj [1, 6, 10] 6 8 
Eb:min [3, 6, 10] 3 4 
B:maj [3, 6, 11] 11 4 
C#:maj [1, 5, 8] 1 4 
B:maj [3, 6, 11] 11 4 
Bb:min7 [1, 5, 8, 10] 10 2 
Eb:min [3, 6, 10] 3 2 
Ab:min [3, 8, 11] 8 4 
C#:maj [1, 5, 8] 1 4 
F#:maj [1, 6, 10] 6 4 
Eb:min [3, 6, 10] 3 4 
B:maj [3, 6, 11] 11 4 
C#:maj [1, 5, 8] 1 4 
B:maj [3, 6, 11] 11 4 
Bb:min [1, 5, 10] 10 2 
Eb:min [3, 6, 10] 3 2 
Ab:min [3, 8, 11] 8 4 
C#:sus2 [1, 3, 8] 1 4 
Eb:min [3, 6, 10] 3 4 
Bb:min [1, 5, 10] 10 4 
B:maj [3, 6, 11] 11 4 
C#:maj [1, 5, 8] 1 4 
Ab:min [3, 8, 11] 8 4 
Bb:min [1, 5, 10] 10 4 
B:maj [3, 6, 11] 11 4 
C#:sus2 [1, 3, 8] 1 4 
Eb:min [3, 6, 10] 3 4 
Bb:min [1, 5, 10] 10 4 
B:maj [3, 6, 11] 11 4 
C#:maj [1, 5, 8] 1 4 
Ab:min [3, 8, 11] 8 4 
Bb:min [1, 5, 10] 10 4 
B:maj [3, 6, 11] 11 4 
C#:sus2 [1, 3, 8] 1 4 
Eb:min [3, 6, 10] 3 4 
Bb:min [1, 5, 10] 10 4 
B:maj [3, 6, 11] 11 4 
C#:maj [1, 5, 8] 1 4 
Ab:min [3, 8, 11] 8 4 
Bb:min [1, 5, 10] 10 4 
B:maj [3, 6, 11] 11 4 
C#:sus2 [1, 3, 8] 1 4 
Eb:min [3, 6, 10] 3 4 
Bb:min [1, 5, 10] 10 4 
B:maj [3, 6, 11] 11 4 
C#:maj [1, 5, 8] 1 4 
Ab:min [3, 8, 11] 8 4 
Bb:min [1, 5, 10] 10 4 
B:maj [3, 6, 11] 11 4 
C#:sus2 [1, 3, 8] 1 4 
C#:maj [1, 5, 8] 1 4 
F#:maj [1, 6, 10] 6 4 
Eb:min [3, 6, 10] 3 4 
B:maj [3, 6, 11] 11 4 
C#:maj [1, 5, 8] 1 4 
F#:maj [1, 6, 10] 6 4 
Eb:min [3, 6, 10] 3 4 
Ab:min [3, 8, 11] 8 2 
C#:maj [1, 5, 8] 1 2 
F#:sus2 [1, 6, 8] 6 5 
