Ab:maj [0, 3, 8] 8 18 
C#:min [1, 4, 8] 1 2 
F#:maj [1, 6, 10] 6 2 
Ab:min [3, 8, 11] 8 2 
C#:min [1, 4, 8] 1 2 
F#:maj [1, 6, 10] 6 2 
Ab:min [3, 8, 11] 8 8 
F#:maj [1, 6, 10] 6 2 
B:maj [3, 6, 11] 11 2 
Ab:min [3, 8, 11] 8 4 
C#:min [1, 4, 8] 1 2 
Eb:maj [3, 7, 10] 3 2 
Ab:min [3, 8, 11] 8 4 
B:maj [3, 6, 11] 11 4 
E:maj [4, 8, 11] 4 2 
F#:maj [1, 6, 10] 6 2 
C#:min [1, 4, 8] 1 2 
Eb:maj [3, 7, 10] 3 2 
Ab:min [3, 8, 11] 8 4 
F#:maj [1, 6, 10] 6 2 
B:maj [3, 6, 11] 11 2 
Ab:min [3, 8, 11] 8 4 
C#:min [1, 4, 8] 1 2 
Eb:maj [3, 7, 10] 3 2 
Ab:min [3, 8, 11] 8 4 
B:maj [3, 6, 11] 11 4 
E:maj [4, 8, 11] 4 2 
F#:maj [1, 6, 10] 6 2 
C#:min [1, 4, 8] 1 1 
Eb:maj [3, 7, 10] 3 1 
Ab:sus2 [3, 8, 10] 8 2 
Eb:maj [3, 7, 10] 3 2 
Ab:min [3, 8, 11] 8 2 
C#:min [1, 4, 8] 1 2 
B:maj [3, 6, 11] 11 2 
Ab:min [3, 8, 11] 8 2 
E:maj [4, 8, 11] 4 2 
Ab:min [3, 8, 11] 8 2 
B:maj [3, 6, 11] 11 2 
Eb:7 [1, 3, 7, 10] 3 2 
Ab:min [3, 8, 11] 8 2 
C#:min [1, 4, 8] 1 2 
B:maj [3, 6, 11] 11 2 
Ab:min [3, 8, 11] 8 2 
E:maj [4, 8, 11] 4 2 
Ab:min [3, 8, 11] 8 2 
B:maj [3, 6, 11] 11 2 
Eb:7 [1, 3, 7, 10] 3 2 
Ab:min [3, 8, 11] 8 4 
E:maj [4, 8, 11] 4 4 
Ab:min [3, 8, 11] 8 4 
E:maj [4, 8, 11] 4 4 
Eb:maj [3, 7, 10] 3 4 
Ab:min [3, 8, 11] 8 4 
F#:maj [1, 6, 10] 6 2 
B:maj [3, 6, 11] 11 2 
Ab:min [3, 8, 11] 8 4 
C#:min [1, 4, 8] 1 2 
Eb:maj [3, 7, 10] 3 2 
Ab:min [3, 8, 11] 8 4 
B:maj [3, 6, 11] 11 4 
E:maj [4, 8, 11] 4 2 
F#:maj [1, 6, 10] 6 2 
C#:min [1, 4, 8] 1 1 
Eb:maj [3, 7, 10] 3 1 
Ab:sus2 [3, 8, 10] 8 2 
Eb:maj [3, 7, 10] 3 2 
Ab:min [3, 8, 11] 8 2 
C#:min [1, 4, 8] 1 2 
B:maj [3, 6, 11] 11 2 
Ab:min [3, 8, 11] 8 2 
E:maj [4, 8, 11] 4 2 
Ab:min [3, 8, 11] 8 2 
B:maj [3, 6, 11] 11 2 
Eb:7 [1, 3, 7, 10] 3 2 
Ab:min [3, 8, 11] 8 2 
C#:min [1, 4, 8] 1 2 
B:maj [3, 6, 11] 11 2 
Ab:min [3, 8, 11] 8 2 
E:maj [4, 8, 11] 4 2 
Ab:min [3, 8, 11] 8 2 
B:maj [3, 6, 11] 11 2 
Eb:7 [1, 3, 7, 10] 3 2 
Ab:min [3, 8, 11] 8 4 
C#:min [1, 4, 8] 1 2 
Eb:maj [3, 7, 10] 3 2 
C#:min [1, 4, 8] 1 2 
Eb:maj [3, 7, 10] 3 2 
E:maj [4, 8, 11] 4 4 
F#:maj [1, 6, 10] 6 4 
G:maj [2, 7, 11] 7 4 
A:min [0, 4, 9] 9 2 
D:min [2, 5, 9] 2 2 
C:maj [0, 4, 7] 0 2 
A:min [0, 4, 9] 9 2 
F:maj [0, 5, 9] 5 2 
A:min [0, 4, 9] 9 2 
C:maj [0, 4, 7] 0 2 
E:7 [2, 4, 8, 11] 4 2 
A:min [0, 4, 9] 9 2 
D:min [2, 5, 9] 2 2 
C:maj [0, 4, 7] 0 2 
A:min [0, 4, 9] 9 2 
F:maj [0, 5, 9] 5 2 
A:min [0, 4, 9] 9 2 
C:maj [0, 4, 7] 0 2 
E:7 [2, 4, 8, 11] 4 2 
A:min [0, 4, 9] 9 4 
F:maj [0, 5, 9] 5 3 
E:maj [4, 8, 11] 4 7 
A:maj [1, 4, 9] 9 16 
