E:maj7 [2, 4, 8, 11] 4 4 
Eb:min [3, 6, 10] 3 4 
C#:min [1, 4, 8] 1 4 
F#:maj [1, 6, 10] 6 4 
B:maj [3, 6, 11] 11 4 
Ab:min [3, 8, 11] 8 4 
E:maj [4, 8, 11] 4 4 
F#:maj [1, 6, 10] 6 4 
B:maj [3, 6, 11] 11 4 
Ab:min [3, 8, 11] 8 4 
E:maj [4, 8, 11] 4 4 
F#:maj [1, 6, 10] 6 4 
E:min [4, 7, 11] 4 4 
B:maj [3, 6, 11] 11 2 
F#:maj/3 [1, 6, 10] 10 2 
Ab:min7 [3, 6, 8, 11] 8 2 
F#:maj [1, 6, 10] 6 2 
E:maj [4, 8, 11] 4 4 
F#:maj [1, 6, 10] 6 4 
B:maj [3, 6, 11] 11 2 
F#:maj/3 [1, 6, 10] 10 2 
Ab:min7 [3, 6, 8, 11] 8 2 
F#:maj [1, 6, 10] 6 2 
E:maj [4, 8, 11] 4 4 
F#:maj [1, 6, 10] 6 4 
B:maj [3, 6, 11] 11 4 
Ab:min [3, 8, 11] 8 4 
E:maj [4, 8, 11] 4 4 
F#:maj [1, 6, 10] 6 4 
B:maj [3, 6, 11] 11 4 
Ab:min [3, 8, 11] 8 4 
E:maj [4, 8, 11] 4 4 
F#:maj [1, 6, 10] 6 4 
E:maj [4, 8, 11] 4 4 
F#:maj [1, 6, 10] 6 4 
B:maj [3, 6, 11] 11 2 
F#:maj/3 [1, 6, 10] 10 2 
Ab:min7 [3, 6, 8, 11] 8 2 
F#:maj [1, 6, 10] 6 2 
E:maj [4, 8, 11] 4 4 
F#:maj [1, 6, 10] 6 4 
B:maj [3, 6, 11] 11 2 
F#:maj/3 [1, 6, 10] 10 2 
Ab:min7 [3, 6, 8, 11] 8 2 
F#:maj [1, 6, 10] 6 2 
E:maj [4, 8, 11] 4 4 
F#:maj [1, 6, 10] 6 4 
B:maj [3, 6, 11] 11 4 
Ab:min [3, 8, 11] 8 4 
E:maj [4, 8, 11] 4 4 
F#:maj [1, 6, 10] 6 4 
B:maj [3, 6, 11] 11 4 
Ab:min [3, 8, 11] 8 4 
E:maj [4, 8, 11] 4 4 
F#:maj [1, 6, 10] 6 4 
E:maj [4, 8, 11] 4 4 
Eb:min7 [1, 3, 6, 10] 3 4 
C#:min [1, 4, 8] 1 4 
F#:maj [1, 6, 10] 6 4 
B:maj [3, 6, 11] 11 4 
Ab:min [3, 8, 11] 8 4 
E:maj [4, 8, 11] 4 4 
F#:maj [1, 6, 10] 6 4 
B:maj [3, 6, 11] 11 4 
Ab:min [3, 8, 11] 8 4 
E:maj [4, 8, 11] 4 4 
F#:maj [1, 6, 10] 6 4 
B:maj [3, 6, 11] 11 1 
C#:maj [1, 5, 8] 1 1 
Eb:7 [1, 3, 7, 10] 3 2 
Ab:min [3, 8, 11] 8 4 
E:maj [4, 8, 11] 4 4 
F#:maj [1, 6, 10] 6 4 
B:maj [3, 6, 11] 11 4 
Ab:min [3, 8, 11] 8 4 
E:maj [4, 8, 11] 4 4 
F#:maj [1, 6, 10] 6 4 
E:maj [4, 8, 11] 4 4 
F#:maj [1, 6, 10] 6 2 
C#:min [1, 4, 8] 1 4 
F#:sus2 [1, 6, 8] 6 4 
B:maj [3, 6, 11] 11 2 
