E:maj/5 [4, 8, 11] 11 18 
B:min7 [2, 6, 9, 11] 11 2 
E:maj [4, 8, 11] 4 2 
F#:min [1, 6, 9] 6 2 
B:maj [3, 6, 11] 11 2 
G:maj [2, 7, 11] 7 4 
F#:maj [1, 6, 10] 6 4 
B:min [2, 6, 11] 11 2 
E:min [4, 7, 11] 4 2 
F#:min [1, 6, 9] 6 2 
B:min [2, 6, 11] 11 2 
E:min [4, 7, 11] 4 2 
A:maj [1, 4, 9] 9 2 
B:min [2, 6, 11] 11 12 
G:maj [2, 7, 11] 7 4 
F#:min [1, 6, 9] 6 4 
E:min [4, 7, 11] 4 4 
F#:min [1, 6, 9] 6 4 
G:maj [2, 7, 11] 7 4 
F#:maj [1, 6, 10] 6 4 
B:min [2, 6, 11] 11 8 
G:maj [2, 7, 11] 7 4 
F#:min [1, 6, 9] 6 4 
E:min [4, 7, 11] 4 4 
F#:min [1, 6, 9] 6 4 
G:maj [2, 7, 11] 7 2 
A:maj [1, 4, 9] 9 2 
B:min [2, 6, 11] 11 6 
E:maj [4, 8, 11] 4 2 
F#:min [1, 6, 9] 6 2 
B:min [2, 6, 11] 11 2 
G:maj [2, 7, 11] 7 4 
F#:maj [1, 6, 10] 6 4 
B:min [2, 6, 11] 11 2 
E:maj [4, 8, 11] 4 2 
F#:min [1, 6, 9] 6 2 
B:min [2, 6, 11] 11 2 
E:min [4, 7, 11] 4 4 
F#:maj [1, 6, 10] 6 4 
B:min [2, 6, 11] 11 2 
E:maj [4, 8, 11] 4 2 
F#:min [1, 6, 9] 6 2 
B:min [2, 6, 11] 11 2 
G:maj [2, 7, 11] 7 4 
F#:maj [1, 6, 10] 6 4 
B:min [2, 6, 11] 11 2 
E:maj [4, 8, 11] 4 2 
F#:min [1, 6, 9] 6 2 
B:min [2, 6, 11] 11 2 
E:maj [4, 8, 11] 4 2 
A:maj [1, 4, 9] 9 2 
B:min [2, 6, 11] 11 4 
G:maj [2, 7, 11] 7 4 
F#:min [1, 6, 9] 6 4 
E:min [4, 7, 11] 4 4 
F#:maj [1, 6, 10] 6 4 
B:min [2, 6, 11] 11 2 
E:maj [4, 8, 11] 4 2 
F#:min [1, 6, 9] 6 2 
B:maj [3, 6, 11] 11 2 
G:maj [2, 7, 11] 7 4 
F#:maj [1, 6, 10] 6 4 
B:min [2, 6, 11] 11 2 
E:min [4, 7, 11] 4 2 
F#:min [1, 6, 9] 6 2 
B:min [2, 6, 11] 11 2 
E:min [4, 7, 11] 4 2 
A:maj [1, 4, 9] 9 2 
B:min [2, 6, 11] 11 12 
G:maj [2, 7, 11] 7 4 
F#:min [1, 6, 9] 6 4 
E:min [4, 7, 11] 4 4 
F#:min [1, 6, 9] 6 4 
G:maj [2, 7, 11] 7 2 
A:maj [1, 4, 9] 9 2 
B:min [2, 6, 11] 11 6 
E:maj [4, 8, 11] 4 2 
F#:min [1, 6, 9] 6 2 
B:min [2, 6, 11] 11 2 
G:maj [2, 7, 11] 7 4 
F#:maj [1, 6, 10] 6 4 
B:min [2, 6, 11] 11 2 
E:maj [4, 8, 11] 4 2 
F#:min [1, 6, 9] 6 2 
B:min [2, 6, 11] 11 2 
E:min [4, 7, 11] 4 4 
F#:maj [1, 6, 10] 6 4 
B:min [2, 6, 11] 11 2 
E:maj [4, 8, 11] 4 2 
F#:min [1, 6, 9] 6 2 
B:min [2, 6, 11] 11 2 
G:maj [2, 7, 11] 7 4 
F#:maj [1, 6, 10] 6 4 
B:min [2, 6, 11] 11 2 
E:maj [4, 8, 11] 4 2 
F#:min [1, 6, 9] 6 2 
B:min [2, 6, 11] 11 2 
E:maj [4, 8, 11] 4 2 
A:maj [1, 4, 9] 9 2 
B:min [2, 6, 11] 11 12 
G:maj [2, 7, 11] 7 4 
F#:maj [1, 6, 10] 6 4 
B:min [2, 6, 11] 11 2 
C:maj/3 [0, 4, 7] 4 2 
F#:min [1, 6, 9] 6 2 
G:maj/3 [2, 7, 11] 11 2 
E:min [4, 7, 11] 4 4 
F#:maj [1, 6, 10] 6 4 
B:min [2, 6, 11] 11 2 
E:maj [4, 8, 11] 4 2 
F#:min [1, 6, 9] 6 2 
B:min [2, 6, 11] 11 2 
G:maj [2, 7, 11] 7 4 
F#:maj [1, 6, 10] 6 4 
B:min [2, 6, 11] 11 2 
E:maj [4, 8, 11] 4 2 
F#:min [1, 6, 9] 6 2 
B:min [2, 6, 11] 11 2 
E:maj [4, 8, 11] 4 2 
A:maj [1, 4, 9] 9 2 
B:min [2, 6, 11] 11 4 
G:maj [2, 7, 11] 7 4 
F#:min [1, 6, 9] 6 10 
B:min [2, 6, 11] 11 2 
E:maj [4, 8, 11] 4 2 
F#:min [1, 6, 9] 6 2 
B:min [2, 6, 11] 11 3 
G:maj [2, 7, 11] 7 2 
A:maj [1, 4, 9] 9 9 
B:maj [3, 6, 11] 11 8 
