C:maj/5 [0, 4, 7] 7 1
G:maj [2, 7, 11] 7 3
F:maj [0, 5, 9] 5 4
C:maj [0, 4, 7] 0 2
G:maj [2, 7, 11] 7 2
F:maj [0, 5, 9] 5 3
G:sus4(b7) [0, 2, 7] 7 1
A:min [0, 4, 9] 9 2
F:maj [0, 5, 9] 5 2
E:min [4, 7, 11] 4 2
A:min [0, 4, 9] 9 2
F:maj [0, 5, 9] 5 4
G:maj [2, 7, 11] 7 12
C:maj [0, 4, 7] 0 2
G:maj [2, 7, 11] 7 2
A:min [0, 4, 9] 9 2
E:min [4, 7, 11] 4 2
F:maj [0, 5, 9] 5 2
A:min/5 [0, 4, 9] 4 2
F:sus2 [0, 5, 7] 5 2
G:maj [2, 7, 11] 7 2
C:maj [0, 4, 7] 0 2
G:maj [2, 7, 11] 7 2
A:maj [1, 4, 9] 9 2
E:min [4, 7, 11] 4 2
F:maj [0, 5, 9] 5 2
E:min [4, 7, 11] 4 1
A:maj [1, 4, 9] 9 1
D:min/b3 [2, 5, 9] 5 1
G:maj [2, 7, 11] 7 1
C:maj [0, 4, 7] 0 4
G:maj [2, 7, 11] 7 2
F:maj [0, 5, 9] 5 2
G:maj [2, 7, 11] 7 2
C:maj [0, 4, 7] 0 2
G:maj [2, 7, 11] 7 2
D:min [2, 5, 9] 2 2
E:min [4, 7, 11] 4 1
E:min7 [2, 4, 7, 11] 4 1
G:maj [2, 7, 11] 7 2
C:maj [0, 4, 7] 0 2
G:maj [2, 7, 11] 7 2
F:maj [0, 5, 9] 5 2
C:maj7/7 [0, 4, 7, 10] 11 2
A:min [0, 4, 9] 9 2
E:min [4, 7, 11] 4 1
A:min [0, 4, 9] 9 1
F:maj [0, 5, 9] 5 2
G:maj [2, 7, 11] 7 2
C:maj [0, 4, 7] 0 2
G:maj [2, 7, 11] 7 2
F:maj [0, 5, 9] 5 2
C:maj7/7 [0, 4, 7, 10] 11 2
A:min [0, 4, 9] 9 2
E:min [4, 7, 11] 4 2
F:sus2 [0, 5, 7] 5 1
G:maj [2, 7, 11] 7 3
C:maj [0, 4, 7] 0 6
G:maj [2, 7, 11] 7 2
F:maj [0, 5, 9] 5 4
C:maj [0, 4, 7] 0 4
A:min [0, 4, 9] 9 4
F:maj [0, 5, 9] 5 2
E:min [4, 7, 11] 4 2
D:maj [2, 6, 9] 2 1
E:min [4, 7, 11] 4 1
F:maj7/7 [0, 3, 5, 9] 4 1
G:maj [2, 7, 11] 7 2
A:min [0, 4, 9] 9 5
D:maj [2, 6, 9] 2 2
G:maj [2, 7, 11] 7 12
G:maj [2, 7, 11] 7 2
A:min [0, 4, 9] 9 2
E:min [4, 7, 11] 4 2
F:maj [0, 5, 9] 5 2
A:min/5 [0, 4, 9] 4 2
F:maj [0, 5, 9] 5 2
G:maj [2, 7, 11] 7 2
C:maj [0, 4, 7] 0 2
G:maj [2, 7, 11] 7 2
A:maj [1, 4, 9] 9 2
E:min [4, 7, 11] 4 2
F:maj [0, 5, 9] 5 2
E:min [4, 7, 11] 4 1
A:min [0, 4, 9] 9 1
D:min/b3 [2, 5, 9] 5 1
G:maj [2, 7, 11] 7 1
C:maj [0, 4, 7] 0 4
G:maj [2, 7, 11] 7 2
F:maj [0, 5, 9] 5 2
G:maj [2, 7, 11] 7 2
C:maj [0, 4, 7] 0 2
G:maj [2, 7, 11] 7 2
D:min [2, 5, 9] 2 2
E:min [4, 7, 11] 4 1
F:maj6 [0, 2, 5, 9] 5 1
G:maj [2, 7, 11] 7 2
C:maj [0, 4, 7] 0 2
G:maj [2, 7, 11] 7 2
F:maj [0, 5, 9] 5 2
C:maj7/7 [0, 4, 7, 10] 11 2
A:min [0, 4, 9] 9 2
E:min [4, 7, 11] 4 1
A:min [0, 4, 9] 9 1
F:maj [0, 5, 9] 5 2
G:maj [2, 7, 11] 7 2
C:maj [0, 4, 7] 0 2
G:maj [2, 7, 11] 7 2
F:maj [0, 5, 9] 5 2
C:maj7/7 [0, 4, 7, 10] 11 2
A:min [0, 4, 9] 9 2
E:min [4, 7, 11] 4 2
F:sus2 [0, 5, 7] 5 1
G:maj [2, 7, 11] 7 3
C:maj [0, 4, 7] 0 3
G:7/b7 [2, 5, 7, 11] 5 1
C:maj [0, 4, 7] 0 2
G:maj [2, 7, 11] 7 2
F:maj [0, 5, 9] 5 2
C:maj7/7 [0, 4, 7, 10] 11 2
A:min [0, 4, 9] 9 2
E:min [4, 7, 11] 4 1
A:min [0, 4, 9] 9 1
F:maj [0, 5, 9] 5 2
G:maj [2, 7, 11] 7 2
C:maj [0, 4, 7] 0 2
G:maj [2, 7, 11] 7 2
F:maj [0, 5, 9] 5 2
C:maj7/7 [0, 4, 7, 10] 11 2
A:min [0, 4, 9] 9 2
E:min [4, 7, 11] 4 2
F:sus2 [0, 5, 7] 5 1
G:maj [2, 7, 11] 7 3
C:maj [0, 4, 7] 0 6
G:maj [2, 7, 11] 7 2
F:maj [0, 5, 9] 5 2
G:maj [2, 7, 11] 7 1
C:maj [0, 4, 7] 0 5
