D:maj6 [2, 6, 9, 11] 2 1 
G:maj7 [2, 5, 7, 11] 7 3 
D:sus2 [2, 4, 9] 2 6 
C#:aug [1, 5, 9] 1 2 
A:maj/3 [1, 4, 9] 1 4 
D:maj [2, 6, 9] 2 4 
A:maj [1, 4, 9] 9 4 
G:maj [2, 7, 11] 7 2 
A:maj [1, 4, 9] 9 2 
D:maj [2, 6, 9] 2 4 
G:maj [2, 7, 11] 7 4 
F#:min [1, 6, 9] 6 4 
E:min [4, 7, 11] 4 4 
A:maj [1, 4, 9] 9 4 
D:maj [2, 6, 9] 2 4 
A:maj [1, 4, 9] 9 4 
G:maj [2, 7, 11] 7 2 
A:maj [1, 4, 9] 9 2 
D:maj [2, 6, 9] 2 4 
G:maj [2, 7, 11] 7 4 
F#:min [1, 6, 9] 6 2 
B:min [2, 6, 11] 11 2 
G:maj [2, 7, 11] 7 2 
E:maj/3 [4, 8, 11] 8 2 
A:sus4 [2, 4, 9] 9 4 
D:maj [2, 6, 9] 2 2 
A:maj [1, 4, 9] 9 2 
B:min [2, 6, 11] 11 2 
G:maj [2, 7, 11] 7 2 
D:maj [2, 6, 9] 2 2 
A:maj [1, 4, 9] 9 2 
G:maj [2, 7, 11] 7 2 
A:maj [1, 4, 9] 9 2 
D:maj [2, 6, 9] 2 2 
A:maj [1, 4, 9] 9 2 
B:min [2, 6, 11] 11 2 
G:maj [2, 7, 11] 7 2 
D:maj [2, 6, 9] 2 2 
A:maj [1, 4, 9] 9 2 
G:maj [2, 7, 11] 7 4 
A:maj [1, 4, 9] 9 4 
D:maj [2, 6, 9] 2 4 
B:min [2, 6, 11] 11 2 
A:maj [1, 4, 9] 9 2 
G:maj [2, 7, 11] 7 4 
B:min [2, 6, 11] 11 2 
A:maj [1, 4, 9] 9 2 
G:maj [2, 7, 11] 7 2 
A:maj [1, 4, 9] 9 2 
D:maj [2, 6, 9] 2 2 
F#:min [1, 6, 9] 6 2 
G:maj [2, 7, 11] 7 8 
D:maj [2, 6, 9] 2 4 
A:maj [1, 4, 9] 9 4 
G:maj [2, 7, 11] 7 2 
A:maj [1, 4, 9] 9 2 
D:maj [2, 6, 9] 2 4 
G:maj [2, 7, 11] 7 4 
F#:min [1, 6, 9] 6 2 
B:min [2, 6, 11] 11 2 
G:maj [2, 7, 11] 7 2 
E:maj/3 [4, 8, 11] 8 2 
A:sus4 [2, 4, 9] 9 4 
D:maj [2, 6, 9] 2 2 
A:maj [1, 4, 9] 9 2 
B:min [2, 6, 11] 11 2 
G:maj [2, 7, 11] 7 2 
D:maj [2, 6, 9] 2 2 
A:maj [1, 4, 9] 9 2 
G:maj [2, 7, 11] 7 2 
A:maj [1, 4, 9] 9 2 
D:maj [2, 6, 9] 2 2 
A:maj [1, 4, 9] 9 2 
B:min [2, 6, 11] 11 2 
G:maj [2, 7, 11] 7 2 
D:maj [2, 6, 9] 2 2 
A:maj [1, 4, 9] 9 2 
G:maj [2, 7, 11] 7 4 
A:maj [1, 4, 9] 9 4 
D:maj [2, 6, 9] 2 2 
A:maj [1, 4, 9] 9 2 
D:maj [2, 6, 9] 2 2 
A:maj [1, 4, 9] 9 2 
B:min [2, 6, 11] 11 2 
G:maj [2, 7, 11] 7 2 
D:maj [2, 6, 9] 2 2 
A:maj [1, 4, 9] 9 2 
G:maj [2, 7, 11] 7 2 
A:maj [1, 4, 9] 9 2 
D:maj [2, 6, 9] 2 2 
A:maj [1, 4, 9] 9 2 
B:min [2, 6, 11] 11 2 
G:maj [2, 7, 11] 7 2 
D:maj [2, 6, 9] 2 2 
A:maj [1, 4, 9] 9 2 
G:maj [2, 7, 11] 7 4 
A:maj [1, 4, 9] 9 4 
D:maj [2, 6, 9] 2 8 
F#:min [1, 6, 9] 6 1 
G:maj [2, 7, 11] 7 5 
D:maj [2, 6, 9] 2 3 
