B:min/5 [2, 6, 11] 6 6 
G:maj [2, 7, 11] 7 2 
E:maj [4, 8, 11] 4 1 
F#:maj [1, 6, 10] 6 1 
B:min [2, 6, 11] 11 2 
E:min [4, 7, 11] 4 1 
F#:min [1, 6, 9] 6 1 
G:maj [2, 7, 11] 7 1 
E:maj/3 [4, 8, 11] 8 1 
D:maj [2, 6, 9] 2 2 
E:maj [4, 8, 11] 4 1 
F#:min [1, 6, 9] 6 1 
B:min [2, 6, 11] 11 2 
G:maj [2, 7, 11] 7 1 
F#:min [1, 6, 9] 6 1 
G:maj [2, 7, 11] 7 1 
A:maj [1, 4, 9] 9 1 
B:min [2, 6, 11] 11 10 
F#:min [1, 6, 9] 6 4 
B:min [2, 6, 11] 11 4 
F#:min [1, 6, 9] 6 4 
A:maj [1, 4, 9] 9 4 
B:min [2, 6, 11] 11 4 
F#:min [1, 6, 9] 6 4 
B:min [2, 6, 11] 11 8 
F#:min [1, 6, 9] 6 4 
B:min [2, 6, 11] 11 4 
F#:min [1, 6, 9] 6 4 
A:maj [1, 4, 9] 9 4 
B:min [2, 6, 11] 11 4 
F#:maj [1, 6, 10] 6 2 
A:maj [1, 4, 9] 9 2 
B:min [2, 6, 11] 11 4 
F#:sus4(b7) [1, 6, 11] 6 2 
A:maj [1, 4, 9] 9 2 
B:sus2 [1, 6, 11] 11 4 
F#:maj [1, 6, 10] 6 2 
A:maj [1, 4, 9] 9 2 
B:min [2, 6, 11] 11 6 
F#:min [1, 6, 9] 6 2 
G:maj [2, 7, 11] 7 2 
D:maj7/7 [0, 2, 6, 9] 1 2 
B:min [2, 6, 11] 11 2 
F#:min [1, 6, 9] 6 2 
G:maj [2, 7, 11] 7 2 
A:maj [1, 4, 9] 9 2 
B:min [2, 6, 11] 11 2 
F#:min [1, 6, 9] 6 2 
G:maj [2, 7, 11] 7 2 
D:maj [2, 6, 9] 2 2 
B:min [2, 6, 11] 11 2 
F#:min [1, 6, 9] 6 2 
G:maj [2, 7, 11] 7 2 
A:maj [1, 4, 9] 9 4 
B:min [2, 6, 11] 11 6 
A:maj [1, 4, 9] 9 2 
G:maj [2, 7, 11] 7 3 
A:maj [1, 4, 9] 9 1 
B:min [2, 6, 11] 11 2 
A:maj [1, 4, 9] 9 2 
G:maj [2, 7, 11] 7 4 
E:maj [4, 8, 11] 4 2 
F#:min [1, 6, 9] 6 2 
G:maj [2, 7, 11] 7 2 
A:maj [1, 4, 9] 9 4 
B:min [2, 6, 11] 11 8 
F#:min [1, 6, 9] 6 4 
B:min [2, 6, 11] 11 4 
F#:min [1, 6, 9] 6 4 
A:maj [1, 4, 9] 9 4 
B:min [2, 6, 11] 11 4 
F#:maj [1, 6, 10] 6 2 
A:maj [1, 4, 9] 9 2 
B:min [2, 6, 11] 11 4 
F#:sus4(b7) [1, 6, 11] 6 2 
A:maj [1, 4, 9] 9 2 
B:sus2 [1, 6, 11] 11 4 
F#:maj [1, 6, 10] 6 2 
A:maj [1, 4, 9] 9 2 
B:min [2, 6, 11] 11 6 
F#:min [1, 6, 9] 6 2 
G:maj [2, 7, 11] 7 2 
D:maj7/7 [0, 2, 6, 9] 1 2 
B:min [2, 6, 11] 11 2 
F#:min [1, 6, 9] 6 2 
G:maj [2, 7, 11] 7 2 
A:maj [1, 4, 9] 9 2 
B:min [2, 6, 11] 11 2 
F#:min [1, 6, 9] 6 2 
G:maj [2, 7, 11] 7 2 
D:maj [2, 6, 9] 2 2 
B:min [2, 6, 11] 11 2 
F#:min [1, 6, 9] 6 2 
G:maj [2, 7, 11] 7 2 
A:maj [1, 4, 9] 9 4 
B:min [2, 6, 11] 11 4 
G:maj [2, 7, 11] 7 2 
A:maj [1, 4, 9] 9 8 
B:min [2, 6, 11] 11 2 
E:maj [4, 8, 11] 4 1 
F#:min [1, 6, 9] 6 1 
