A:sus2 [4, 9, 11] 9 4 
D:maj [2, 6, 9] 2 20 
B:min [2, 6, 11] 11 4 
C:maj [0, 4, 7] 0 4 
A:maj [1, 4, 9] 9 4 
D:maj [2, 6, 9] 2 4 
B:min [2, 6, 11] 11 4 
C:maj [0, 4, 7] 0 4 
A:maj [1, 4, 9] 9 4 
F#:min [1, 6, 9] 6 4 
B:maj [3, 6, 11] 11 4 
E:min [4, 7, 11] 4 6 
A:maj [1, 4, 9] 9 2 
F#:min [1, 6, 9] 6 4 
B:maj [3, 6, 11] 11 4 
E:min [4, 7, 11] 4 2 
A:maj [1, 4, 9] 9 2 
D:maj [2, 6, 9] 2 12 
B:min [2, 6, 11] 11 4 
C:maj [0, 4, 7] 0 4 
A:maj [1, 4, 9] 9 4 
D:maj [2, 6, 9] 2 4 
B:min [2, 6, 11] 11 4 
C:maj [0, 4, 7] 0 4 
A:maj [1, 4, 9] 9 4 
F#:min [1, 6, 9] 6 4 
B:maj [3, 6, 11] 11 4 
E:min [4, 7, 11] 4 4 
E:min7 [2, 4, 7, 11] 4 2 
A:maj [1, 4, 9] 9 2 
F#:min [1, 6, 9] 6 4 
B:maj [3, 6, 11] 11 4 
E:min [4, 7, 11] 4 2 
A:maj [1, 4, 9] 9 2 
D:maj [2, 6, 9] 2 8 
E:maj [4, 8, 11] 4 2 
A:maj [1, 4, 9] 9 2 
F#:min [1, 6, 9] 6 2 
B:maj [3, 6, 11] 11 2 
E:min [4, 7, 11] 4 2 
A:maj [1, 4, 9] 9 2 
D:maj [2, 6, 9] 2 4 
E:min [4, 7, 11] 4 2 
A:maj [1, 4, 9] 9 2 
F#:min [1, 6, 9] 6 2 
B:maj [3, 6, 11] 11 2 
E:min [4, 7, 11] 4 2 
A:maj [1, 4, 9] 9 2 
D:maj [2, 6, 9] 2 4 
F#:dim [0, 6, 9] 6 2 
F#:hdim7 [0, 3, 6, 9] 6 2 
B:maj [3, 6, 11] 11 4 
E:min [4, 7, 11] 4 6 
A:maj [1, 4, 9] 9 2 
F#:dim [0, 6, 9] 6 4 
B:maj [3, 6, 11] 11 4 
E:min [4, 7, 11] 4 2 
A:7 [1, 4, 7, 9] 9 2 
D:maj [2, 6, 9] 2 4 
F#:dim [0, 6, 9] 6 4 
B:maj [3, 6, 11] 11 4 
E:min [4, 7, 11] 4 2 
A:maj [1, 4, 9] 9 2 
F#:dim [0, 6, 9] 6 2 
B:maj [3, 6, 11] 11 2 
E:min [4, 7, 11] 4 2 
A:maj [1, 4, 9] 9 2 
D:maj [2, 6, 9] 2 14 
