F#:maj [1, 6, 10] 6 4 
Ab:maj [0, 3, 8] 8 4 
C#:maj [1, 5, 8] 1 4 
Bb:min [1, 5, 10] 10 4 
Eb:min [3, 6, 10] 3 4 
Ab:maj [0, 3, 8] 8 4 
C#:maj [1, 5, 8] 1 4 
Bb:min [1, 5, 10] 10 4 
Eb:min [3, 6, 10] 3 4 
Ab:maj [0, 3, 8] 8 4 
C#:maj [1, 5, 8] 1 4 
Bb:min [1, 5, 10] 10 4 
Eb:min [3, 6, 10] 3 4 
Ab:maj [0, 3, 8] 8 4 
C#:maj [1, 5, 8] 1 4 
Bb:min [1, 5, 10] 10 4 
Eb:min [3, 6, 10] 3 4 
Ab:maj [0, 3, 8] 8 4 
C#:maj [1, 5, 8] 1 4 
Bb:min [1, 5, 10] 10 4 
Eb:min [3, 6, 10] 3 4 
Ab:maj [0, 3, 8] 8 4 
C#:maj [1, 5, 8] 1 4 
Bb:min [1, 5, 10] 10 4 
Eb:min [3, 6, 10] 3 4 
Ab:maj [0, 3, 8] 8 4 
C#:maj [1, 5, 8] 1 3 
Bb:min [1, 5, 10] 10 5 
Eb:min [3, 6, 10] 3 4 
Ab:maj [0, 3, 8] 8 4 
C#:maj [1, 5, 8] 1 3 
Bb:min [1, 5, 10] 10 5 
Eb:min [3, 6, 10] 3 4 
Ab:maj [0, 3, 8] 8 4 
C#:maj [1, 5, 8] 1 3 
Bb:min [1, 5, 10] 10 5 
Eb:min [3, 6, 10] 3 4 
Ab:maj [0, 3, 8] 8 4 
C#:maj [1, 5, 8] 1 3 
Bb:min [1, 5, 10] 10 5 
Eb:min [3, 6, 10] 3 4 
Ab:maj [0, 3, 8] 8 4 
C#:maj [1, 5, 8] 1 4 
Bb:min [1, 5, 10] 10 4 
Eb:min [3, 6, 10] 3 4 
Ab:maj [0, 3, 8] 8 4 
C#:maj [1, 5, 8] 1 4 
Bb:min [1, 5, 10] 10 4 
Eb:min [3, 6, 10] 3 4 
Ab:maj [0, 3, 8] 8 4 
C#:maj [1, 5, 8] 1 3 
Bb:min [1, 5, 10] 10 5 
Eb:min [3, 6, 10] 3 4 
Ab:maj [0, 3, 8] 8 4 
C#:maj [1, 5, 8] 1 3 
Bb:min [1, 5, 10] 10 5 
Eb:min [3, 6, 10] 3 4 
Ab:maj [0, 3, 8] 8 4 
C#:maj [1, 5, 8] 1 3 
Bb:min [1, 5, 10] 10 5 
Eb:min [3, 6, 10] 3 4 
Ab:maj [0, 3, 8] 8 4 
C#:maj [1, 5, 8] 1 3 
Bb:min [1, 5, 10] 10 5 
Eb:min [3, 6, 10] 3 4 
Ab:maj [0, 3, 8] 8 4 
C#:maj [1, 5, 8] 1 4 
Bb:min [1, 5, 10] 10 4 
Eb:min [3, 6, 10] 3 4 
Ab:maj [0, 3, 8] 8 4 
C#:maj [1, 5, 8] 1 4 
Bb:min [1, 5, 10] 10 4 
Eb:min [3, 6, 10] 3 4 
Ab:maj [0, 3, 8] 8 4 
C#:maj [1, 5, 8] 1 4 
Bb:min [1, 5, 10] 10 4 
Eb:min [3, 6, 10] 3 4 
Ab:maj [0, 3, 8] 8 4 
C#:maj [1, 5, 8] 1 4 
Bb:min [1, 5, 10] 10 4 
Eb:min [3, 6, 10] 3 4 
Ab:maj [0, 3, 8] 8 4 
C#:maj [1, 5, 8] 1 3 
Bb:min [1, 5, 10] 10 5 
Eb:min [3, 6, 10] 3 4 
Ab:maj [0, 3, 8] 8 4 
C#:maj [1, 5, 8] 1 3 
Bb:min [1, 5, 10] 10 5 
Eb:min [3, 6, 10] 3 4 
Ab:maj [0, 3, 8] 8 4 
C#:maj [1, 5, 8] 1 3 
Bb:min [1, 5, 10] 10 5 
Eb:min [3, 6, 10] 3 4 
Ab:maj [0, 3, 8] 8 4 
C#:maj [1, 5, 8] 1 3 
Bb:min [1, 5, 10] 10 5 
Eb:min [3, 6, 10] 3 4 
Ab:maj [0, 3, 8] 8 4 
C#:maj [1, 5, 8] 1 3 
Bb:min [1, 5, 10] 10 5 
Eb:min [3, 6, 10] 3 4 
Ab:maj [0, 3, 8] 8 4 
C#:maj [1, 5, 8] 1 3 
Bb:min [1, 5, 10] 10 5 
Eb:min [3, 6, 10] 3 4 
Ab:maj [0, 3, 8] 8 4 
C#:maj [1, 5, 8] 1 3 
Bb:min [1, 5, 10] 10 5 
Eb:min [3, 6, 10] 3 4 
Ab:maj [0, 3, 8] 8 4 
C#:maj [1, 5, 8] 1 4 
