C:maj/3 [0, 4, 7] 4 52 
D:maj [2, 6, 9] 2 4 
C:maj [0, 4, 7] 0 4 
G:maj [2, 7, 11] 7 4 
E:min [4, 7, 11] 4 4 
C:maj [0, 4, 7] 0 4 
D:maj [2, 6, 9] 2 4 
E:min [4, 7, 11] 4 8 
B:min [2, 6, 11] 11 4 
D:maj [2, 6, 9] 2 4 
G:aug [3, 7, 11] 7 2 
B:maj [3, 6, 11] 11 2 
E:min [4, 7, 11] 4 4 
A:maj [1, 4, 9] 9 4 
C:maj [0, 4, 7] 0 2 
D:maj [2, 6, 9] 2 2 
E:min [4, 7, 11] 4 8 
B:min [2, 6, 11] 11 4 
D:maj [2, 6, 9] 2 4 
G:aug [3, 7, 11] 7 2 
B:maj [3, 6, 11] 11 2 
E:min [4, 7, 11] 4 4 
A:maj [1, 4, 9] 9 4 
C:maj [0, 4, 7] 0 2 
D:maj [2, 6, 9] 2 2 
E:min [4, 7, 11] 4 4 
C:maj [0, 4, 7] 0 2 
D:maj [2, 6, 9] 2 2 
E:min [4, 7, 11] 4 4 
C:maj [0, 4, 7] 0 2 
D:maj [2, 6, 9] 2 2 
G:aug [3, 7, 11] 7 2 
B:maj [3, 6, 11] 11 2 
C:maj [0, 4, 7] 0 2 
D:maj [2, 6, 9] 2 2 
E:min [4, 7, 11] 4 2 
B:min [2, 6, 11] 11 2 
C:maj [0, 4, 7] 0 2 
D:maj [2, 6, 9] 2 2 
E:min [4, 7, 11] 4 8 
D:maj [2, 6, 9] 2 4 
C:maj [0, 4, 7] 0 4 
G:maj [2, 7, 11] 7 4 
E:min [4, 7, 11] 4 4 
C:maj [0, 4, 7] 0 4 
D:maj [2, 6, 9] 2 4 
E:min [4, 7, 11] 4 8 
B:min [2, 6, 11] 11 4 
D:maj [2, 6, 9] 2 4 
G:aug [3, 7, 11] 7 2 
B:maj [3, 6, 11] 11 2 
E:min [4, 7, 11] 4 4 
A:maj [1, 4, 9] 9 4 
C:maj [0, 4, 7] 0 2 
D:maj [2, 6, 9] 2 2 
E:min [4, 7, 11] 4 8 
B:min [2, 6, 11] 11 4 
D:maj [2, 6, 9] 2 4 
G:aug [3, 7, 11] 7 2 
B:maj [3, 6, 11] 11 2 
E:min [4, 7, 11] 4 4 
A:maj [1, 4, 9] 9 4 
C:maj [0, 4, 7] 0 2 
D:maj [2, 6, 9] 2 2 
E:min [4, 7, 11] 4 4 
C:maj [0, 4, 7] 0 2 
D:maj [2, 6, 9] 2 2 
E:min [4, 7, 11] 4 4 
C:maj [0, 4, 7] 0 2 
D:maj [2, 6, 9] 2 2 
G:aug [3, 7, 11] 7 2 
B:maj [3, 6, 11] 11 2 
C:maj [0, 4, 7] 0 2 
D:maj [2, 6, 9] 2 2 
E:min [4, 7, 11] 4 2 
B:min [2, 6, 11] 11 2 
C:maj [0, 4, 7] 0 2 
D:maj [2, 6, 9] 2 2 
E:min [4, 7, 11] 4 56 
D:maj [2, 6, 9] 2 4 
C:maj [0, 4, 7] 0 4 
G:maj [2, 7, 11] 7 4 
E:min [4, 7, 11] 4 4 
C:maj [0, 4, 7] 0 4 
D:maj [2, 6, 9] 2 4 
E:min [4, 7, 11] 4 4 
C:maj [0, 4, 7] 0 2 
D:maj [2, 6, 9] 2 2 
E:min [4, 7, 11] 4 4 
C:maj [0, 4, 7] 0 2 
D:maj [2, 6, 9] 2 2 
G:aug [3, 7, 11] 7 2 
B:maj [3, 6, 11] 11 2 
C:maj [0, 4, 7] 0 2 
D:maj [2, 6, 9] 2 2 
E:min [4, 7, 11] 4 2 
B:min [2, 6, 11] 11 2 
C:maj [0, 4, 7] 0 2 
D:maj [2, 6, 9] 2 2 
E:min [4, 7, 11] 4 4 
C:maj [0, 4, 7] 0 2 
D:maj [2, 6, 9] 2 2 
E:min [4, 7, 11] 4 4 
C:maj [0, 4, 7] 0 2 
D:maj [2, 6, 9] 2 2 
G:aug [3, 7, 11] 7 2 
B:maj [3, 6, 11] 11 2 
C:maj [0, 4, 7] 0 2 
D:maj [2, 6, 9] 2 2 
E:min [4, 7, 11] 4 2 
B:min [2, 6, 11] 11 2 
C:maj [0, 4, 7] 0 2 
D:maj [2, 6, 9] 2 2 
E:min [4, 7, 11] 4 4 
C:maj [0, 4, 7] 0 2 
D:maj [2, 6, 9] 2 6 
E:min [4, 7, 11] 4 4 
D:maj [2, 6, 9] 2 4 
C:maj [0, 4, 7] 0 4 
G:maj [2, 7, 11] 7 4 
E:min [4, 7, 11] 4 4 
C:maj [0, 4, 7] 0 4 
D:maj [2, 6, 9] 2 8 
