C:maj/3 [0, 4, 7] 4 4  
A:min [0, 4, 9] 9 4 
D:maj [2, 6, 9] 2 4 
G:maj [2, 7, 11] 7 4 
C:maj [0, 4, 7] 0 4 
A:min [0, 4, 9] 9 4 
B:maj [3, 6, 11] 11 8 
E:min [4, 7, 11] 4 4 
A:min [0, 4, 9] 9 4 
D:maj [2, 6, 9] 2 4 
G:maj [2, 7, 11] 7 4 
C:maj [0, 4, 7] 0 4 
E:maj [4, 8, 11] 4 2 
C#:dim [1, 4, 7] 1 2 
A:min [0, 4, 9] 9 4 
B:sus4 [4, 6, 11] 11 4 
E:sus2 [4, 6, 11] 4 4 
A:min [0, 4, 9] 9 4 
D:maj [2, 6, 9] 2 4 
G:maj [2, 7, 11] 7 4 
C:maj [0, 4, 7] 0 4 
E:min [4, 7, 11] 4 2 
C#:dim [1, 4, 7] 1 2 
A:min [0, 4, 9] 9 2 
B:maj [3, 6, 11] 11 2 
E:sus2 [4, 6, 11] 4 3 
E:min [4, 7, 11] 4 1 
G:maj [2, 7, 11] 7 4 
D:maj/3 [2, 6, 9] 6 4 
E:min [4, 7, 11] 4 4 
B:min [2, 6, 11] 11 4 
C:maj [0, 4, 7] 0 4 
E:min [4, 7, 11] 4 4 
A:min [0, 4, 9] 9 4 
D:maj [2, 6, 9] 2 4 
G:maj [2, 7, 11] 7 4 
D:maj/3 [2, 6, 9] 6 4 
E:min [4, 7, 11] 4 4 
B:min [2, 6, 11] 11 4 
C:maj [0, 4, 7] 0 4 
E:min [4, 7, 11] 4 4 
A:min [0, 4, 9] 9 2 
B:min [2, 6, 11] 11 2 
E:min [4, 7, 11] 4 4 
F:min [0, 5, 8] 5 4 
Bb:min [1, 5, 10] 10 4 
Eb:maj [3, 7, 10] 3 4 
Ab:maj [0, 3, 8] 8 4 
C#:maj [1, 5, 8] 1 4 
Bb:min [1, 5, 10] 10 4 
C:maj [0, 4, 7] 0 8 
F:sus2 [0, 5, 7] 5 4 
Bb:min [1, 5, 10] 10 4 
Eb:maj [3, 7, 10] 3 4 
Ab:maj [0, 3, 8] 8 4 
C#:maj [1, 5, 8] 1 4 
F:min [0, 5, 8] 5 4 
Bb:min [1, 5, 10] 10 2 
C:maj [0, 4, 7] 0 2 
F:sus2 [0, 5, 7] 5 3 
F:min [0, 5, 8] 5 1 
Ab:maj [0, 3, 8] 8 4 
Eb:maj/3 [3, 7, 10] 7 4 
F:min [0, 5, 8] 5 4 
C:min [0, 3, 7] 0 4 
C#:maj [1, 5, 8] 1 4 
F:min [0, 5, 8] 5 4 
Bb:min [1, 5, 10] 10 4 
Eb:maj [3, 7, 10] 3 4 
Ab:maj [0, 3, 8] 8 4 
Eb:maj/3 [3, 7, 10] 7 4 
F:min [0, 5, 8] 5 4 
C:min [0, 3, 7] 0 4 
C#:maj [1, 5, 8] 1 4 
F:min [0, 5, 8] 5 4 
Bb:min [1, 5, 10] 10 2 
C:min [0, 3, 7] 0 2 
F:min [0, 5, 8] 5 4 
F#:min [1, 6, 9] 6 4 
A:maj [1, 4, 9] 9 4 
E:maj/3 [4, 8, 11] 8 4 
F#:min [1, 6, 9] 6 4 
C#:min [1, 4, 8] 1 4 
D:maj [2, 6, 9] 2 4 
F#:min [1, 6, 9] 6 4 
B:min [2, 6, 11] 11 4 
E:maj [4, 8, 11] 4 4 
A:maj [1, 4, 9] 9 4 
E:maj/3 [4, 8, 11] 8 4 
F#:min [1, 6, 9] 6 4 
C#:min [1, 4, 8] 1 4 
D:maj [2, 6, 9] 2 4 
F#:min [1, 6, 9] 6 4 
B:min [2, 6, 11] 11 2 
C#:min [1, 4, 8] 1 2 
F#:min [1, 6, 9] 6 4 
D:maj [2, 6, 9] 2 4 
F#:min [1, 6, 9] 6 4 
B:min [2, 6, 11] 11 2 
C#:min [1, 4, 8] 1 2 
F#:min [1, 6, 9] 6 4 
D:maj [2, 6, 9] 2 2 
C#:min [1, 4, 8] 1 2 
B:min [2, 6, 11] 11 4 
C#:min7 [1, 4, 8, 11] 1 1 
C#:min [1, 4, 8] 1 4 
F#:min [1, 6, 9] 6 6 
