B:maj [3, 6, 11] 11 8 
D:maj [2, 6, 9] 2 12 
E:min/b3 [4, 7, 11] 7 4 
D:maj [2, 6, 9] 2 12 
E:min/b3 [4, 7, 11] 7 8 
E:min [4, 7, 11] 4 6 
A:min [0, 4, 9] 9 2 
A:maj [1, 4, 9] 9 4 
E:min [4, 7, 11] 4 8 
F:maj/3 [0, 5, 9] 9 2 
G:maj/3 [2, 7, 11] 11 1 
B:min [2, 6, 11] 11 3 
E:min [4, 7, 11] 4 12 
A:min [0, 4, 9] 9 4 
A:maj [1, 4, 9] 9 2 
E:min [4, 7, 11] 4 8 
F:maj/3 [0, 5, 9] 9 2 
G:maj/3 [2, 7, 11] 11 1 
A:min/2 [0, 4, 9] 11 1 
B:min [2, 6, 11] 11 2 
E:min [4, 7, 11] 4 6 
D:maj [2, 6, 9] 2 2 
E:min [4, 7, 11] 4 2 
G:maj [2, 7, 11] 7 4 
E:maj [4, 8, 11] 4 2 
B:min [2, 6, 11] 11 4 
A:min [0, 4, 9] 9 2 
G:maj [2, 7, 11] 7 4 
A:min [0, 4, 9] 9 3 
F:maj/3 [0, 5, 9] 9 1 
B:min [2, 6, 11] 11 2 
E:min [4, 7, 11] 4 6 
D:maj [2, 6, 9] 2 2 
E:min [4, 7, 11] 4 2 
G:maj [2, 7, 11] 7 4 
E:maj [4, 8, 11] 4 2 
B:min [2, 6, 11] 11 4 
A:min [0, 4, 9] 9 2 
G:maj [2, 7, 11] 7 4 
A:min [0, 4, 9] 9 3 
F:maj/3 [0, 5, 9] 9 1 
B:min [2, 6, 11] 11 2 
E:min [4, 7, 11] 4 6 
D:maj [2, 6, 9] 2 2 
E:min [4, 7, 11] 4 4 
A:min [0, 4, 9] 9 4 
A:maj [1, 4, 9] 9 2 
E:min [4, 7, 11] 4 8 
F:maj/3 [0, 5, 9] 9 2 
A:min [0, 4, 9] 9 1 
F:maj/3 [0, 5, 9] 9 1 
B:min [2, 6, 11] 11 2 
E:min [4, 7, 11] 4 12 
A:min [0, 4, 9] 9 4 
A:maj [1, 4, 9] 9 2 
E:min [4, 7, 11] 4 8 
F:maj/3 [0, 5, 9] 9 2 
G:maj/3 [2, 7, 11] 11 1 
B:min [2, 6, 11] 11 3 
E:min [4, 7, 11] 4 38 
D:maj [2, 6, 9] 2 2 
E:min [4, 7, 11] 4 2 
G:maj [2, 7, 11] 7 4 
E:maj [4, 8, 11] 4 2 
B:min [2, 6, 11] 11 4 
A:min [0, 4, 9] 9 2 
G:maj [2, 7, 11] 7 4 
A:min [0, 4, 9] 9 3 
F:maj/3 [0, 5, 9] 9 1 
B:min [2, 6, 11] 11 2 
E:min [4, 7, 11] 4 12 
A:min [0, 4, 9] 9 4 
A:maj [1, 4, 9] 9 2 
E:min [4, 7, 11] 4 8 
F:maj/3 [0, 5, 9] 9 2 
G:maj/3 [2, 7, 11] 11 1 
A:min/2 [0, 4, 9] 11 1 
B:min [2, 6, 11] 11 2 
E:min [4, 7, 11] 4 12 
A:min [0, 4, 9] 9 2 
A:maj [1, 4, 9] 9 4 
E:min [4, 7, 11] 4 8 
F:maj/3 [0, 5, 9] 9 2 
G:maj/3 [2, 7, 11] 11 1 
B:min [2, 6, 11] 11 3 
E:min [4, 7, 11] 4 2 
F:maj/3 [0, 5, 9] 9 2 
G:maj/3 [2, 7, 11] 11 1 
B:min [2, 6, 11] 11 3 
E:min [4, 7, 11] 4 4 
D:maj [2, 6, 9] 2 12 
E:min/b3 [4, 7, 11] 7 2 
