G:min [2, 7, 10] 7 16 
A:min [0, 4, 9] 9 2 
F:maj [0, 5, 9] 5 2 
G:maj [2, 7, 11] 7 2 
A:min [0, 4, 9] 9 2 
C:maj [0, 4, 7] 0 2 
G:maj [2, 7, 11] 7 2 
D:min [2, 5, 9] 2 4 
A:min [0, 4, 9] 9 3 
A:sus2 [4, 9, 11] 9 1 
E:min [4, 7, 11] 4 2 
A:min [0, 4, 9] 9 4 
G:maj [2, 7, 11] 7 2 
A:min [0, 4, 9] 9 8 
D:min(9) [0, 2, 4, 5, 9] 2 4 
B:min7/b7 [2, 6, 9, 11] 9 4 
A:min/4 [0, 4, 9] 2 2 
E:min/b3 [4, 7, 11] 7 2 
C:maj(9) [0, 2, 4, 7, 10] 0 6 
G:maj [2, 7, 11] 7 1 
E:min/b3 [4, 7, 11] 7 1 
C:maj/3 [0, 4, 7] 4 2 
A:min [0, 4, 9] 9 2 
F:maj [0, 5, 9] 5 2 
G:maj [2, 7, 11] 7 2 
A:sus4 [2, 4, 9] 9 4 
A:min(9) [0, 4, 7, 9, 11] 9 2 
G:maj [2, 7, 11] 7 2 
A:min [0, 4, 9] 9 4 
F:maj [0, 5, 9] 5 2 
G:maj [2, 7, 11] 7 2 
A:min [0, 4, 9] 9 4 
F:maj [0, 5, 9] 5 2 
G:maj [2, 7, 11] 7 2 
A:min [0, 4, 9] 9 4 
F:maj [0, 5, 9] 5 2 
G:maj [2, 7, 11] 7 2 
A:min [0, 4, 9] 9 4 
B:min [2, 6, 11] 11 2 
G:maj [2, 7, 11] 7 2 
A:maj [1, 4, 9] 9 2 
D:maj [2, 6, 9] 2 2 
G:maj [2, 7, 11] 7 2 
A:maj [1, 4, 9] 9 2 
E:min [4, 7, 11] 4 2 
F#:maj [1, 6, 10] 6 2 
B:min [2, 6, 11] 11 2 
A:maj [1, 4, 9] 9 4 
B:min [2, 6, 11] 11 2 
G:maj [2, 7, 11] 7 2 
A:maj [1, 4, 9] 9 2 
B:min [2, 6, 11] 11 4 
A:min [0, 4, 9] 9 4 
G:maj [2, 7, 11] 7 4 
A:min [0, 4, 9] 9 4 
G:maj [2, 7, 11] 7 4 
A:min [0, 4, 9] 9 4 
E:min/b3 [4, 7, 11] 7 4 
F:maj [0, 5, 9] 5 4 
G:maj [2, 7, 11] 7 4 
A:min [0, 4, 9] 9 4 
D:min/b3 [2, 5, 9] 5 2 
D:min9 [0, 2, 4, 5, 9] 2 2 
A:min [0, 4, 9] 9 4 
F:maj [0, 5, 9] 5 2 
G:maj [2, 7, 11] 7 2 
A:min [0, 4, 9] 9 4 
F:maj [0, 5, 9] 5 2 
G:maj [2, 7, 11] 7 2 
A:min [0, 4, 9] 9 4 
F:maj [0, 5, 9] 5 2 
G:maj [2, 7, 11] 7 2 
A:min [0, 4, 9] 9 4 
B:min [2, 6, 11] 11 2 
G:maj [2, 7, 11] 7 2 
A:maj [1, 4, 9] 9 2 
D:maj [2, 6, 9] 2 2 
G:maj [2, 7, 11] 7 2 
A:maj [1, 4, 9] 9 2 
E:min [4, 7, 11] 4 2 
F#:maj [1, 6, 10] 6 2 
B:min [2, 6, 11] 11 2 
A:maj [1, 4, 9] 9 2 
F#:min [1, 6, 9] 6 2 
B:min [2, 6, 11] 11 2 
G:maj [2, 7, 11] 7 2 
A:maj [1, 4, 9] 9 2 
B:min [2, 6, 11] 11 8 
F#:min/b3 [1, 6, 9] 9 4 
G:maj [2, 7, 11] 7 2 
A:maj [1, 4, 9] 9 2 
A:maj(9) [1, 4, 7, 9, 11] 9 2 
Eb:min/b3 [3, 6, 10] 6 2 
B:min [2, 6, 11] 11 2 
F#:min/b3 [1, 6, 9] 9 2 
F#:maj [1, 6, 10] 6 2 
B:min [2, 6, 11] 11 2 
G:maj [2, 7, 11] 7 2 
A:maj [1, 4, 9] 9 2 
B:sus2 [1, 6, 11] 11 4 
B:min [2, 6, 11] 11 3 
A:sus4 [2, 4, 9] 9 7 
G:maj [2, 7, 11] 7 2 
G:maj9 [2, 5, 7, 9, 11] 7 2 
A:maj [1, 4, 9] 9 5 
B:sus4 [4, 6, 11] 11 4 
