E:maj6 [1, 4, 8, 11] 4 6 
A:sus2 [4, 9, 11] 9 2 
E:maj6 [1, 4, 8, 11] 4 8 
A:maj [1, 4, 9] 9 8 
Ab:min [3, 8, 11] 8 8 
F#:min [1, 6, 9] 6 4 
B:maj [3, 6, 11] 11 4 
E:maj [4, 8, 11] 4 5 
A:maj [1, 4, 9] 9 2 
B:maj [3, 6, 11] 11 1 
E:maj [4, 8, 11] 4 4 
Ab:min/5 [3, 8, 11] 3 4 
C#:min [1, 4, 8] 1 4 
A:maj [1, 4, 9] 9 4 
F#:min [1, 6, 9] 6 4 
B:maj [3, 6, 11] 11 4 
E:maj [4, 8, 11] 4 4 
C#:maj [1, 5, 8] 1 4 
F#:min [1, 6, 9] 6 4 
B:maj [3, 6, 11] 11 4 
Ab:min [3, 8, 11] 8 4 
C#:maj [1, 5, 8] 1 4 
F#:min [1, 6, 9] 6 4 
B:maj [3, 6, 11] 11 4 
E:maj [4, 8, 11] 4 5 
C:maj [0, 4, 7] 0 3 
E:maj [4, 8, 11] 4 4 
Ab:min/5 [3, 8, 11] 3 4 
C#:min [1, 4, 8] 1 4 
A:maj [1, 4, 9] 9 4 
F#:min [1, 6, 9] 6 4 
B:maj [3, 6, 11] 11 4 
E:maj [4, 8, 11] 4 4 
C#:maj [1, 5, 8] 1 4 
F#:min [1, 6, 9] 6 4 
B:maj [3, 6, 11] 11 4 
Ab:min [3, 8, 11] 8 4 
C#:maj [1, 5, 8] 1 4 
F#:min [1, 6, 9] 6 4 
B:maj [3, 6, 11] 11 4 
E:maj [4, 8, 11] 4 8 
A:maj [1, 4, 9] 9 8 
Ab:min [3, 8, 11] 8 8 
F#:min [1, 6, 9] 6 4 
B:maj [3, 6, 11] 11 4 
E:maj [4, 8, 11] 4 8 
A:maj [1, 4, 9] 9 4 
B:maj [3, 6, 11] 11 4 
Ab:min [3, 8, 11] 8 4 
C#:maj [1, 5, 8] 1 4 
F#:min [1, 6, 9] 6 4 
B:maj [3, 6, 11] 11 4 
E:maj [4, 8, 11] 4 6 
C#:maj [1, 5, 8] 1 2 
A:maj [1, 4, 9] 9 8 
Ab:min [3, 8, 11] 8 8 
F#:min [1, 6, 9] 6 4 
B:maj [3, 6, 11] 11 4 
E:maj [4, 8, 11] 4 5 
A:maj [1, 4, 9] 9 2 
B:maj [3, 6, 11] 11 1 
E:maj [4, 8, 11] 4 4 
Ab:min/5 [3, 8, 11] 3 4 
C#:min [1, 4, 8] 1 4 
A:maj [1, 4, 9] 9 4 
F#:min [1, 6, 9] 6 4 
B:maj [3, 6, 11] 11 4 
E:maj [4, 8, 11] 4 4 
C#:maj [1, 5, 8] 1 4 
F#:min [1, 6, 9] 6 4 
B:maj [3, 6, 11] 11 4 
Ab:min [3, 8, 11] 8 4 
C#:maj [1, 5, 8] 1 4 
F#:min [1, 6, 9] 6 4 
B:maj [3, 6, 11] 11 4 
E:maj [4, 8, 11] 4 8 
A:maj [1, 4, 9] 9 8 
Ab:min [3, 8, 11] 8 8 
F#:min [1, 6, 9] 6 4 
B:maj [3, 6, 11] 11 4 
E:maj [4, 8, 11] 4 8 
A:maj [1, 4, 9] 9 4 
B:maj [3, 6, 11] 11 4 
Ab:min [3, 8, 11] 8 4 
C#:maj [1, 5, 8] 1 4 
F#:min [1, 6, 9] 6 4 
B:maj [3, 6, 11] 11 4 
E:maj [4, 8, 11] 4 8 
D:maj [2, 6, 9] 2 8 
E:maj [4, 8, 11] 4 8 
D:maj [2, 6, 9] 2 8 
E:maj [4, 8, 11] 4 8 
C:maj [0, 4, 7] 0 8 
G:maj [2, 7, 11] 7 8 
F#:maj [1, 6, 10] 6 8 
B:maj [3, 6, 11] 11 8 
C#:maj [1, 5, 8] 1 8 
B:maj [3, 6, 11] 11 8 
Bb:min [1, 5, 10] 10 8 
Ab:min [3, 8, 11] 8 4 
C#:maj [1, 5, 8] 1 4 
F#:maj [1, 6, 10] 6 4 
C#:maj [1, 5, 8] 1 4 
B:maj [3, 6, 11] 11 4 
C#:maj [1, 5, 8] 1 4 
Bb:min [1, 5, 10] 10 4 
Eb:maj [3, 7, 10] 3 4 
Ab:min [3, 8, 11] 8 4 
C#:maj [1, 5, 8] 1 4 
F#:maj [1, 6, 10] 6 2 
Eb:min7 [1, 3, 6, 10] 3 2 
Eb:maj [3, 7, 10] 3 4 
Ab:min [3, 8, 11] 8 4 
C#:maj [1, 5, 8] 1 4 
F#:maj [1, 6, 10] 6 6 
Eb:maj [3, 7, 10] 3 2 
B:maj [3, 6, 11] 11 8 
Bb:min [1, 5, 10] 10 8 
Ab:min [3, 8, 11] 8 4 
C#:maj [1, 5, 8] 1 4 
F#:maj [1, 6, 10] 6 2 
B:maj [3, 6, 11] 11 3 
D:maj [2, 6, 9] 2 2 
C#:maj [1, 5, 8] 1 1 
B:maj [3, 6, 11] 11 8 
Bb:min [1, 5, 10] 10 8 
Ab:min [3, 8, 11] 8 4 
C#:maj [1, 5, 8] 1 4 
F#:maj [1, 6, 10] 6 2 
B:maj [3, 6, 11] 11 2 
B:sus4 [4, 6, 11] 11 2 
E:maj [4, 8, 11] 4 2 
D:maj/3 [2, 6, 9] 6 2 
F:maj7/7 [0, 3, 5, 9] 4 2 
