G:maj [2, 7, 11] 7 4 
D:min [2, 5, 9] 2 4 
Eb:maj [3, 7, 10] 3 2 
F:maj [0, 5, 9] 5 2 
Bb:maj [2, 5, 10] 10 2 
D:maj [2, 6, 9] 2 2 
G:min [2, 7, 10] 7 4 
C:min [0, 3, 7] 0 4 
Eb:maj [3, 7, 10] 3 2 
F:maj [0, 5, 9] 5 2 
G:min [2, 7, 10] 7 6 
F:sus2 [0, 5, 7] 5 1 
F:maj6 [0, 2, 5, 9] 5 1 
Eb:maj [3, 7, 10] 3 4 
G:min [2, 7, 10] 7 2 
F:maj [0, 5, 9] 5 2 
D:min [2, 5, 9] 2 4 
Eb:maj [3, 7, 10] 3 2 
F:maj [0, 5, 9] 5 2 
D:min [2, 5, 9] 2 2 
G:min [2, 7, 10] 7 2 
C:maj [0, 4, 7] 0 2 
D:min [2, 5, 9] 2 2 
G:sus2 [2, 7, 9] 7 6 
F:maj [0, 5, 9] 5 2 
Eb:maj [3, 7, 10] 3 4 
G:min [2, 7, 10] 7 2 
F:maj [0, 5, 9] 5 2 
D:min [2, 5, 9] 2 4 
Eb:maj [3, 7, 10] 3 2 
F:maj [0, 5, 9] 5 2 
D:min [2, 5, 9] 2 2 
G:min [2, 7, 10] 7 2 
C:min [0, 3, 7] 0 2 
D:min [2, 5, 9] 2 2 
G:min [2, 7, 10] 7 8 
D:min [2, 5, 9] 2 4 
Eb:maj [3, 7, 10] 3 1 
F:maj [0, 5, 9] 5 3 
Bb:maj [2, 5, 10] 10 2 
D:maj [2, 6, 9] 2 2 
G:min [2, 7, 10] 7 4 
C:min [0, 3, 7] 0 4 
Eb:maj [3, 7, 10] 3 2 
F:maj [0, 5, 9] 5 2 
G:min [2, 7, 10] 7 8 
D:min [2, 5, 9] 2 4 
Eb:maj [3, 7, 10] 3 2 
F:maj [0, 5, 9] 5 2 
Bb:maj [2, 5, 10] 10 2 
D:maj [2, 6, 9] 2 2 
G:min [2, 7, 10] 7 4 
C:min [0, 3, 7] 0 4 
Eb:maj [3, 7, 10] 3 2 
F:maj [0, 5, 9] 5 2 
G:min [2, 7, 10] 7 8 
D:min [2, 5, 9] 2 4 
Eb:maj [3, 7, 10] 3 2 
F:maj [0, 5, 9] 5 2 
Bb:maj [2, 5, 10] 10 2 
D:maj [2, 6, 9] 2 2 
G:min [2, 7, 10] 7 4 
C:min [0, 3, 7] 0 4 
Eb:maj [3, 7, 10] 3 2 
F:maj [0, 5, 9] 5 2 
G:min [2, 7, 10] 7 6 
F:maj [0, 5, 9] 5 2 
Eb:maj [3, 7, 10] 3 4 
G:min [2, 7, 10] 7 2 
F:maj [0, 5, 9] 5 2 
D:min [2, 5, 9] 2 4 
Eb:maj [3, 7, 10] 3 2 
F:maj [0, 5, 9] 5 2 
D:min [2, 5, 9] 2 2 
G:min [2, 7, 10] 7 2 
C:min [0, 3, 7] 0 2 
D:min [2, 5, 9] 2 2 
G:min [2, 7, 10] 7 12 
D:min [2, 5, 9] 2 4 
Eb:maj [3, 7, 10] 3 2 
F:maj [0, 5, 9] 5 2 
Bb:maj [2, 5, 10] 10 1 
D:min [2, 5, 9] 2 1 
D:maj [2, 6, 9] 2 2 
G:min [2, 7, 10] 7 4 
C:min [0, 3, 7] 0 4 
Eb:maj [3, 7, 10] 3 2 
F:maj [0, 5, 9] 5 2 
G:min [2, 7, 10] 7 8 
D:min [2, 5, 9] 2 4 
Eb:maj [3, 7, 10] 3 2 
F:maj [0, 5, 9] 5 2 
Bb:maj [2, 5, 10] 10 2 
D:maj [2, 6, 9] 2 2 
G:min [2, 7, 10] 7 4 
C:min [0, 3, 7] 0 4 
Eb:maj [3, 7, 10] 3 2 
F:maj [0, 5, 9] 5 2 
G:min [2, 7, 10] 7 4 
D:min [2, 5, 9] 2 8 
G:min [2, 7, 10] 7 4 
F:maj [0, 5, 9] 5 4 
Eb:maj [3, 7, 10] 3 2 
F:maj [0, 5, 9] 5 2 
G:min [2, 7, 10] 7 4 
