F#:maj/3 [1, 6, 10] 10 84 
F:min [0, 5, 8] 5 8 
C#:maj [1, 5, 8] 1 4 
Bb:min [1, 5, 10] 10 4 
Eb:maj [3, 7, 10] 3 4 
Bb:min [1, 5, 10] 10 12 
F:min [0, 5, 8] 5 8 
Bb:min [1, 5, 10] 10 4 
F:min [0, 5, 8] 5 4 
Ab:maj [0, 3, 8] 8 4 
Bb:min [1, 5, 10] 10 4 
C#:maj [1, 5, 8] 1 4 
Bb:min [1, 5, 10] 10 4 
Eb:maj [3, 7, 10] 3 4 
F:min [0, 5, 8] 5 4 
C#:maj [1, 5, 8] 1 4 
Bb:min [1, 5, 10] 10 4 
Eb:maj [3, 7, 10] 3 4 
Bb:min [1, 5, 10] 10 4 
F:min [0, 5, 8] 5 6 
Bb:min [1, 5, 10] 10 2 
F:min [0, 5, 8] 5 4 
C#:maj [1, 5, 8] 1 4 
F:min [0, 5, 8] 5 4 
Bb:min [1, 5, 10] 10 4 
Eb:maj [3, 7, 10] 3 4 
Bb:min [1, 5, 10] 10 12 
F:min [0, 5, 8] 5 8 
C#:maj [1, 5, 8] 1 4 
Bb:min [1, 5, 10] 10 4 
Eb:maj [3, 7, 10] 3 4 
Bb:min [1, 5, 10] 10 12 
F:min [0, 5, 8] 5 8 
Bb:min [1, 5, 10] 10 4 
F:min [0, 5, 8] 5 4 
Ab:maj [0, 3, 8] 8 4 
Bb:min [1, 5, 10] 10 4 
C#:maj [1, 5, 8] 1 4 
Bb:min [1, 5, 10] 10 4 
Eb:maj [3, 7, 10] 3 4 
F:min [0, 5, 8] 5 4 
C#:maj [1, 5, 8] 1 4 
Bb:min [1, 5, 10] 10 4 
Eb:maj [3, 7, 10] 3 4 
Bb:min [1, 5, 10] 10 4 
F:min [0, 5, 8] 5 6 
Bb:min [1, 5, 10] 10 2 
F:min [0, 5, 8] 5 4 
C#:maj [1, 5, 8] 1 4 
F:min [0, 5, 8] 5 4 
Bb:min [1, 5, 10] 10 4 
Eb:maj [3, 7, 10] 3 4 
Bb:min [1, 5, 10] 10 4 
Bb:maj [2, 5, 10] 10 6 
Bb:min [1, 5, 10] 10 2 
F:min [0, 5, 8] 5 12 
Bb:min [1, 5, 10] 10 4 
Eb:maj [3, 7, 10] 3 4 
Bb:min [1, 5, 10] 10 8 
C#:maj [1, 5, 8] 1 2 
F:min [0, 5, 8] 5 14 
Bb:min [1, 5, 10] 10 9 
