Eb:sus2 [3, 5, 10] 3 2
Bb:maj/3 [2, 5, 10] 2 2
C:min [0, 3, 7] 0 2
Bb:maj6 [2, 5, 7, 10] 10 2
Ab:maj [0, 3, 8] 8 2
G:min [2, 7, 10] 7 2
F:min [0, 5, 8] 5 4
Bb:maj [2, 5, 10] 10 4
Eb:maj [3, 7, 10] 3 3
G:min/5 [2, 7, 10] 2 1
C:min [0, 3, 7] 0 4
Ab:maj [0, 3, 8] 8 2
Bb:maj [2, 5, 10] 10 2
Eb:maj [3, 7, 10] 3 4
Ab:maj [0, 3, 8] 8 2
Bb:maj [2, 5, 10] 10 2
G:min [2, 7, 10] 7 2
C:min [0, 3, 7] 0 2
Ab:maj [0, 3, 8] 8 4
Bb:sus4 [3, 5, 10] 10 4
Eb:maj [3, 7, 10] 3 3
Eb:maj7 [1, 3, 7, 10] 3 1
C:min [0, 3, 7] 0 4
Ab:maj [0, 3, 8] 8 2
Bb:sus4 [3, 5, 10] 10 2
Eb:maj [3, 7, 10] 3 4
Ab:maj [0, 3, 8] 8 2
Bb:maj [2, 5, 10] 10 2
G:min [2, 7, 10] 7 2
C:min [0, 3, 7] 0 2
F:min [0, 5, 8] 5 2
Bb:maj [2, 5, 10] 10 2
Eb:sus4 [3, 8, 10] 3 4
Ab:maj [0, 3, 8] 8 2
Bb:maj [2, 5, 10] 10 2
G:min [2, 7, 10] 7 2
C:min [0, 3, 7] 0 2
F:min [0, 5, 8] 5 2
Bb:maj [2, 5, 10] 10 2
Eb:maj [3, 7, 10] 3 4
Ab:maj [0, 3, 8] 8 2
Bb:maj [2, 5, 10] 10 2
G:min [2, 7, 10] 7 2
C:min [0, 3, 7] 0 2
F:min [0, 5, 8] 5 2
Bb:maj [2, 5, 10] 10 2
Eb:maj [3, 7, 10] 3 2
Bb:maj [2, 5, 10] 10 2
C:min [0, 3, 7] 0 2
Bb:maj [2, 5, 10] 10 2
Ab:maj [0, 3, 8] 8 2
Bb:maj [2, 5, 10] 10 2
Eb:maj [3, 7, 10] 3 8
C:min [0, 3, 7] 0 4
Ab:maj [0, 3, 8] 8 2
Bb:maj [2, 5, 10] 10 2
Eb:maj [3, 7, 10] 3 4
Ab:maj [0, 3, 8] 8 2
Bb:maj [2, 5, 10] 10 2
G:min [2, 7, 10] 7 2
C:min [0, 3, 7] 0 2
Ab:maj [0, 3, 8] 8 4
Bb:maj/5 [2, 5, 10] 5 4
Eb:maj [3, 7, 10] 3 4
C:min [0, 3, 7] 0 3
C:min7/b7 [0, 3, 7, 10] 10 1
Ab:maj [0, 3, 8] 8 2
Bb:sus4 [3, 5, 10] 10 2
Eb:maj [3, 7, 10] 3 4
Ab:maj [0, 3, 8] 8 2
Bb:maj [2, 5, 10] 10 2
G:min [2, 7, 10] 7 2
C:min [0, 3, 7] 0 2
F:min [0, 5, 8] 5 2
Bb:maj [2, 5, 10] 10 2
Eb:sus4 [3, 8, 10] 3 4
Ab:maj [0, 3, 8] 8 2
Bb:maj [2, 5, 10] 10 2
G:min [2, 7, 10] 7 2
C:min [0, 3, 7] 0 2
F:min [0, 5, 8] 5 2
Bb:maj [2, 5, 10] 10 2
Eb:maj [3, 7, 10] 3 4
Ab:maj [0, 3, 8] 8 2
Bb:maj [2, 5, 10] 10 2
G:min [2, 7, 10] 7 2
C:min [0, 3, 7] 0 2
F:min [0, 5, 8] 5 2
Bb:maj [2, 5, 10] 10 2
Ab:maj [0, 3, 8] 8 6
Bb:maj [2, 5, 10] 10 2
G:min [2, 7, 10] 7 2
C:min [0, 3, 7] 0 2
F:min [0, 5, 8] 5 2
Bb:maj [2, 5, 10] 10 2
Eb:maj [3, 7, 10] 3 4
Ab:maj [0, 3, 8] 8 2
Bb:maj [2, 5, 10] 10 2
G:min [2, 7, 10] 7 2
C:min [0, 3, 7] 0 2
F:min [0, 5, 8] 5 2
Bb:maj [2, 5, 10] 10 2
Eb:maj [3, 7, 10] 3 4
Ab:maj [0, 3, 8] 8 3
Eb:maj [3, 7, 10] 3 1
G:min [2, 7, 10] 7 2
C:min [0, 3, 7] 0 2
F:min [0, 5, 8] 5 2
Bb:maj [2, 5, 10] 10 2
Eb:maj [3, 7, 10] 3 4
Ab:maj [0, 3, 8] 8 2
Bb:maj [2, 5, 10] 10 2
G:min [2, 7, 10] 7 2
C:min [0, 3, 7] 0 2
F:min [0, 5, 8] 5 2
Bb:maj [2, 5, 10] 10 2
Eb:maj [3, 7, 10] 3 4
