Eb:min/b3 [3, 6, 10] 6 1 
F#:maj [1, 6, 10] 6 1 
Eb:min [3, 6, 10] 3 2 
Ab:min [3, 8, 11] 8 2 
Eb:min [3, 6, 10] 3 2 
B:maj [3, 6, 11] 11 4 
F#:maj [1, 6, 10] 6 5 
C#:maj/3 [1, 5, 8] 5 1 
Eb:min [3, 6, 10] 3 2 
Ab:min [3, 8, 11] 8 2 
Eb:min [3, 6, 10] 3 2 
F#:maj [1, 6, 10] 6 3 
F#:maj7 [1, 4, 6, 10] 6 1 
Eb:min [3, 6, 10] 3 8 
F#:maj [1, 6, 10] 6 2 
C#:maj [1, 5, 8] 1 2 
Ab:min [3, 8, 11] 8 2 
Eb:min [3, 6, 10] 3 2 
B:maj [3, 6, 11] 11 2 
F#:maj [1, 6, 10] 6 2 
C#:maj [1, 5, 8] 1 4 
F#:maj [1, 6, 10] 6 2 
C#:maj [1, 5, 8] 1 2 
Eb:min [3, 6, 10] 3 2 
Ab:min [3, 8, 11] 8 2 
B:maj [3, 6, 11] 11 4 
Eb:min [3, 6, 10] 3 4 
F#:maj [1, 6, 10] 6 2 
C#:maj [1, 5, 8] 1 2 
Ab:min [3, 8, 11] 8 2 
Eb:min [3, 6, 10] 3 2 
B:maj [3, 6, 11] 11 2 
F#:maj [1, 6, 10] 6 2 
C#:maj [1, 5, 8] 1 4 
F#:maj [1, 6, 10] 6 2 
Ab:min [3, 8, 11] 8 2 
Eb:min [3, 6, 10] 3 2 
Ab:min [3, 8, 11] 8 2 
B:maj [3, 6, 11] 11 4 
Eb:min [3, 6, 10] 3 8 
B:maj [3, 6, 11] 11 4 
Bb:min [1, 5, 10] 10 4 
B:maj [3, 6, 11] 11 4 
Bb:min [1, 5, 10] 10 4 
Ab:min [3, 8, 11] 8 4 
Eb:min [3, 6, 10] 3 4 
B:maj [3, 6, 11] 11 8 
C#:maj [1, 5, 8] 1 8 
F#:maj [1, 6, 10] 6 2 
C#:maj [1, 5, 8] 1 2 
Ab:min [3, 8, 11] 8 2 
Eb:min [3, 6, 10] 3 2 
B:maj [3, 6, 11] 11 2 
F#:maj [1, 6, 10] 6 2 
C#:maj [1, 5, 8] 1 4 
F#:maj [1, 6, 10] 6 2 
C#:maj [1, 5, 8] 1 2 
Eb:min [3, 6, 10] 3 2 
Ab:min [3, 8, 11] 8 2 
B:maj [3, 6, 11] 11 4 
Eb:min [3, 6, 10] 3 4 
F#:maj [1, 6, 10] 6 2 
C#:maj [1, 5, 8] 1 2 
Ab:min [3, 8, 11] 8 2 
Eb:min [3, 6, 10] 3 2 
B:maj [3, 6, 11] 11 2 
F#:maj [1, 6, 10] 6 2 
C#:maj [1, 5, 8] 1 4 
F#:maj [1, 6, 10] 6 2 
Ab:min [3, 8, 11] 8 2 
Eb:min [3, 6, 10] 3 2 
Ab:min [3, 8, 11] 8 2 
B:maj [3, 6, 11] 11 4 
Eb:min [3, 6, 10] 3 4 
B:maj [3, 6, 11] 11 4 
Ab:min [3, 8, 11] 8 4 
C#:maj [1, 5, 8] 1 4 
F#:maj [1, 6, 10] 6 2 
C#:maj [1, 5, 8] 1 2 
Ab:min [3, 8, 11] 8 2 
Eb:min [3, 6, 10] 3 2 
B:maj [3, 6, 11] 11 2 
F#:maj [1, 6, 10] 6 2 
C#:maj [1, 5, 8] 1 4 
F#:maj [1, 6, 10] 6 2 
C#:maj [1, 5, 8] 1 2 
Eb:min [3, 6, 10] 3 2 
Ab:min [3, 8, 11] 8 2 
B:maj [3, 6, 11] 11 4 
Eb:min [3, 6, 10] 3 4 
F#:maj [1, 6, 10] 6 2 
C#:maj [1, 5, 8] 1 2 
Eb:min [3, 6, 10] 3 2 
Ab:min [3, 8, 11] 8 2 
B:maj [3, 6, 11] 11 4 
Eb:min [3, 6, 10] 3 8 
F#:maj/5 [1, 6, 10] 1 1 
C#:maj/3 [1, 5, 8] 5 1 
Eb:min [3, 6, 10] 3 2 
Ab:min [3, 8, 11] 8 2 
Eb:min [3, 6, 10] 3 2 
Ab:min [3, 8, 11] 8 3 
C#:maj [1, 5, 8] 1 1 
F#:maj [1, 6, 10] 6 5 
C#:maj/3 [1, 5, 8] 5 1 
Eb:min [3, 6, 10] 3 2 
Ab:min [3, 8, 11] 8 1 
Eb:min [3, 6, 10] 3 3 
F#:maj [1, 6, 10] 6 4 
C#:maj [1, 5, 8] 1 1 
Eb:min [3, 6, 10] 3 4 
