C:min7 [0, 3, 7, 10] 0 4 
F:sus4(b7) [0, 5, 10] 5 4 
C:min [0, 3, 7] 0 4 
C#:maj [1, 5, 8] 1 2 
C:min [0, 3, 7] 0 2 
Bb:min [1, 5, 10] 10 4 
Eb:sus4 [3, 8, 10] 3 8 
Ab:maj [0, 3, 8] 8 2 
C:maj [0, 4, 7] 0 2 
F:min [0, 5, 8] 5 2 
Ab:maj [0, 3, 8] 8 1 
Ab:sus4(b7) [1, 3, 8] 8 1 
C#:maj [1, 5, 8] 1 2 
Ab:maj [0, 3, 8] 8 6 
C:maj [0, 4, 7] 0 4 
F:min [0, 5, 8] 5 4 
Bb:min [1, 5, 10] 10 4 
Eb:sus4 [3, 8, 10] 3 4 
Ab:maj [0, 3, 8] 8 2 
C:maj [0, 4, 7] 0 2 
F:min [0, 5, 8] 5 2 
Ab:sus4(b7) [1, 3, 8] 8 2 
C#:maj [1, 5, 8] 1 2 
Eb:maj [3, 7, 10] 3 2 
F:min [0, 5, 8] 5 2 
Ab:sus4(b7) [1, 3, 8] 8 1 
F:maj [0, 5, 9] 5 1 
Bb:min [1, 5, 10] 10 4 
C:min [0, 3, 7] 0 2 
F:min [0, 5, 8] 5 2 
C#:maj [1, 5, 8] 1 2 
D:dim [2, 5, 8] 2 2 
Eb:maj [3, 7, 10] 3 4 
Ab:maj [0, 3, 8] 8 4 
C:min [0, 3, 7] 0 4 
F:min [0, 5, 8] 5 4 
Eb:min7 [1, 3, 6, 10] 3 2 
Ab:sus4(b7) [1, 3, 8] 8 2 
C#:maj [1, 5, 8] 1 4 
C:min [0, 3, 7] 0 2 
F:min [0, 5, 8] 5 2 
Bb:min7 [1, 5, 8, 10] 10 4 
Eb:maj [3, 7, 10] 3 4 
Ab:maj [0, 3, 8] 8 4 
C:min [0, 3, 7] 0 4 
F:min [0, 5, 8] 5 4 
Eb:min7 [1, 3, 6, 10] 3 2 
Ab:maj [0, 3, 8] 8 2 
C#:maj [1, 5, 8] 1 4 
C:min [0, 3, 7] 0 2 
F:min [0, 5, 8] 5 2 
Bb:min7 [1, 5, 8, 10] 10 4 
Eb:maj [3, 7, 10] 3 4 
C#:maj [1, 5, 8] 1 2 
Eb:maj [3, 7, 10] 3 2 
F:min [0, 5, 8] 5 4 
C#:maj [1, 5, 8] 1 2 
Eb:maj [3, 7, 10] 3 2 
F:min [0, 5, 8] 5 4 
Ab:maj [0, 3, 8] 8 2 
C:maj [0, 4, 7] 0 2 
F:min [0, 5, 8] 5 2 
Ab:sus4(b7) [1, 3, 8] 8 2 
C#:maj [1, 5, 8] 1 2 
Eb:maj [3, 7, 10] 3 2 
F:min [0, 5, 8] 5 2 
F:min7 [0, 3, 5, 8] 5 1 
F:maj [0, 5, 9] 5 1 
Bb:min [1, 5, 10] 10 4 
C:min [0, 3, 7] 0 2 
F:min [0, 5, 8] 5 2 
C#:maj [1, 5, 8] 1 2 
D:dim [2, 5, 8] 2 2 
Eb:maj [3, 7, 10] 3 4 
Ab:maj [0, 3, 8] 8 4 
C:min [0, 3, 7] 0 4 
F:min [0, 5, 8] 5 4 
Eb:min7 [1, 3, 6, 10] 3 2 
Ab:sus4(b7) [1, 3, 8] 8 2 
C#:maj [1, 5, 8] 1 4 
C:min [0, 3, 7] 0 2 
F:min [0, 5, 8] 5 2 
Bb:min7 [1, 5, 8, 10] 10 4 
Eb:maj [3, 7, 10] 3 4 
Ab:maj [0, 3, 8] 8 4 
C:min [0, 3, 7] 0 4 
F:min [0, 5, 8] 5 4 
Eb:min7 [1, 3, 6, 10] 3 2 
Ab:maj [0, 3, 8] 8 2 
C#:maj [1, 5, 8] 1 4 
C:min [0, 3, 7] 0 2 
F:min [0, 5, 8] 5 2 
Bb:min7 [1, 5, 8, 10] 10 4 
Eb:maj [3, 7, 10] 3 4 
E:maj [4, 8, 11] 4 2 
F#:maj [1, 6, 10] 6 2 
Eb:maj [3, 7, 10] 3 4 
Ab:maj [0, 3, 8] 8 4 
C:min [0, 3, 7] 0 4 
F:min [0, 5, 8] 5 4 
Eb:min7 [1, 3, 6, 10] 3 2 
Ab:maj [0, 3, 8] 8 2 
C#:maj [1, 5, 8] 1 4 
C:min [0, 3, 7] 0 2 
F:min [0, 5, 8] 5 2 
Bb:min7 [1, 5, 8, 10] 10 4 
Eb:maj [3, 7, 10] 3 4 
C#:maj [1, 5, 8] 1 2 
Eb:sus2 [3, 5, 10] 3 2 
F:min [0, 5, 8] 5 4 
C#:sus2 [1, 3, 8] 1 2 
Eb:sus4 [3, 8, 10] 3 1 
Eb:maj [3, 7, 10] 3 3 
Ab:maj [0, 3, 8] 8 5 
