C#:sus2 [1, 3, 8] 1 8
Eb:maj [3, 7, 10] 3 8
F#:min [1, 6, 9] 6 8
C#:maj [1, 5, 8] 1 16
Eb:maj [3, 7, 10] 3 8
F#:min [1, 6, 9] 6 8
C#:maj/5 [1, 5, 8] 8 12
Eb:maj [3, 7, 10] 3 4
F#:maj [1, 6, 10] 6 8
F:min [0, 5, 8] 5 4
Bb:min [1, 5, 10] 10 4
Eb:min [3, 6, 10] 3 4
Ab:maj [0, 3, 8] 8 4
C#:maj [1, 5, 8] 1 4
G:hdim7 [1, 4, 7, 10] 7 4
F#:maj [1, 6, 10] 6 4
Ab:7 [0, 3, 6, 8] 8 4
F:min [0, 5, 8] 5 4
Bb:min [1, 5, 10] 10 4
Eb:min [3, 6, 10] 3 4
Ab:maj [0, 3, 8] 8 2
Ab:maj6(b7 [0, 3, 5, 6, 8] 8 2
Bb:min [1, 5, 10] 10 4
Ab:maj [0, 3, 8] 8 4
F#:maj [1, 6, 10] 6 4
F:min [0, 5, 8] 5 4
Eb:min [3, 6, 10] 3 8
Ab:maj [0, 3, 8] 8 2
Ab:maj [0, 3, 8] 8 4
F#:maj [1, 6, 10] 6 4
Ab:maj [0, 3, 8] 8 4
F:min [0, 5, 8] 5 4
Bb:min [1, 5, 10] 10 4
Eb:min [3, 6, 10] 3 4
Ab:maj [0, 3, 8] 8 4
C#:maj [1, 5, 8] 1 8
F#:maj [1, 6, 10] 6 4
Ab:maj [0, 3, 8] 8 4
F:min [0, 5, 8] 5 4
Bb:min [1, 5, 10] 10 4
Eb:min [3, 6, 10] 3 4
Ab:maj [0, 3, 8] 8 4
C#:maj [1, 5, 8] 1 8
Eb:maj [3, 7, 10] 3 8
F#:min [1, 6, 9] 6 8
C#:maj [1, 5, 8] 1 4
F#:min [1, 6, 9] 6 2
C#:maj [1, 5, 8] 1 4
G:dim [1, 7, 10] 7 4
F#:maj [1, 6, 10] 6 8
F:min [0, 5, 8] 5 4
Bb:min [1, 5, 10] 10 4
Eb:min [3, 6, 10] 3 4
Ab:maj [0, 3, 8] 8 4
C#:maj [1, 5, 8] 1 4
Eb:maj [3, 7, 10] 3 4
F#:maj [1, 6, 10] 6 8
F:min [0, 5, 8] 5 4
Bb:min [1, 5, 10] 10 4
Eb:min [3, 6, 10] 3 4
Ab:maj [0, 3, 8] 8 2
A:dim [0, 3, 9] 9 2
Bb:min [1, 5, 10] 10 4
Ab:maj [0, 3, 8] 8 4
F#:maj [1, 6, 10] 6 4
F:min [0, 5, 8] 5 4
Eb:min [3, 6, 10] 3 8
Ab:maj [0, 3, 8] 8 2
Ab:maj [0, 3, 8] 8 4
F#:maj [1, 6, 10] 6 4
Ab:maj [0, 3, 8] 8 4
F:min [0, 5, 8] 5 4
Bb:min [1, 5, 10] 10 4
Eb:min [3, 6, 10] 3 4
Ab:maj [0, 3, 8] 8 4
C#:maj [1, 5, 8] 1 4
C#:sus4(b7 [1, 6, 8] 1 4
F#:maj [1, 6, 10] 6 4
Ab:maj [0, 3, 8] 8 4
F:min [0, 5, 8] 5 4
Bb:min [1, 5, 10] 10 4
Eb:min [3, 6, 10] 3 4
Ab:maj [0, 3, 8] 8 4
C#:maj [1, 5, 8] 1 8
F#:maj [1, 6, 10] 6 4
Ab:maj [0, 3, 8] 8 4
F:min [0, 5, 8] 5 4
Bb:min [1, 5, 10] 10 4
Eb:min [3, 6, 10] 3 4
Ab:maj [0, 3, 8] 8 4
C#:maj [1, 5, 8] 1 4
C#:sus4(b7 [1, 6, 8] 1 4
F#:maj [1, 6, 10] 6 4
Ab:maj [0, 3, 8] 8 4
F:min [0, 5, 8] 5 4
Bb:min [1, 5, 10] 10 4
Eb:min [3, 6, 10] 3 4
Ab:maj [0, 3, 8] 8 4
C#:maj [1, 5, 8] 1 8
Eb:maj [3, 7, 10] 3 8
F#:min [1, 6, 9] 6 8
