Bb:min/5 [1, 5, 10] 5 2 
Ab:maj [0, 3, 8] 8 2 
F#:maj [1, 6, 10] 6 4 
Bb:min [1, 5, 10] 10 2 
Ab:maj [0, 3, 8] 8 2 
F#:maj [1, 6, 10] 6 4 
C#:maj [1, 5, 8] 1 2 
F:min/5 [0, 5, 8] 0 2 
Bb:min [1, 5, 10] 10 2 
Ab:maj [0, 3, 8] 8 2 
F#:maj [1, 6, 10] 6 2 
Ab:maj [0, 3, 8] 8 2 
C#:maj [1, 5, 8] 1 2 
F:min/5 [0, 5, 8] 0 2 
Bb:min [1, 5, 10] 10 2 
F:min [0, 5, 8] 5 2 
F#:maj [1, 6, 10] 6 2 
Ab:maj [0, 3, 8] 8 2 
Bb:min [1, 5, 10] 10 2 
Ab:maj [0, 3, 8] 8 2 
F#:maj [1, 6, 10] 6 2 
Ab:sus2 [3, 8, 10] 8 2 
F#:maj/3 [1, 6, 10] 10 2 
Ab:maj [0, 3, 8] 8 2 
F#:maj [1, 6, 10] 6 2 
Ab:maj [0, 3, 8] 8 2 
C#:maj [1, 5, 8] 1 2 
F:maj [0, 5, 9] 5 2 
Bb:min [1, 5, 10] 10 2 
Ab:maj [0, 3, 8] 8 2 
C#:maj [1, 5, 8] 1 2 
Ab:maj [0, 3, 8] 8 2 
Bb:min [1, 5, 10] 10 2 
Ab:maj [0, 3, 8] 8 2 
F#:maj7 [1, 4, 6, 10] 6 2 
Ab:maj [0, 3, 8] 8 2 
F:min [0, 5, 8] 5 2 
Bb:min [1, 5, 10] 10 2 
Eb:min [3, 6, 10] 3 2 
Ab:maj [0, 3, 8] 8 2 
C#:maj [1, 5, 8] 1 2 
Ab:maj [0, 3, 8] 8 2 
C#:maj [1, 5, 8] 1 2 
Ab:maj [0, 3, 8] 8 2 
Bb:min [1, 5, 10] 10 2 
C#:maj [1, 5, 8] 1 4 
Ab:maj [0, 3, 8] 8 2 
Bb:min [1, 5, 10] 10 3 
Ab:maj [0, 3, 8] 8 1 
F#:maj [1, 6, 10] 6 2 
Ab:maj [0, 3, 8] 8 2 
F:min [0, 5, 8] 5 2 
Bb:min [1, 5, 10] 10 2 
F#:maj [1, 6, 10] 6 2 
Ab:maj [0, 3, 8] 8 2 
C#:maj [1, 5, 8] 1 4 
F#:maj [1, 6, 10] 6 4 
Bb:min [1, 5, 10] 10 2 
Ab:maj [0, 3, 8] 8 2 
F#:maj [1, 6, 10] 6 4 
C#:maj [1, 5, 8] 1 2 
F:min/5 [0, 5, 8] 0 2 
Bb:min [1, 5, 10] 10 2 
F:min [0, 5, 8] 5 2 
F#:maj [1, 6, 10] 6 2 
Ab:maj [0, 3, 8] 8 2 
Bb:min [1, 5, 10] 10 2 
Ab:sus4 [1, 3, 8] 8 2 
F#:maj7 [1, 4, 6, 10] 6 2 
Ab:maj6 [0, 3, 5, 8] 8 1 
Ab:sus4 [1, 3, 8] 8 1 
Bb:min [1, 5, 10] 10 2 
Ab:sus4 [1, 3, 8] 8 2 
F#:maj [1, 6, 10] 6 2 
Ab:maj [0, 3, 8] 8 2 
C#:maj [1, 5, 8] 1 2 
F:maj [0, 5, 9] 5 2 
Bb:min [1, 5, 10] 10 2 
Ab:maj [0, 3, 8] 8 2 
C#:maj [1, 5, 8] 1 2 
F:min [0, 5, 8] 5 2 
Bb:min [1, 5, 10] 10 2 
Ab:maj [0, 3, 8] 8 2 
F#:maj7 [1, 4, 6, 10] 6 2 
Ab:maj [0, 3, 8] 8 2 
F:min [0, 5, 8] 5 2 
Bb:min [1, 5, 10] 10 2 
Eb:min [3, 6, 10] 3 2 
Ab:maj [0, 3, 8] 8 2 
C#:maj [1, 5, 8] 1 2 
Ab:maj [0, 3, 8] 8 2 
C#:maj [1, 5, 8] 1 2 
Ab:maj [0, 3, 8] 8 2 
Bb:min [1, 5, 10] 10 2 
Bb:min7 [1, 5, 8, 10] 10 2 
C#:maj [1, 5, 8] 1 2 
Ab:maj [0, 3, 8] 8 2 
Bb:min [1, 5, 10] 10 2 
Bb:min7 [1, 5, 8, 10] 10 2 
F#:maj [1, 6, 10] 6 2 
Ab:maj [0, 3, 8] 8 2 
F:min [0, 5, 8] 5 2 
Bb:min [1, 5, 10] 10 2 
F#:maj [1, 6, 10] 6 2 
Ab:maj [0, 3, 8] 8 2 
C#:maj [1, 5, 8] 1 2 
Bb:maj [2, 5, 10] 10 2 
Eb:maj [3, 7, 10] 3 2 
G:min/5 [2, 7, 10] 2 2 
C:min [0, 3, 7] 0 4 
Eb:maj [3, 7, 10] 3 2 
G:min/5 [2, 7, 10] 2 2 
C:min [0, 3, 7] 0 2 
C:min7 [0, 3, 7, 10] 0 2 
Ab:maj [0, 3, 8] 8 2 
Bb:maj [2, 5, 10] 10 2 
G:min [2, 7, 10] 7 2 
C:min [0, 3, 7] 0 2 
Ab:maj [0, 3, 8] 8 2 
Bb:maj [2, 5, 10] 10 2 
Eb:maj [3, 7, 10] 3 4 
Ab:maj [0, 3, 8] 8 2 
Bb:maj [2, 5, 10] 10 2 
C:min [0, 3, 7] 0 4 
Ab:maj [0, 3, 8] 8 2 
Bb:maj [2, 5, 10] 10 2 
