C#:maj [1, 5, 8] 1 8
A:maj [1, 4, 9] 9 2
B:maj [3, 6, 11] 11 2
C#:min [1, 4, 8] 1 4
F#:min [1, 6, 9] 6 2
B:maj [3, 6, 11] 11 2
E:maj [4, 8, 11] 4 2
C#:min [1, 4, 8] 1 2
A:maj [1, 4, 9] 9 2
B:maj [3, 6, 11] 11 2
C#:min [1, 4, 8] 1 4
F#:min [1, 6, 9] 6 2
Ab:min [3, 8, 11] 8 2
C#:min [1, 4, 8] 1 8
Ab:min [3, 8, 11] 8 4
C#:min [1, 4, 8] 1 2
F#:min [1, 6, 9] 6 2
B:maj [3, 6, 11] 11 2
Ab:min [3, 8, 11] 8 2
C#:min [1, 4, 8] 1 4
Ab:min [3, 8, 11] 8 4
C#:min [1, 4, 8] 1 2
F#:min [1, 6, 9] 6 2
Ab:min [3, 8, 11] 8 2
C#:min [1, 4, 8] 1 4
Ab:min [3, 8, 11] 8 2
F#:min7 [1, 4, 6, 9] 6 2
Ab:min [3, 8, 11] 8 2
C#:min [1, 4, 8] 1 2
F#:min [1, 6, 9] 6 2
Ab:min [3, 8, 11] 8 2
C#:min [1, 4, 8] 1 2
C#:min [1, 4, 8] 1 2
A:maj [1, 4, 9] 9 2
B:maj [3, 6, 11] 11 2
C#:min [1, 4, 8] 1 4
F#:min [1, 6, 9] 6 2
B:maj [3, 6, 11] 11 2
E:maj [4, 8, 11] 4 2
C#:min [1, 4, 8] 1 2
A:maj [1, 4, 9] 9 2
B:maj [3, 6, 11] 11 2
C#:min [1, 4, 8] 1 4
F#:min [1, 6, 9] 6 2
Ab:min [3, 8, 11] 8 2
C#:min [1, 4, 8] 1 2
C#:min [1, 4, 8] 1 4
F#:min [1, 6, 9] 6 4
B:maj [3, 6, 11] 11 4
E:maj [4, 8, 11] 4 2
Ab:min [3, 8, 11] 8 2
C#:min [1, 4, 8] 1 4
F#:min [1, 6, 9] 6 4
Ab:min [3, 8, 11] 8 4
C#:min [1, 4, 8] 1 8
Ab:min [3, 8, 11] 8 4
C#:min [1, 4, 8] 1 2
F#:min [1, 6, 9] 6 2
Ab:min [3, 8, 11] 8 2
C#:min [1, 4, 8] 1 4
Ab:min [3, 8, 11] 8 2
F#:min7 [1, 4, 6, 9] 6 2
Ab:min [3, 8, 11] 8 2
C#:min [1, 4, 8] 1 2
F#:min [1, 6, 9] 6 2
Ab:min [3, 8, 11] 8 2
C#:min [1, 4, 8] 1 2
C#:min [1, 4, 8] 1 2
A:maj [1, 4, 9] 9 2
B:maj [3, 6, 11] 11 2
C#:min [1, 4, 8] 1 4
F#:min [1, 6, 9] 6 2
B:maj [3, 6, 11] 11 2
E:maj [4, 8, 11] 4 2
C#:min [1, 4, 8] 1 2
A:maj [1, 4, 9] 9 2
B:maj [3, 6, 11] 11 2
C#:min [1, 4, 8] 1 4
F#:min [1, 6, 9] 6 2
Ab:min [3, 8, 11] 8 2
C#:min [1, 4, 8] 1 2
C#:min [1, 4, 8] 1 3
A:maj [1, 4, 9] 9 1
B:maj [3, 6, 11] 11 4
C#:min [1, 4, 8] 1 2
F#:min [1, 6, 9] 6 2
B:maj [3, 6, 11] 11 2
E:maj [4, 8, 11] 4 2
C#:min [1, 4, 8] 1 2
A:maj [1, 4, 9] 9 2
B:maj [3, 6, 11] 11 2
C#:min [1, 4, 8] 1 4
F#:min [1, 6, 9] 6 2
Ab:min [3, 8, 11] 8 2
C#:min [1, 4, 8] 1 2
C#:min [1, 4, 8] 1 4
Ab:min [3, 8, 11] 8 4
C#:min [1, 4, 8] 1 2
F#:maj [1, 6, 10] 6 2
Ab:min [3, 8, 11] 8 2
