C#:maj [1, 5, 8] 1 2 
F#:min [1, 6, 9] 6 4 
A:maj [1, 4, 9] 9 2 
C#:min/5 [1, 4, 8] 8 2 
F#:min [1, 6, 9] 6 2 
C#:min/5 [1, 4, 8] 8 1 
F#:min/5 [1, 6, 9] 1 1 
F#:min [1, 6, 9] 6 6 
B:maj [3, 6, 11] 11 2 
C#:min [1, 4, 8] 1 2 
F#:min [1, 6, 9] 6 2 
B:maj [3, 6, 11] 11 2 
C#:min [1, 4, 8] 1 2 
F#:min [1, 6, 9] 6 12 
D:maj [2, 6, 9] 2 2 
C#:min [1, 4, 8] 1 2 
F#:min [1, 6, 9] 6 6 
B:min [2, 6, 11] 11 2 
C#:min [1, 4, 8] 1 2 
F#:min [1, 6, 9] 6 2 
B:min [2, 6, 11] 11 2 
C#:min [1, 4, 8] 1 2 
F#:min [1, 6, 9] 6 12 
D:maj [2, 6, 9] 2 2 
C#:min [1, 4, 8] 1 2 
F#:min [1, 6, 9] 6 6 
D:maj [2, 6, 9] 2 2 
F#:min [1, 6, 9] 6 4 
B:min [2, 6, 11] 11 2 
C#:min [1, 4, 8] 1 2 
F#:min [1, 6, 9] 6 2 
D:maj [2, 6, 9] 2 2 
F#:min [1, 6, 9] 6 4 
A:maj [1, 4, 9] 9 2 
C#:min/5 [1, 4, 8] 8 2 
F#:min [1, 6, 9] 6 2 
C#:min/5 [1, 4, 8] 8 2 
F#:min [1, 6, 9] 6 6 
B:maj [3, 6, 11] 11 2 
C#:min [1, 4, 8] 1 2 
F#:min [1, 6, 9] 6 2 
B:maj [3, 6, 11] 11 2 
C#:min [1, 4, 8] 1 2 
F#:min [1, 6, 9] 6 12 
D:maj [2, 6, 9] 2 2 
C#:min [1, 4, 8] 1 2 
F#:min [1, 6, 9] 6 6 
B:min [2, 6, 11] 11 2 
C#:min [1, 4, 8] 1 2 
F#:min [1, 6, 9] 6 2 
B:min [2, 6, 11] 11 2 
C#:min [1, 4, 8] 1 2 
F#:min [1, 6, 9] 6 12 
D:maj [2, 6, 9] 2 2 
C#:min [1, 4, 8] 1 2 
F#:min [1, 6, 9] 6 12 
D:maj [2, 6, 9] 2 5 
F#:min [1, 6, 9] 6 8 
