Eb:maj [3, 7, 10] 3 4 
B:maj [3, 6, 11] 11 4 
Eb:min/b3 [3, 6, 10] 6 4 
C#:maj [1, 5, 8] 1 4 
Eb:min [3, 6, 10] 3 4 
B:maj [3, 6, 11] 11 4 
F#:maj [1, 6, 10] 6 4 
C#:maj [1, 5, 8] 1 4 
Eb:min [3, 6, 10] 3 4 
B:maj [3, 6, 11] 11 4 
F#:maj [1, 6, 10] 6 4 
C#:maj [1, 5, 8] 1 4 
Eb:min [3, 6, 10] 3 4 
B:maj [3, 6, 11] 11 4 
F#:maj [1, 6, 10] 6 4 
C#:maj [1, 5, 8] 1 4 
Ab:min [3, 8, 11] 8 4 
C#:maj [1, 5, 8] 1 4 
F#:maj [1, 6, 10] 6 2 
C#:maj/3 [1, 5, 8] 5 2 
Eb:min [3, 6, 10] 3 4 
Ab:min [3, 8, 11] 8 4 
B:maj [3, 6, 11] 11 4 
C#:maj [1, 5, 8] 1 8 
Eb:min [3, 6, 10] 3 4 
B:maj [3, 6, 11] 11 4 
F#:maj [1, 6, 10] 6 4 
C#:maj [1, 5, 8] 1 4 
Eb:min [3, 6, 10] 3 4 
B:maj [3, 6, 11] 11 4 
F#:maj [1, 6, 10] 6 4 
C#:maj [1, 5, 8] 1 4 
Eb:min [3, 6, 10] 3 4 
B:maj [3, 6, 11] 11 4 
F#:maj [1, 6, 10] 6 4 
C#:maj [1, 5, 8] 1 4 
Eb:min [3, 6, 10] 3 4 
B:maj [3, 6, 11] 11 4 
F#:maj [1, 6, 10] 6 4 
C#:maj [1, 5, 8] 1 4 
Eb:min [3, 6, 10] 3 4 
B:maj [3, 6, 11] 11 4 
F#:maj [1, 6, 10] 6 4 
C#:maj [1, 5, 8] 1 4 
Eb:min [3, 6, 10] 3 4 
B:maj [3, 6, 11] 11 4 
F#:maj [1, 6, 10] 6 4 
C#:maj [1, 5, 8] 1 4 
Eb:min [3, 6, 10] 3 4 
B:maj [3, 6, 11] 11 4 
F#:maj [1, 6, 10] 6 4 
C#:maj [1, 5, 8] 1 4 
Ab:min [3, 8, 11] 8 4 
C#:maj [1, 5, 8] 1 4 
F#:maj [1, 6, 10] 6 2 
C#:maj/3 [1, 5, 8] 5 2 
Eb:min [3, 6, 10] 3 4 
Ab:min [3, 8, 11] 8 4 
B:maj [3, 6, 11] 11 4 
C#:maj [1, 5, 8] 1 8 
Eb:min [3, 6, 10] 3 4 
B:maj [3, 6, 11] 11 4 
F#:maj [1, 6, 10] 6 4 
C#:maj [1, 5, 8] 1 4 
Eb:min [3, 6, 10] 3 4 
B:maj [3, 6, 11] 11 4 
F#:maj [1, 6, 10] 6 4 
C#:maj [1, 5, 8] 1 4 
Eb:min [3, 6, 10] 3 4 
B:maj [3, 6, 11] 11 4 
F#:maj [1, 6, 10] 6 4 
C#:maj [1, 5, 8] 1 4 
Eb:min [3, 6, 10] 3 4 
B:maj [3, 6, 11] 11 4 
F#:maj [1, 6, 10] 6 4 
C#:maj [1, 5, 8] 1 4 
Eb:min [3, 6, 10] 3 4 
B:maj [3, 6, 11] 11 4 
F#:maj [1, 6, 10] 6 4 
C#:maj [1, 5, 8] 1 4 
B:maj [3, 6, 11] 11 8 
F#:maj [1, 6, 10] 6 8 
Eb:min [3, 6, 10] 3 8 
B:maj [3, 6, 11] 11 4 
C#:maj [1, 5, 8] 1 4 
Eb:min [3, 6, 10] 3 4 
B:maj [3, 6, 11] 11 4 
F#:maj [1, 6, 10] 6 4 
C#:maj [1, 5, 8] 1 4 
Eb:min [3, 6, 10] 3 4 
B:maj [3, 6, 11] 11 4 
F#:maj [1, 6, 10] 6 4 
C#:maj [1, 5, 8] 1 4 
Eb:min [3, 6, 10] 3 4 
B:maj [3, 6, 11] 11 4 
F#:maj [1, 6, 10] 6 4 
C#:maj [1, 5, 8] 1 4 
Eb:min [3, 6, 10] 3 4 
B:maj [3, 6, 11] 11 4 
F#:maj [1, 6, 10] 6 4 
C#:maj [1, 5, 8] 1 4 
Eb:min [3, 6, 10] 3 4 
B:maj [3, 6, 11] 11 4 
F#:maj [1, 6, 10] 6 4 
C#:maj [1, 5, 8] 1 4 
Eb:min [3, 6, 10] 3 4 
B:maj [3, 6, 11] 11 4 
F#:maj [1, 6, 10] 6 4 
C#:maj [1, 5, 8] 1 4 
