B:sus4(b7) [4, 6, 11] 11 15 
B:min [2, 6, 11] 11 1 
B:min/5 [2, 6, 11] 6 2 
F#:min [1, 6, 9] 6 2 
D:maj [2, 6, 9] 2 2 
A:maj [1, 4, 9] 9 2 
G:maj [2, 7, 11] 7 2 
A:maj/5 [1, 4, 9] 4 1 
E:maj [4, 8, 11] 4 5 
B:min [2, 6, 11] 11 2 
F#:min [1, 6, 9] 6 2 
B:min [2, 6, 11] 11 2 
F#:min [1, 6, 9] 6 2 
B:min [2, 6, 11] 11 2 
F#:min [1, 6, 9] 6 2 
G:maj [2, 7, 11] 7 2 
A:maj [1, 4, 9] 9 2 
B:min [2, 6, 11] 11 2 
F#:min [1, 6, 9] 6 2 
B:min [2, 6, 11] 11 2 
F#:min [1, 6, 9] 6 2 
B:min [2, 6, 11] 11 2 
A:maj [1, 4, 9] 9 2 
G:maj [2, 7, 11] 7 2 
A:maj [1, 4, 9] 9 4 
D:maj [2, 6, 9] 2 2 
A:maj [1, 4, 9] 9 2 
E:maj [4, 8, 11] 4 2 
B:min [2, 6, 11] 11 2 
D:maj [2, 6, 9] 2 2 
A:maj [1, 4, 9] 9 2 
E:maj [4, 8, 11] 4 4 
B:min [2, 6, 11] 11 2 
A:maj [1, 4, 9] 9 2 
E:maj [4, 8, 11] 4 2 
B:min [2, 6, 11] 11 2 
D:maj [2, 6, 9] 2 2 
A:maj [1, 4, 9] 9 2 
E:maj [4, 8, 11] 4 8 
B:min [2, 6, 11] 11 2 
F#:min [1, 6, 9] 6 2 
B:min [2, 6, 11] 11 2 
F#:min [1, 6, 9] 6 2 
B:min [2, 6, 11] 11 2 
F#:min [1, 6, 9] 6 2 
G:maj [2, 7, 11] 7 2 
A:maj [1, 4, 9] 9 2 
B:min [2, 6, 11] 11 2 
F#:min [1, 6, 9] 6 2 
B:min [2, 6, 11] 11 2 
F#:min [1, 6, 9] 6 2 
B:min [2, 6, 11] 11 2 
A:maj [1, 4, 9] 9 2 
G:maj [2, 7, 11] 7 2 
A:maj [1, 4, 9] 9 2 
D:maj [2, 6, 9] 2 2 
A:maj [1, 4, 9] 9 2 
E:maj [4, 8, 11] 4 2 
B:min [2, 6, 11] 11 2 
D:maj [2, 6, 9] 2 2 
A:maj [1, 4, 9] 9 2 
E:maj [4, 8, 11] 4 4 
B:min [2, 6, 11] 11 2 
A:maj [1, 4, 9] 9 2 
E:maj [4, 8, 11] 4 2 
B:min [2, 6, 11] 11 2 
D:maj [2, 6, 9] 2 2 
A:maj [1, 4, 9] 9 2 
E:maj [4, 8, 11] 4 4 
B:min [2, 6, 11] 11 2 
F#:min [1, 6, 9] 6 2 
B:min [2, 6, 11] 11 2 
F#:min [1, 6, 9] 6 2 
G:maj [2, 7, 11] 7 2 
D:maj [2, 6, 9] 2 2 
E:maj [4, 8, 11] 4 4 
B:min [2, 6, 11] 11 2 
F#:min [1, 6, 9] 6 2 
B:min [2, 6, 11] 11 2 
F#:min [1, 6, 9] 6 2 
G:maj [2, 7, 11] 7 2 
C:maj [0, 4, 7] 0 2 
A:maj [1, 4, 9] 9 4 
D:maj [2, 6, 9] 2 2 
A:maj [1, 4, 9] 9 2 
E:maj [4, 8, 11] 4 2 
B:min [2, 6, 11] 11 2 
D:maj [2, 6, 9] 2 2 
A:maj [1, 4, 9] 9 2 
E:maj [4, 8, 11] 4 4 
B:min [2, 6, 11] 11 2 
A:maj [1, 4, 9] 9 2 
E:maj [4, 8, 11] 4 2 
B:min [2, 6, 11] 11 2 
D:maj [2, 6, 9] 2 2 
A:maj [1, 4, 9] 9 2 
E:maj [4, 8, 11] 4 4 
G:maj [2, 7, 11] 7 2 
A:maj [1, 4, 9] 9 2 
E:maj [4, 8, 11] 4 4 
B:min [2, 6, 11] 11 2 
F#:min [1, 6, 9] 6 2 
D:maj [2, 6, 9] 2 2 
A:maj [1, 4, 9] 9 2 
G:maj [2, 7, 11] 7 2 
A:maj/5 [1, 4, 9] 4 1 
E:maj [4, 8, 11] 4 5 
B:min [2, 6, 11] 11 2 
F#:min [1, 6, 9] 6 2 
D:maj [2, 6, 9] 2 2 
A:maj [1, 4, 9] 9 2 
G:maj [2, 7, 11] 7 2 
A:maj/5 [1, 4, 9] 4 1 
E:maj [4, 8, 11] 4 8 
