C#:maj/5 [1, 5, 8] 8 4 
F:min [0, 5, 8] 5 4 
Bb:min [1, 5, 10] 10 4 
F#:maj [1, 6, 10] 6 2 
Ab:maj [0, 3, 8] 8 2 
C#:maj [1, 5, 8] 1 4 
F:min [0, 5, 8] 5 4 
Eb:min [3, 6, 10] 3 2 
Ab:maj [0, 3, 8] 8 2 
C#:sus2 [1, 3, 8] 1 6 
Ab:maj/3 [0, 3, 8] 0 2 
Bb:min [1, 5, 10] 10 4 
C#:maj [1, 5, 8] 1 2 
F:min [0, 5, 8] 5 2 
Bb:min [1, 5, 10] 10 4 
F#:maj [1, 6, 10] 6 2 
Ab:maj [0, 3, 8] 8 4 
Bb:min [1, 5, 10] 10 2 
F#:maj [1, 6, 10] 6 4 
Ab:maj [0, 3, 8] 8 4 
C#:maj [1, 5, 8] 1 2 
Ab:maj/3 [0, 3, 8] 0 2 
Bb:min [1, 5, 10] 10 4 
C#:maj [1, 5, 8] 1 2 
Ab:maj/3 [0, 3, 8] 0 2 
Bb:min [1, 5, 10] 10 4 
F#:maj [1, 6, 10] 6 2 
Ab:maj [0, 3, 8] 8 2 
C#:maj [1, 5, 8] 1 2 
Bb:min [1, 5, 10] 10 2 
F#:maj [1, 6, 10] 6 4 
Ab:maj [0, 3, 8] 8 8 
C#:maj [1, 5, 8] 1 4 
Bb:min [1, 5, 10] 10 2 
Ab:maj [0, 3, 8] 8 2 
F#:maj [1, 6, 10] 6 2 
F:min [0, 5, 8] 5 2 
Eb:min [3, 6, 10] 3 2 
Ab:maj [0, 3, 8] 8 2 
Eb:min [3, 6, 10] 3 4 
F:min [0, 5, 8] 5 4 
F#:maj [1, 6, 10] 6 4 
Ab:maj [0, 3, 8] 8 4 
C#:maj [1, 5, 8] 1 4 
Bb:min [1, 5, 10] 10 2 
Ab:maj [0, 3, 8] 8 2 
F#:maj [1, 6, 10] 6 2 
F:min [0, 5, 8] 5 2 
Eb:min [3, 6, 10] 3 2 
Ab:maj [0, 3, 8] 8 2 
Eb:min [3, 6, 10] 3 4 
F:min [0, 5, 8] 5 4 
F#:maj [1, 6, 10] 6 2 
Ab:maj [0, 3, 8] 8 2 
C#:sus2 [1, 3, 8] 1 4 
C#:maj/3 [1, 5, 8] 5 4 
F:min [0, 5, 8] 5 4 
Bb:min [1, 5, 10] 10 4 
Eb:min [3, 6, 10] 3 2 
Ab:maj [0, 3, 8] 8 2 
C#:maj [1, 5, 8] 1 4 
F:min [0, 5, 8] 5 4 
Eb:min [3, 6, 10] 3 2 
Ab:maj [0, 3, 8] 8 2 
C#:sus2 [1, 3, 8] 1 6 
Ab:maj/3 [0, 3, 8] 0 2 
Bb:min [1, 5, 10] 10 4 
C#:maj [1, 5, 8] 1 2 
Ab:maj/3 [0, 3, 8] 0 2 
Bb:min [1, 5, 10] 10 4 
F#:maj [1, 6, 10] 6 2 
Ab:maj [0, 3, 8] 8 2 
C#:maj [1, 5, 8] 1 2 
Bb:min [1, 5, 10] 10 2 
F#:maj [1, 6, 10] 6 4 
Ab:maj [0, 3, 8] 8 8 
C#:maj [1, 5, 8] 1 4 
Bb:min [1, 5, 10] 10 2 
Ab:maj [0, 3, 8] 8 2 
F#:maj [1, 6, 10] 6 2 
F:min [0, 5, 8] 5 2 
Eb:min [3, 6, 10] 3 2 
Ab:maj [0, 3, 8] 8 2 
Eb:min [3, 6, 10] 3 4 
F:min [0, 5, 8] 5 4 
F#:maj [1, 6, 10] 6 4 
Ab:maj [0, 3, 8] 8 4 
C#:maj [1, 5, 8] 1 4 
Bb:min [1, 5, 10] 10 2 
Ab:maj [0, 3, 8] 8 2 
F#:maj [1, 6, 10] 6 2 
F:min [0, 5, 8] 5 2 
Eb:min [3, 6, 10] 3 2 
Ab:maj [0, 3, 8] 8 2 
Eb:min [3, 6, 10] 3 4 
F:min [0, 5, 8] 5 4 
F#:maj [1, 6, 10] 6 2 
Ab:maj [0, 3, 8] 8 2 
C#:sus2 [1, 3, 8] 1 8 
Bb:min [1, 5, 10] 10 2 
Ab:maj [0, 3, 8] 8 2 
F#:maj [1, 6, 10] 6 2 
F:min [0, 5, 8] 5 2 
Eb:min [3, 6, 10] 3 2 
Ab:maj [0, 3, 8] 8 2 
Eb:min [3, 6, 10] 3 4 
F:min [0, 5, 8] 5 4 
F#:maj [1, 6, 10] 6 4 
Ab:maj [0, 3, 8] 8 4 
C#:maj [1, 5, 8] 1 4 
Bb:min [1, 5, 10] 10 2 
Ab:maj [0, 3, 8] 8 2 
F#:maj [1, 6, 10] 6 2 
F:min [0, 5, 8] 5 2 
Eb:min [3, 6, 10] 3 2 
Ab:maj [0, 3, 8] 8 2 
Eb:min [3, 6, 10] 3 4 
F:min [0, 5, 8] 5 4 
F#:maj [1, 6, 10] 6 2 
Ab:maj [0, 3, 8] 8 2 
C#:sus2 [1, 3, 8] 1 4 
F#:maj [1, 6, 10] 6 2 
Ab:maj [0, 3, 8] 8 2 
C#:sus2 [1, 3, 8] 1 4 
