F#:sus2 [1, 6, 8] 6 4 
F:min [0, 5, 8] 5 4 
Eb:min [3, 6, 10] 3 2 
Ab:maj [0, 3, 8] 8 2 
C#:maj [1, 5, 8] 1 4 
F#:maj [1, 6, 10] 6 4 
F:min [0, 5, 8] 5 2 
Bb:min [1, 5, 10] 10 2 
Eb:min [3, 6, 10] 3 2 
Ab:maj [0, 3, 8] 8 2 
C#:sus4 [1, 6, 8] 1 8 
F#:maj [1, 6, 10] 6 2 
C#:maj [1, 5, 8] 1 6 
Ab:maj [0, 3, 8] 8 4 
Bb:min [1, 5, 10] 10 4 
F#:maj [1, 6, 10] 6 4 
Eb:min [3, 6, 10] 3 2 
Ab:maj [0, 3, 8] 8 2 
C#:maj [1, 5, 8] 1 8 
F#:maj [1, 6, 10] 6 2 
C#:maj [1, 5, 8] 1 6 
Ab:maj [0, 3, 8] 8 4 
Bb:min [1, 5, 10] 10 3 
F:min/b3 [0, 5, 8] 8 1 
G:dim [1, 7, 10] 7 4 
Eb:min [3, 6, 10] 3 2 
Ab:maj [0, 3, 8] 8 2 
C#:maj [1, 5, 8] 1 4 
Bb:min [1, 5, 10] 10 2 
Ab:maj [0, 3, 8] 8 2 
F#:maj [1, 6, 10] 6 2 
C#:maj [1, 5, 8] 1 2 
Eb:min [3, 6, 10] 3 2 
F:min [0, 5, 8] 5 2 
Ab:maj [0, 3, 8] 8 4 
F#:maj [1, 6, 10] 6 2 
F:min [0, 5, 8] 5 2 
Eb:min [3, 6, 10] 3 2 
C#:maj [1, 5, 8] 1 2 
Eb:min [3, 6, 10] 3 2 
Ab:maj [0, 3, 8] 8 2 
C#:maj [1, 5, 8] 1 8 
F#:maj [1, 6, 10] 6 2 
C#:maj [1, 5, 8] 1 4 
Eb:min [3, 6, 10] 3 2 
Ab:maj [0, 3, 8] 8 2 
F:7 [0, 3, 5, 9] 5 2 
Bb:min [1, 5, 10] 10 2 
Ab:maj [0, 3, 8] 8 2 
G:dim [1, 7, 10] 7 1 
G:hdim7 [1, 4, 7, 10] 7 3 
Eb:min [3, 6, 10] 3 2 
Ab:maj [0, 3, 8] 8 2 
C#:sus4 [1, 6, 8] 1 8 
F#:maj [1, 6, 10] 6 2 
C#:maj [1, 5, 8] 1 6 
Ab:maj [0, 3, 8] 8 4 
Bb:min [1, 5, 10] 10 3 
F:min/b3 [0, 5, 8] 8 1 
G:dim [1, 7, 10] 7 4 
Eb:min [3, 6, 10] 3 2 
Ab:maj [0, 3, 8] 8 2 
C#:maj [1, 5, 8] 1 4 
Bb:min [1, 5, 10] 10 2 
Ab:maj [0, 3, 8] 8 2 
F#:maj [1, 6, 10] 6 2 
C#:maj [1, 5, 8] 1 2 
Eb:min [3, 6, 10] 3 2 
F:min [0, 5, 8] 5 2 
Ab:maj [0, 3, 8] 8 4 
F#:maj [1, 6, 10] 6 2 
F:min [0, 5, 8] 5 2 
Eb:min [3, 6, 10] 3 2 
C#:maj [1, 5, 8] 1 2 
Eb:min [3, 6, 10] 3 2 
Ab:maj [0, 3, 8] 8 2 
C#:maj [1, 5, 8] 1 4 
F#:maj [1, 6, 10] 6 2 
F:min [0, 5, 8] 5 2 
Eb:min [3, 6, 10] 3 2 
C#:maj [1, 5, 8] 1 2 
Eb:maj [3, 7, 10] 3 2 
Ab:maj [0, 3, 8] 8 7 
F#:maj6 [1, 3, 6, 10] 6 2 
F:min [0, 5, 8] 5 1 
Eb:min [3, 6, 10] 3 2 
Ab:sus2 [3, 8, 10] 8 6 
Ab:7 [0, 3, 6, 8] 8 1 
C#:sus2 [1, 3, 8] 1 6 
