D:sus4 [2, 7, 9] 2 4
C:maj [0, 4, 7] 0 4
D:min [2, 5, 9] 2 4
C:maj6 [0, 4, 7, 9] 0 4
D:min [2, 5, 9] 2 4
C:maj [0, 4, 7] 0 4
D:min [2, 5, 9] 2 4
C:maj [0, 4, 7] 0 4
E:maj [4, 8, 11] 4 4
A:min [0, 4, 9] 9 10
F:maj [0, 5, 9] 5 2
C:maj [0, 4, 7] 0 2
E:maj [4, 8, 11] 4 2
D:min [2, 5, 9] 2 2
D:min7 [0, 2, 5, 9] 2 2
D:min [2, 5, 9] 2 2
E:maj [4, 8, 11] 4 2
D:min [2, 5, 9] 2 4
A:min [0, 4, 9] 9 4
D:min [2, 5, 9] 2 2
B:dim [2, 5, 11] 11 2
E:maj [4, 8, 11] 4 2
A:min [0, 4, 9] 9 2
A:min [0, 4, 9] 9 2
F:maj [0, 5, 9] 5 2
C:maj [0, 4, 7] 0 2
E:maj [4, 8, 11] 4 2
D:min [2, 5, 9] 2 2
D:min7 [0, 2, 5, 9] 2 2
D:min [2, 5, 9] 2 2
E:maj [4, 8, 11] 4 2
D:min [2, 5, 9] 2 4
A:min [0, 4, 9] 9 4
D:min [2, 5, 9] 2 2
B:dim [2, 5, 11] 11 2
E:maj [4, 8, 11] 4 2
A:min [0, 4, 9] 9 2
D:min [2, 5, 9] 2 4
C:maj [0, 4, 7] 0 4
D:min [2, 5, 9] 2 4
F:maj [0, 5, 9] 5 2
E:maj [4, 8, 11] 4 2
D:min [2, 5, 9] 2 4
E:maj [4, 8, 11] 4 8
A:min [0, 4, 9] 9 4
D:min [2, 5, 9] 2 4
C:maj [0, 4, 7] 0 4
D:min [2, 5, 9] 2 4
C:maj [0, 4, 7] 0 4
D:min [2, 5, 9] 2 4
E:maj [4, 8, 11] 4 4
A:min [0, 4, 9] 9 2
F:maj [0, 5, 9] 5 2
C:maj [0, 4, 7] 0 2
E:maj [4, 8, 11] 4 2
D:min [2, 5, 9] 2 2
D:min7 [0, 2, 5, 9] 2 2
D:min [2, 5, 9] 2 2
E:maj [4, 8, 11] 4 2
D:min [2, 5, 9] 2 4
A:min [0, 4, 9] 9 4
D:min [2, 5, 9] 2 2
B:dim [2, 5, 11] 11 2
E:maj [4, 8, 11] 4 2
A:min [0, 4, 9] 9 2
A:min [0, 4, 9] 9 2
F:maj [0, 5, 9] 5 2
C:maj [0, 4, 7] 0 2
E:maj [4, 8, 11] 4 2
D:min [2, 5, 9] 2 2
F:maj [0, 5, 9] 5 2
D:min [2, 5, 9] 2 2
E:maj [4, 8, 11] 4 2
D:min [2, 5, 9] 2 4
A:min [0, 4, 9] 9 4
D:min [2, 5, 9] 2 2
B:dim [2, 5, 11] 11 2
E:maj [4, 8, 11] 4 2
A:min [0, 4, 9] 9 2
D:min [2, 5, 9] 2 4
C:maj [0, 4, 7] 0 4
D:min [2, 5, 9] 2 4
F:maj [0, 5, 9] 5 2
E:maj [4, 8, 11] 4 2
D:min [2, 5, 9] 2 4
E:maj [4, 8, 11] 4 8
A:min [0, 4, 9] 9 4
D:min [2, 5, 9] 2 4
C:maj [0, 4, 7] 0 4
D:min [2, 5, 9] 2 4
F:maj [0, 5, 9] 5 2
E:maj [4, 8, 11] 4 2
D:min [2, 5, 9] 2 4
E:maj [4, 8, 11] 4 8
A:min [0, 4, 9] 9 2
D:min [2, 5, 9] 2 4
C:maj [0, 4, 7] 0 4
D:min [2, 5, 9] 2 4
C:maj [0, 4, 7] 0 4
