Bb:min7 [1, 5, 8, 10] 10 15 
F#:maj [1, 6, 10] 6 9 
D:maj [2, 6, 9] 2 8
G:maj [2, 7, 11] 7 8
B:min [2, 6, 11] 11 7 
G:maj [2, 7, 11] 7 9 
E:min [4, 7, 11] 4 7 
G:maj [2, 7, 11] 7 9 
A:maj [1, 4, 9] 9 8 
D:sus2 [2, 4, 9] 2 8 
B:min [2, 6, 11] 11 8 
G:maj [2, 7, 11] 7 8
E:maj [4, 8, 11] 4 4 
A:maj [1, 4, 9] 9 4 
D:maj [2, 6, 9] 2 8 
B:min [2, 6, 11] 11 8 
G:maj [2, 7, 11] 7 4 
B:min [2, 6, 11] 11 4 
G:maj [2, 7, 11] 7 2 
A:maj [1, 4, 9] 9 2 
D:maj [2, 6, 9] 2 4 
B:min [2, 6, 11] 11 4 
F#:min [1, 6, 9] 6 4 
G:maj [2, 7, 11] 7 2 
A:maj [1, 4, 9] 9 2 
A:sus4 [2, 4, 9] 9 4 
E:sus4(b7) [4, 9, 11] 4 4 
F#:sus4 [1, 6, 11] 6 4 
G:maj [2, 7, 11] 7 4 
A:maj [1, 4, 9] 9 3 
A:sus4 [2, 4, 9] 9 1 
B:min [2, 6, 11] 11 4 
F#:min [1, 6, 9] 6 3 
F#:min7 [1, 4, 6, 9] 6 1 
G:maj [2, 7, 11] 7 2 
A:maj [1, 4, 9] 9 2 
A:sus4 [2, 4, 9] 9 2 
E:sus2 [4, 6, 11] 4 4 
F#:sus4(b7) [1, 6, 11] 6 4 
G:maj7 [2, 5, 7, 11] 7 6 
A:maj [1, 4, 9] 9 8 
D:maj/5 [2, 6, 9] 9 3 
D:maj [2, 6, 9] 2 1 
B:min [2, 6, 11] 11 4 
G:maj [2, 7, 11] 7 4 
F#:min [1, 6, 9] 6 3 
F#:min7 [1, 4, 6, 9] 6 1 
E:min [4, 7, 11] 4 3 
E:min7 [2, 4, 7, 11] 4 1 
B:min [2, 6, 11] 11 3 
G:maj [2, 7, 11] 7 3 
A:maj [1, 4, 9] 9 2 
C:maj [0, 4, 7] 0 8 
F:maj [0, 5, 9] 5 8 
C:sus4 [0, 5, 7] 0 8 
F:maj [0, 5, 9] 5 8 
Eb:maj [3, 7, 10] 3 4 
C:min [0, 3, 7] 0 2 
C:min7 [0, 3, 7, 10] 0 2 
Ab:maj [0, 3, 8] 8 3 
F:sus2 [0, 5, 7] 5 9 
G:sus4 [0, 2, 7] 7 8 
A:sus4 [2, 4, 9] 9 8 
F#:min [1, 6, 9] 6 4 
Ab:dim [2, 8, 11] 8 3 
G:maj [2, 7, 11] 7 5 
F#:min [1, 6, 9] 6 3 
E:min [4, 7, 11] 4 9 
C:maj [0, 4, 7] 0 4 
A:min [0, 4, 9] 9 3 
D:maj [2, 6, 9] 2 5 
B:min [2, 6, 11] 11 3 
G:maj [2, 7, 11] 7 5 
F#:sus4 [1, 6, 11] 6 3 
E:sus4 [4, 9, 11] 4 4 
B:min [2, 6, 11] 11 4 
G:maj [2, 7, 11] 7 3 
A:maj [1, 4, 9] 9 2 
D:maj [2, 6, 9] 2 4 
B:min [2, 6, 11] 11 4 
F#:min [1, 6, 9] 6 4 
G:maj [2, 7, 11] 7 2 
A:maj [1, 4, 9] 9 2 
A:sus4 [2, 4, 9] 9 3 
E:sus4(b7) [4, 9, 11] 4 4 
F#:sus4 [1, 6, 11] 6 4 
F#:min7 [1, 4, 6, 9] 6 1 
G:maj [2, 7, 11] 7 4 
A:maj [1, 4, 9] 9 3 
A:maj(9) [1, 4, 7, 9, 11] 9 1 
B:min [2, 6, 11] 11 4 
F#:min [1, 6, 9] 6 4 
G:maj [2, 7, 11] 7 2 
Ab:dim [2, 8, 11] 8 2 
D:maj/5 [2, 6, 9] 9 4 
E:min [4, 7, 11] 4 4 
F#:min [1, 6, 9] 6 4 
G:maj [2, 7, 11] 7 4 
A:sus4 [2, 4, 9] 9 8 
A:sus4(9) [2, 4, 9, 11] 9 3 
B:min [2, 6, 11] 11 5 
G:maj [2, 7, 11] 7 3 
G:maj(9) [2, 5, 7, 9, 11] 7 4 
E:min [4, 7, 11] 4 4 
E:min7 [2, 4, 7, 11] 4 5 
G:maj [2, 7, 11] 7 2 
A:sus2 [4, 9, 11] 9 6 
D:sus2 [2, 4, 9] 2 4 
D:maj [2, 6, 9] 2 28 
